"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"WLD","CROPYIELD","RICE","THND_TONNE","A","1990",348786.14,
"WLD","CROPYIELD","RICE","THND_TONNE","A","1991",347952.12,
"WLD","CROPYIELD","RICE","THND_TONNE","A","1992",354236.45,
"WLD","CROPYIELD","RICE","THND_TONNE","A","1993",355832.08,
"WLD","CROPYIELD","RICE","THND_TONNE","A","1994",361805.92,
"WLD","CROPYIELD","RICE","THND_TONNE","A","1995",369245.51,
"WLD","CROPYIELD","RICE","THND_TONNE","A","1996",384049.85,
"WLD","CROPYIELD","RICE","THND_TONNE","A","1997",387856.3,
"WLD","CROPYIELD","RICE","THND_TONNE","A","1998",390372.04,
"WLD","CROPYIELD","RICE","THND_TONNE","A","1999",409876.58,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2000",399995.75,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2001",400658.83,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2002",380147.31,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2003",391612.91,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2004",404465.55,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2005",423402.73,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2006",425408.86,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2007",435945.45,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2008",458301.62,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2009",454707.02,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2010",468940.48,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2011",485318.28,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2012",491135.42,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2013",497212.18,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2014",497304.95,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2015",495534.99,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2016",505543.36,
"WLD","CROPYIELD","RICE","THND_TONNE","A","2017",509896.45,
