Ano,Nome da Grande Região,State Number,Sigla da Unidade da Federação,State,GDP ,GDP_Capita,
2010,Norte,11,RO,Rondônia," 262,077 "," 10,731.18 ",
2010,Norte,11,RO,Rondônia," 1,364,694 "," 15,103.86 ",
2010,Norte,11,RO,Rondônia," 69,611 "," 11,033.62 ",
2010,Norte,11,RO,Rondônia," 1,186,494 "," 15,095.15 ",
2010,Norte,11,RO,Rondônia," 222,021 "," 13,037.06 ",
2010,Norte,11,RO,Rondônia," 193,093 "," 10,380.21 ",
2010,Norte,11,RO,Rondônia," 114,768 "," 13,038.89 ",
2010,Norte,11,RO,Rondônia," 107,583 "," 7,852.78 ",
2010,Norte,11,RO,Rondônia," 311,788 "," 10,848.19 ",
2010,Norte,11,RO,Rondônia," 598,167 "," 14,363.13 ",
2010,Norte,11,RO,Rondônia," 797,296 "," 15,319.96 ",
2010,Norte,11,RO,Rondônia," 1,855,359 "," 15,913.94 ",
2010,Norte,11,RO,Rondônia," 272,201 "," 8,750.47 ",
2010,Norte,11,RO,Rondônia," 173,651 "," 8,750.38 ",
2010,Norte,11,RO,Rondônia," 477,501 "," 12,585.36 ",
2010,Norte,11,RO,Rondônia," 540,862 "," 16,023.63 ",
2010,Norte,11,RO,Rondônia," 9,093,824 "," 21,319.08 ",
2010,Norte,11,RO,Rondônia," 235,589 "," 10,555.53 ",
2010,Norte,11,RO,Rondônia," 41,934 "," 12,645.97 ",
2010,Norte,11,RO,Rondônia," 627,848 "," 12,390.44 ",
2010,Norte,11,RO,Rondônia," 98,818 "," 11,120.68 ",
2010,Norte,11,RO,Rondônia," 1,447,187 "," 18,995.20 ",
2010,Norte,11,RO,Rondônia," 324,476 "," 14,867.85 ",
2010,Norte,11,RO,Rondônia," 218,431 "," 9,685.67 ",
2010,Norte,11,RO,Rondônia," 160,689 "," 9,528.51 ",
2010,Norte,11,RO,Rondônia," 119,974 "," 9,353.97 ",
2010,Norte,11,RO,Rondônia," 152,235 "," 8,879.79 ",
2010,Norte,11,RO,Rondônia," 336,265 "," 10,383.35 ",
2010,Norte,11,RO,Rondônia," 95,420 "," 9,321.10 ",
2010,Norte,11,RO,Rondônia," 76,701 "," 13,392.84 ",
2010,Norte,11,RO,Rondônia," 120,440 "," 9,506.68 ",
2010,Norte,11,RO,Rondônia," 228,321 "," 11,541.88 ",
2010,Norte,11,RO,Rondônia," 39,936 "," 11,152.28 ",
2010,Norte,11,RO,Rondônia," 165,716 "," 19,956.21 ",
2010,Norte,11,RO,Rondônia," 210,218 "," 13,243.73 ",
2010,Norte,11,RO,Rondônia," 111,130 "," 10,570.72 ",
2010,Norte,11,RO,Rondônia," 90,690 "," 10,593.45 ",
2010,Norte,11,RO,Rondônia," 99,692 "," 9,628.40 ",
2010,Norte,11,RO,Rondônia," 114,869 "," 9,678.04 ",
2010,Norte,11,RO,Rondônia," 143,417 "," 10,178.62 ",
2010,Norte,11,RO,Rondônia," 70,739 "," 9,434.33 ",
2010,Norte,11,RO,Rondônia," 49,986 "," 10,392.15 ",
2010,Norte,11,RO,Rondônia," 43,812 "," 18,868.24 ",
