,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR’s mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern
0,1971,Brazil,BRA,Chile,CHL,2000,0,0,,0,0
1,1972,Brazil,BRA,Chile,CHL,2000,0,0,,0,0
2,1980,Brazil,BRA,Italy,ITA,5,0,0,,0,0
3,1981,Brazil,BRA,Italy,ITA,5,0,0,,0,0
4,1982,Brazil,BRA,Italy,ITA,5,0,0,,0,0
5,1983,Brazil,BRA,Italy,ITA,5,0,0,,0,0
6,1984,Brazil,BRA,Italy,ITA,5,0,0,,0,0
7,1985,Brazil,BRA,Italy,ITA,5,0,0,,0,0
8,1986,Brazil,BRA,Italy,ITA,5,0,0,,0,0
9,1989,Brazil,BRA,Denmark,DNK,6,0,0,,0,0
10,1990,Brazil,BRA,Denmark,DNK,5,0,0,,0,0
11,1990,Brazil,BRA,Sweden,SWE,10,0,0,,0,0
12,1991,Brazil,BRA,Sweden,SWE,11,0,0,,0,0
13,1992,Brazil,BRA,Sweden,SWE,11,0,0,,0,0
14,1993,Brazil,BRA,Sweden,SWE,9,0,0,,0,0
15,1994,Brazil,BRA,Canada,CAN,27,0,0,,0,0
16,1994,Brazil,BRA,Sweden,SWE,9,0,0,,0,0
17,1994,Brazil,BRA,United States of America,USA,5,0,0,,0,0
18,1995,Brazil,BRA,Canada,CAN,24,0,0,,0,0
19,1995,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
20,1995,Brazil,BRA,United States of America,USA,21,0,0,,0,0
21,1996,Brazil,BRA,Australia,AUS,11,0,0,,0,0
22,1996,Brazil,BRA,Canada,CAN,20,0,0,,0,0
23,1996,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
24,1996,Brazil,BRA,United States of America,USA,46,0,0,,0,0
25,1997,Brazil,BRA,Australia,AUS,16,0,0,,0,0
26,1997,Brazil,BRA,Canada,CAN,20,0,0,,0,0
27,1997,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
28,1997,Brazil,BRA,United States of America,USA,60,0,0,,0,0
29,1998,Brazil,BRA,Australia,AUS,19,0,0,,0,0
30,1998,Brazil,BRA,Canada,CAN,18,0,0,,0,0
31,1998,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
32,1998,Brazil,BRA,United States of America,USA,90,0,0,,0,0
33,1999,Brazil,BRA,Australia,AUS,17,0,0,,0,0
34,1999,Brazil,BRA,Canada,CAN,19,0,0,,0,0
35,1999,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
36,1999,Brazil,BRA,United States of America,USA,151,0,0,,0,0
37,2000,Brazil,BRA,Australia,AUS,15,16,0,,0,0
38,2000,Brazil,BRA,Canada,CAN,32,55,0,,0,0
39,2000,Brazil,BRA,Netherlands,NLD,0,5,0,,0,0
40,2000,Brazil,BRA,United States of America,USA,173,573,0,,0,0
41,2001,Brazil,BRA,Australia,AUS,13,28,0,,0,0
42,2001,Brazil,BRA,Canada,CAN,38,198,0,,0,0
43,2001,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
44,2001,Brazil,BRA,United States of America,USA,195,568,0,,0,0
45,2002,Brazil,BRA,Australia,AUS,11,36,0,,0,0
46,2002,Brazil,BRA,Canada,CAN,40,570,0,,0,0
47,2002,Brazil,BRA,Germany,DEU,150,0,0,,0,0
48,2002,Brazil,BRA,Sweden,SWE,0,10,0,,0,0
49,2002,Brazil,BRA,Switzerland,CHE,6,5,0,,0,0
50,2002,Brazil,BRA,United States of America,USA,231,527,0,,0,0
51,2003,Brazil,BRA,Australia,AUS,9,18,0,,0,0
52,2003,Brazil,BRA,Canada,CAN,36,671,0,,0,0
53,2003,Brazil,BRA,Germany,DEU,164,0,0,,0,0
54,2003,Brazil,BRA,Ireland,IRL,0,11,0,,0,0
55,2003,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
56,2003,Brazil,BRA,New Zealand,NZL,0,5,0,,0,0
57,2003,Brazil,BRA,Sweden,SWE,0,5,0,,0,0
58,2003,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
