,index,Unnamed: 0,ISO3,Name,Year,Start Date,Event Name,Hazard Category,Hazard Type,New Displacements,
0,728,729,BRA,Brazil,2008,6/5/08,,Weather related,Storm,25000,
1,729,730,BRA,Brazil,2008,12/1/08,,Weather related,Flood,14293,
2,730,731,BRA,Brazil,2008,2/2/08,,Weather related,Flood,1435,
3,731,732,BRA,Brazil,2008,11/22/08,,Weather related,Flood,78707,
4,732,733,BRA,Brazil,2008,3/30/08,,Weather related,Flood,190000,
5,733,734,BRA,Brazil,2009,1/1/09,,Weather related,Flood,500000,
6,734,735,BRA,Brazil,2009,1/1/09,,Weather related,Flood,20000,
7,735,736,BRA,Brazil,2009,1/1/09,,Weather related,Storm,450,
8,736,737,BRA,Brazil,2009,1/1/09,,Weather related,Flood,,
9,737,738,BRA,Brazil,2009,1/1/09,,Weather related,Flood,,
10,738,739,BRA,Brazil,2009,1/1/09,,Weather related,Flood,,
11,739,740,BRA,Brazil,2009,1/1/09,,Weather related,Flood,,
12,740,741,BRA,Brazil,2009,1/1/09,,Weather related,Wet mass movement,,
13,741,742,BRA,Brazil,2009,1/1/09,,Weather related,Flood,2500,
14,742,743,BRA,Brazil,2010,1/1/10,,Weather related,Extreme temperature,,
15,743,744,BRA,Brazil,2010,1/1/10,,Weather related,Flood,50000,
16,744,745,BRA,Brazil,2010,1/1/10,,Weather related,Flood,156497,
17,745,746,BRA,Brazil,2010,1/1/10,,Weather related,Flood,,
18,746,747,BRA,Brazil,2010,1/1/10,,Weather related,Flood,24000,
19,747,748,BRA,Brazil,2011,1/1/11,,Weather related,Flood,13000,
20,748,749,BRA,Brazil,2011,1/1/11,,Weather related,Flood,15000,
21,749,750,BRA,Brazil,2011,1/1/11,,Weather related,Flood,100000,
22,750,751,BRA,Brazil,2011,1/1/11,,Weather related,Flood,31000,
23,751,752,BRA,Brazil,2011,1/1/11,,Weather related,Flood,500,
24,752,753,BRA,Brazil,2011,1/1/11,,Weather related,Flood,10000,
25,753,754,BRA,Brazil,2012,1/1/12,,Weather related,Wet mass movement,35000,
26,754,755,BRA,Brazil,2012,1/1/12,,Weather related,Storm,,
27,755,756,BRA,Brazil,2013,12/17/13,Espirito Santo floods,Weather related,Flood,61379,ES
28,756,757,BRA,Brazil,2013,12/17/13,Minas Gerias floods,Weather related,Flood,12200,MG
29,757,758,BRA,Brazil,2013,12/7/13,Bahia and Rio de Janeiro floods,Weather related,Flood,3300,RJ
,,,,,2013,12/7/13,Bahia and Rio de Janeiro floods,Weather related,Flood,3300,BA
30,758,759,BRA,Brazil,2013,1/1/13,Rio de Janeiro floods,Weather related,Flood,2076,RJ
31,759,760,BRA,Brazil,2014,1/12/14,Sau Paolo flooding,Weather related,Flood,300,SP
32,760,761,BRA,Brazil,2014,1/1/14,Santa Caterina state floods,Weather related,Flood,6000,SC
33,761,762,BRA,Brazil,2014,1/1/14,Rio Grande do Sul state floods,Weather related,Flood,4600,RS
34,762,763,BRA,Brazil,2014,6/7/14,Paran├á river overflow,Weather related,Flood,40000,PR
35,763,764,BRA,Brazil,2014,4/1/14,Humait├á-Am floods caused by Madeira river,Weather related,Flood,19413,AM
36,764,765,BRA,Brazil,2014,2/8/14,Rond├┤nia┬ástate floods caused by Madeira river,Weather related,Flood,10000,RO
37,765,766,BRA,Brazil,2014,1/9/14,Espirito Santo and Minas Gerais states flooding,Weather related,Flood,70000,ES 
38,766,767,BRA,Brazil,2015,4/20/15,Xanxer├¬ tornado,Weather related,Storm,1000,SC
39,767,768,BRA,Brazil,2015,7/14/15,Flooding in Southern Brazil,Weather related,Flood,38740,
40,768,769,BRA,Brazil,2015,12/1/15,Flooding in the Southern Cone,Weather related,Flood,6481,
41,769,770,BRA,Brazil,2015,2/23/15,Overflow of River Acre,Weather related,Flood,13251,AC
42,770,771,BRA,Brazil,2016,1/1/16,Southern regions floods,Weather related,Flood,13562,
43,771,772,BRA,Brazil,2017,5/25/17,"Brazil: Uruguay, Ca├¡ and Taquari River floods - Rio Grande do Sul - 25/05/2017",Weather related,Flood,2600,RS
44,772,773,BRA,Brazil,2017,5/26/17,Brazil: Floods - Pernambuco and Alagoas - 26/05/2017,Weather related,Flood,30173.5,PE
44,772,773,BRA,Brazil,2017,5/26/17,Brazil: Floods - Pernambuco and Alagoas - 26/05/2017,Weather related,Flood,30173.5,AL
45,773,774,BRA,Brazil,2017,1/5/17,Brazil: Rolante and Dos Sinos Rivers floods - several municipalities in Rio Grande do Sul - 05/01/2017,Weather related,Flood,7920,RS
46,774,775,BRA,Brazil,2018,2/10/18,Brazil: heavy rainfall causing floods - Minas Gerais - 10/02/2018,Weather related,Flood,561,MG
47,775,776,BRA,Brazil,2018,1/1/18,Brazil - Storms - 2018,Weather related,Storm,21042,
48,776,777,BRA,Brazil,2018,3/20/18,Brazil: flash flood - Sao Paulo State - 20/03/2018,Weather related,Flood,1000,SP
49,777,778,BRA,Brazil,2018,1/1/18,Brazil - Floods - 2018,Weather related,Flood,60316,
50,778,779,BRA,Brazil,2018,1/1/18,Brazil - Droughts - 2018,Weather related,Drought,2358,
51,779,780,BRA,Brazil,2018,1/1/18,Brazil - Landslides - 2018,Weather related,Wet mass movement,639,
52,780,781,BRA,Brazil,2019,9/11/19,Brazil: Wildfires - Mato Grosso - 11/09/2019,Weather related,Wildfire,60,MT
53,781,782,BRA,Brazil,2019,1/1/19,"Brazil: Storm - Espirito Santo (Santa Leopoldina, S├úo Gabriel da Palha) - (1 Jan - 28 Feb)",Weather related,Storm,10,ES
54,782,783,BRA,Brazil,2019,3/1/19,Brazil: Floods - Bahia (12 Municipalities) - (1 Mar - 30 Jun),Weather related,Flood,2877,BA
55,783,784,BRA,Brazil,2019,1/1/19,Brazil: Floods - Rio Grabde do Norte (Touros) - 1 Jan - 30 June,Weather related,Flood,173,RN
56,784,785,BRA,Brazil,2019,9/1/19,Brazil: Storm - Amazonas - 01/09/2019,Weather related,Storm,105,AM
57,785,786,BRA,Brazil,2019,1/1/19,"Brazil: Floods - Pernambuco (Amaraji, Barreiros and Camaragibe) - 1 Jan - 30 June",Weather related,Flood,3900,PE
58,786,787,BRA,Brazil,2019,1/1/19,Brazil: Floods - Amap├í (Ferreira Gomes) - 01/01/2019,Weather related,Flood,100,AP
59,787,788,BRA,Brazil,2019,10/28/19,Brazil: Storms - Rio de Janeiro - 28/10/2019,Weather related,Storm,18492,RJ
60,788,789,BRA,Brazil,2019,12/3/19,Brazil: Storms - Minas Gerais - 03/12/2019,Weather related,Storm,102,MG
61,789,790,BRA,Brazil,2019,1/1/19,Brazil: Floods - Goias (Cezarina) - (01 Jan - 28 Feb),Weather related,Flood,60,GO
62,790,791,BRA,Brazil,2019,9/13/19,Brazil: Storms - Mato Grosso Sul - 13/09/2019,Weather related,Storm,170,MS
63,791,792,BRA,Brazil,2019,7/1/19,Brazil: Landslides - Santa Catarina - 01/07/2019,Weather related,Wet mass movement,13,SC
64,792,793,BRA,Brazil,2019,3/1/19,"Brazil: Floods - Cear├í (Barroquinha, Chaval, Santana do Cariri  and Tiangu├í) - (1 Mar - 30 Jun)",Weather related,Flood,94,CE
65,793,794,BRA,Brazil,2019,12/28/19,Brazil: Storms - Mato Grosso do Sul - 28/12/2019,Weather related,Storm,36,MS
66,794,795,BRA,Brazil,2019,9/23/19,Brazil: Storms - Parana - 23/09/2019,Weather related,Storm,593,PR
67,795,796,BRA,Brazil,2019,10/1/19,Brazil: Floods - Espirito Santo - 01/10/2019,Weather related,Flood,1688,ES
68,796,797,BRA,Brazil,2019,9/13/19,Brazil: Wildfires - Moto Grosso do Sul - 13/09/2019,Weather related,Wildfire,5,MS
69,797,798,BRA,Brazil,2019,11/26/19,Brazil: Coastal Erosion - Mato Grosso - 26/11/2019,Weather related,Wet mass movement,200,MT
