"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1986"",12.80263002,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1987"",8.5245442102,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1988"",8.2801114133,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1989"",7.6428608636,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1990"",8.776444053,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1991"",7.5624607659,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1992"",8.614280304,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1993"",7.9266351001,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1994"",7.9615332369,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1995"",5.9969166338,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1996"",5.9007827487,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1997"",4.0295531553,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1998"",4.2427056727,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1999"",3.3793587337,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2000"",3.2960882928,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2001"",3.2802725114,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2002"",4.7397162431,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2003"",3.6919255349,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2004"",3.4084889613,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2005"",3.6537383086,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2006"",4.4466489359,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2007"",4.863708484,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2008"",4.4559426894,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2009"",3.1299681671,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2010"",2.973105752,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2011"",3.1959145902,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2012"",2.0300922083,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2013"",2.2336500101,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2014"",1.8995022107,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2015"",1.8015595299,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2016"",1.7019899805,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2017"",3.0169664945,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2018"",2.1035138287,"
"AUS,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2019"",1.8526785678,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1986"",36.546715899,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1987"",38.029465771,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1988"",28.918470094,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1989"",25.533267622,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1990"",30.604580015,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1991"",33.397257138,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1992"",27.167445677,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1993"",21.93821558,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1994"",18.216811585,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1995"",17.609423733,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1996"",14.757804133,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1997"",12.409427626,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1998"",14.713625515,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""1999"",15.485692427,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2000"",17.704865815,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2001"",14.546436623,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2002"",18.566638648,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2003"",22.209715518,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2004"",18.59541219,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2005"",19.388231976,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2006"",18.682157716,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2007"",15.940177274,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2008"",12.690965812,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2009"",15.539908695,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2010"",14.926156229,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2011"",13.659857247,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2012"",12.537535676,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2013"",9.1886727236,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2014"",8.0797049375,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2015"",7.7662481894,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2016"",9.3867857633,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2017"",7.5940284466,"
"CAN,""AGRSUPP"",""PSE"",""PC_GFARM"",""A"",""2018"",7.4033978379,"
