Nome: BOA VISTA
Codigo Estacao: 82024
Latitude: 2.82944443
Longitude: -60.66194444
Altitude: 84.18
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;4;44,5;33,558065;27,86;23,870968;4;
2008-02-29;7;31;33,551724;27,767586;24,2;4;
2008-03-31;7;66,8;34,103226;28,146452;23,996774;4;
2008-04-30;8;57,8;34,733333;28,648;24,743333;4;
2008-05-31;22;378,2;32,932258;27,157419;23,867742;4;
2008-06-30;23;240,5;31,98;26,59;23,49;4;
2008-07-31;26;451,8;32,232258;26,349677;22,96129;3;
2008-08-31;18;103,8;33,964516;27,845161;23,977419;3;
2008-09-30;11;136,2;34,727586;28,623333;24,503333;3;
2008-10-31;13;100,3;35,2;28,774839;24,632258;3;
2008-11-30;8;162,4;35,083333;28,871333;24,872414;3;
2008-12-31;18;290,4;33,729032;27,88;24,383871;4;
2009-01-31;11;99,8;32,809677;27,484516;24,203226;4;
2009-02-28;6;32;33,392857;27,872143;24,182143;4;
2009-03-31;7;48,7;34,967742;29,077419;24,735484;4;
2009-04-30;4;85,2;34,88;29,223333;24,833333;4;
2009-05-31;4;5,5;35,453571;29,560741;25,028571;4;
2009-06-30;19;394,3;32,813333;27,589333;23,63;4;
2009-07-31;21;318,2;33,512903;27,365161;23,503226;2;
2009-08-31;17;85,4;34,845161;28,674194;24,496774;3;
2009-09-30;3;10,2;36,686667;29,896667;25,163333;4;
2009-10-31;5;55;36,932258;29,955484;25,370968;4;
2009-11-30;2;22,2;35,996667;29,837241;25,544828;4;
2009-12-31;6;69,6;34,206452;28,563226;24,693548;4;
2010-01-31;7;18,8;34,132258;28,310968;24,245161;3;
2010-02-28;9;69,4;35,292857;29,088571;24,653571;4;
2010-03-31;4;39,2;35,587097;29,451613;25,367742;4;
2010-04-30;16;258,7;33,576667;27,794667;24,51;3;
2010-05-31;23;433,4;32,7;27,417419;24,283871;2;
2010-06-30;23;259,5;33,18;27,173333;23,613333;2;
2010-07-31;23;292;32,629032;26,503226;23,109677;2;
2010-08-31;21;231,8;33,051613;26,853548;22,941935;2;
2010-09-30;9;120;32,982609;28,023478;24,73;3;
2010-10-31;6;48,2;null;null;25,03;8,5;
2010-11-30;15;125,7;34,084;27,6952;24,42;3;
2010-12-31;13;127,1;33,725806;27,82129;24,432258;2,3;
2011-01-31;6;25,4;33,341935;27,474194;23,890323;4;
2011-02-28;6;55,4;34,375;28,318571;24,678571;3;
2011-03-31;10;143,9;33,112903;27,463226;24,054839;5;
2011-04-30;5;15,7;34,21;28,216667;24,5;4;
2011-05-31;29;667,5;31,977419;26,785806;23,777419;2;
2011-06-30;28;398,9;32,718519;26,996429;23,881481;3;
2011-07-31;23;348,4;33,270968;27,347742;24,041935;2;
2011-08-31;15;303,2;34,606452;27,960645;24,041935;2,2;
2011-09-30;12;62,7;35,233333;28,601333;24,643333;2,5;
2011-10-31;10;86,4;35,025806;28,545161;24,570968;4;
2011-11-30;12;97,6;34,686667;28,576;24,756667;3,5;
2011-12-31;5;33,7;34,612903;28,674194;24,635484;3;
2012-01-31;7;33,6;33,958065;28,094194;24,558065;4;
2012-02-29;10;16,8;33,403448;27,827586;24,144828;4;
2012-03-31;7;46,6;34,119355;28,141935;24,454839;3,5;
2012-04-30;20;246,9;33,066667;27,484667;24,29;3;
2012-05-31;17;303,7;32,735484;27,366452;23,883871;3;
2012-06-30;14;105,4;33,23;27,629333;24,233333;3;
2012-07-31;25;342,8;32,329032;26,739355;23,722581;3;
2012-08-31;24;308,6;33,051613;26,876129;23,764516;3;
2012-09-30;8;59,9;35,493333;28,791333;24,606667;2,5;
2012-10-31;7;35,6;36,380645;29,756774;25,419355;3;
2012-11-30;6;13,8;36,513333;29,75;24,993333;2,5;
2012-12-31;7;46,2;34,183871;28,48129;24,690323;3;
2013-01-31;0;0;34,958065;29,04;25,009677;4;
2013-02-28;10;78,4;33,985714;28,037143;24,521429;3,5;
2013-03-31;4;13,8;35,077419;28,989677;25,216129;4,5;
2013-04-30;13;168,6;34,443333;28,402667;25,023333;4;
2013-05-31;24;314;32,506452;27,24129;24,274194;4;
2013-06-30;14;216,4;33,35;27,672;24,443333;4;
2013-07-31;21;253,7;32,6;27,109032;23,774194;3;
2013-08-31;22;312,7;32,693548;26,957419;23,758065;2;
2013-09-30;13;74,2;35,02;28,457333;24,543333;2;
2013-10-31;9;90,1;35,648387;29,116129;24,687097;3;
2013-11-30;8;251;34,973333;28,742;24,583333;3;
2013-12-31;7;77,8;34,1;28,450323;24,877419;3;
2014-01-31;3;3,8;34,583871;28,550323;24,396774;4,5;
2014-02-28;5;19,2;34,582143;28,615714;24,535714;4;
2014-03-31;6;22;35,234483;29,186;25,222581;5;
2014-04-30;10;72,3;34,33;28,465333;24,71;4;
2014-05-31;9;79;34,922581;28,865333;25,113333;4;
2014-06-30;24;357,3;32,403333;26,952;24,166667;4;
2014-07-31;18;215,6;32,983871;27,397333;23,82;2,5722;
2014-08-31;18;195,1;33,263333;27,308667;24,380645;2,05776;
2014-09-30;6;22,5;36,156667;29,434667;24,956667;3,08664;
2014-10-31;9;121,8;35,529032;28,832258;24,96129;3,60108;
2014-11-30;8;114,7;35,493103;28,977241;25,196667;3,08664;
2014-12-31;6;30,3;35,006452;28,833333;24,96;5,1444;
2015-01-31;5;6,9;34,466667;28,592414;24,706667;4,11552;
2015-02-28;2;1;35,972;29,5016;25,060714;4,11552;
2015-03-31;2;7,7;35,22069;29,578621;25,448387;4,62996;
2015-04-30;7;56,1;35,376667;29,458;25,36;4,11552;
2015-05-31;18;335,2;32,144828;27,253103;24,380645;3,08664;
2015-06-30;20;null;33,343478;27,692174;24,4;3,08664;
2015-07-31;21;301,5;33,05;27,469333;24,13871;2,5722;
2015-08-31;16;263,7;34,553571;28,38;24,835484;2,5722;
2015-09-30;4;15,7;36,61;30,10069;25,506897;2,5722;
2015-10-31;5;44,4;37,829032;30,732;26,053333;3,08664;
2015-11-30;7;19;36,59;30,268;26,02;10,2888;
2015-12-31;7;13,5;32,75;28,422;25,048387;8,74548;
2016-01-31;null;0;null;null;25,15;9,77436;
2016-02-29;8;28,5;null;null;25,496552;9,25992;
2016-03-31;1;,4;null;null;26,413333;8,74548;
2016-04-30;5;null;null;null;null;null;
2016-05-31;19;350,4;33,210714;27,959259;24,916667;2,5722;
2016-06-30;24;352,8;32,8;27,07931;24,003333;3,08664;
2016-07-31;22;322,8;32,877419;27,155172;24,226667;2,5722;
2016-08-31;15;106,7;34,526667;28,326897;24,36;5,1444;
2016-09-30;9;143;35,841379;29,267586;24,65;3,60108;
2016-10-31;6;78,9;36,48;29,991111;25,332143;4,62996;
2016-11-30;5;47,9;35,807407;29,7592;25,417857;4,62996;
2016-12-31;7;110,3;35,167857;29,289231;25,296552;7,20216;
2017-01-31;5;20,2;33,893548;28,242581;24,329032;5,4;
2017-02-28;1;null;null;null;null;null;
2017-03-31;8;119,4;33,7875;28,098333;24,544444;5,1444;
2017-04-30;11;129;34,665517;28,762143;24,87931;4,62996;
2017-05-31;18;361,2;33,380645;27,820645;24,632258;4,11552;
2017-06-30;21;243,5;33,028;27,604;24,465517;2,05776;
2017-07-31;27;330,6;32,5;26,853077;23,692857;1,02888;
2017-08-31;10;78;35,775862;29,255;24,948276;2,5722;
2017-09-30;4;104,7;35,492308;28,890435;24,885185;3,08664;
2017-10-31;null;5,6;36,610345;29,828276;25,529032;5,65884;
2017-11-30;null;1,1;37,313333;30,190714;25,535714;6,17328;
2017-12-31;null;null;35,734783;29,239;25,131818;6,17328;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;31,6;37,148387;29,974194;25,283871;5,1444;
2018-04-30;null;161,6;35,873333;28,94;25,066667;5,1444;
2018-05-31;null;343,3;33,580645;27,324516;24,016129;4,11552;
2018-06-30;null;375,6;32,844828;26,835172;23,74;3,08664;
2018-07-31;null;413,4;32,574194;26,508387;23,448387;4,62996;
2018-08-31;null;108,4;35,75;28,481333;24,187097;3,08664;
2018-09-30;null;278,9;36,413333;28,876667;24,513333;5,1444;
2018-10-31;null;35,4;37,896774;30,243226;25,1;3,08664;
2018-11-30;null;41,6;36,783333;29,616;25,39;4,11552;
2018-12-31;null;6;35,019355;28,087097;24,222581;4,11552;
2019-01-31;null;8,6;35,859259;28,772258;24,348387;5;
2019-02-28;null;,2;36,389286;29,252143;24,728571;5;
2019-03-31;null;4,2;38,02963;30,537419;25,706452;5;
2019-04-30;null;6,6;36,936667;30,468667;26,13;4;
2019-05-31;null;416,5;32,229032;27,147097;24,477419;4;
2019-06-30;null;437;32,46;27,160667;24,006667;3;
2019-07-31;null;392,4;32,835484;27,469677;23,751613;4;
2019-08-31;null;346,7;33,053333;27,764;23,787097;3,08664;
2019-09-30;null;128,3;34,633333;28,818;24,17;5,1444;
2019-10-31;null;57,9;35,722581;29,28;24,783871;4,11552;
2019-11-30;null;211,4;34,636667;28,980667;24,773333;5,1444;
2019-12-31;null;37,2;34,319355;28,414667;24,776667;4,11552;

