Nome: CARACARAI
Codigo Estacao: 82042
Latitude: 1.83249999
Longitude: -61.12083332
Altitude: 51.99
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;4;26,2;32,580645;26,926452;22,03871;3;
2008-02-29;9;67,4;32,258621;26,842069;22,586207;3;
2008-03-31;4;68,2;32,416129;26,903871;21,806452;2;
2008-04-30;7;73,4;32,676667;27,384667;22,4;2;
2008-05-31;20;392,4;31,054839;26,187742;22,503226;3;
2008-06-30;23;359;30,689655;25,850667;22,34;2;
2008-07-31;25;334;31,112903;25,574839;21,709677;3;
2008-08-31;15;124,4;32,9;26,850968;22,56129;3;
2008-09-30;15;200,8;33,703333;27,31;22,886667;3;
2008-10-31;11;156;33,758065;27,822581;23,2;3;
2008-11-30;8;55,5;33,22;27,670667;23,846667;3;
2008-12-31;24;277,2;31,516129;26,407742;23,36129;3;
2009-01-31;15;165,6;31,16129;26,482581;23,16129;3;
2009-02-28;8;23;31,835714;26,89;23,1;3;
2009-03-31;8;114,6;32,622581;27,457419;23,703226;3;
2009-04-30;10;206;32,513333;27,385333;23,446667;3;
2009-05-31;8;71,2;32,964516;27,795484;23,748387;3;
2009-06-30;21;394,5;30,466667;25,894;22,756667;3;
2009-07-31;19;312,4;31,777419;26,519355;22,929032;2;
2009-08-31;15;138,4;33,232258;27,482581;23,516129;2;
2009-09-30;7;94,4;34,67;28,668667;23,726667;2;
2009-10-31;8;73,2;34,993548;28,71871;23,922581;3;
2009-11-30;4;47,8;34,446667;28,7;23,873333;3;
2009-12-31;6;20;33,658065;27,846452;23,651613;3;
2010-01-31;5;41;33,245161;27,569032;23;3;
2010-02-28;7;46;33,792857;28,287143;24,014286;3;
2010-03-31;13;80,6;34,393548;28,525161;24,367742;3;
2010-04-30;22;355,4;31,643333;27,126;24,086667;2;
2010-05-31;24;207,6;30,848387;26,705161;24,019355;3;
2010-06-30;23;281;31,673333;26,682667;23,606667;2;
2010-07-31;21;348,8;31,054839;26,174839;23,141935;2;
2010-08-31;22;359,4;32,003226;26,392903;23,187097;2;
2010-09-30;18;193,4;33,663333;27,574667;23,783333;2;
2010-10-31;6;86,4;33,774194;28,210323;24,403226;3;
2010-11-30;9;154,2;32,74;27,405333;24,033333;3;
2010-12-31;15;253,8;31,819355;26,883871;23,596774;3;
2011-01-31;9;49,8;31,580645;26,508387;22,925806;3;
2011-02-28;9;86,6;32,107143;27,088571;23,928571;3;
2011-03-31;15;194,4;31,348387;26,552903;23,34;3;
2011-04-30;11;183,6;31,8;26,804;23,77;3;
2011-05-31;27;560,6;30,274194;26,036774;23,612903;3;
2011-06-30;26;306,5;31,2;26,594667;23,724138;2;
2011-07-31;19;299,6;31,567742;26,445161;23,567742;3;
2011-08-31;13;143,8;32,806452;27,079355;23,645161;3;
2011-09-30;14;154,8;33,686667;27,553333;23,783333;2;
2011-10-31;10;154,2;33,019355;27,500645;23,729032;3;
2011-11-30;10;221,4;32,753333;27,546;24,2;3;
2011-12-31;6;20,6;33,516129;27,870323;24,174194;3;
2012-01-31;9;88,4;32,451613;27,078065;23,653333;3;
2012-02-29;11;66,1;31,889655;26,733103;23,262069;3;
2012-03-31;13;202,9;31,677419;26,652258;23,245161;3;
2012-04-30;21;337,3;31,146667;26,353333;23,533333;2;
2012-05-31;20;294,6;31,735484;26,454839;23,329032;3;
2012-06-30;18;253,5;31,706667;26,551333;23,55;3;
2012-07-31;21;358,2;31,045161;25,796774;22,935484;2;
2012-08-31;18;263,2;32,258065;26,345161;23,254839;3;
2012-09-30;13;214,2;33,846667;27,293333;23,366667;2;
2012-10-31;6;50,2;34,745161;28,571613;24,313333;2;
2012-11-30;4;51;35,01;28,613333;23,993333;3;
2012-12-31;8;99,2;32,993548;27,639355;23,690323;3;
2013-01-31;0;0;34,083871;28,109032;23,56129;3;
2013-02-28;15;153;31,82963;26,845714;23,778571;3;
2013-03-31;5;null;33,216;27,7216;23,88;3;
2013-04-30;15;null;31,294444;26,521111;23,594444;2;
2013-05-31;21;489,2;31,219355;26,518065;23,696774;3;
2013-06-30;18;295;32,3;26,758667;23,686667;2;
2013-07-31;27;280,2;31,464516;26,063871;23,064516;2;
2013-08-31;20;216,6;31,632258;26,22;23,287097;3;
2013-09-30;17;157,2;33,373333;27,187333;23,553333;3;
2013-10-31;9;51,6;34,187097;28,022581;23,890323;3;
2013-11-30;3;72,4;33,713333;27,865333;24,113333;3;
2013-12-31;null;65,4;33,109677;27,576774;23,780645;3;
2014-01-31;null;7,2;34;27,83871;23,264516;3;
2014-02-28;null;17,8;33,757143;27,865714;23,707143;3;
2014-03-31;null;46,4;34,432258;28,61871;23,919355;3;
2014-04-30;null;270,7;32,18;27,362667;23,84;3;
2014-05-31;null;211,8;32,63871;27,5488;24,152;2;
2014-06-30;null;283;31,193333;26,533571;23,867857;3;
2014-07-31;null;166,2;32,033333;26,76;23,526667;2,05776;
2014-08-31;null;189,6;32,264516;26,75;23,664516;2,05776;
2014-09-30;null;36,6;35,006667;28,624828;23,958621;2,05776;
2014-10-31;null;78,2;34,019355;27,92;23,96129;3,08664;
2014-11-30;null;29,2;33,926667;28,290667;24,06;3,08664;
2014-12-31;null;0;35,070968;28,752903;24,03871;2,05776;
2015-01-31;null;52;33,864516;27,969032;23,664516;3,08664;
2015-02-28;null;19,6;34,955556;28,645926;23,792857;3,08664;
2015-03-31;null;54,4;34,2;28,858667;24,832258;3,08664;
2015-04-30;null;138,2;33,972414;28,484138;24,326667;3,08664;
2015-05-31;null;194,2;31,167742;26,658065;23,825806;3,60108;
2015-06-30;null;336,8;31,733333;26,546207;23,517241;2,05776;
2015-07-31;null;283,6;31,929032;26,655333;23,49;2,05776;
2015-08-31;null;102,8;33,451613;27,469677;23,922581;3,08664;
2015-09-30;null;44;35,753333;29,130667;24,406667;2,05776;
2015-10-31;null;6;36,6;30,085161;25,277419;2,05776;
2015-11-30;null;37;35,853333;29,38;24,893333;3,08664;
2015-12-31;null;null;35,12381;28,822857;24,345455;3,08664;
2016-01-31;null;1;36,203448;29,640714;24,206667;3,08664;
2016-02-29;null;41,2;34,834483;29,167931;25,057143;3,08664;
2016-03-31;null;3;36,174194;30,196129;25,974194;3,08664;
2016-04-30;null;289,8;33,62;28,445517;24,78;2,05776;
2016-05-31;null;387;33,006897;27,6;24,422581;2,05776;
2016-06-30;null;547,8;31,78;26,4;23,353333;2,05776;
2016-07-31;null;393;32,533333;26,708;23,967742;2,05776;
2016-08-31;null;190;33,496774;27,567742;24,225806;2,05776;
2016-09-30;null;126,4;34,142857;27,825;24,226667;2,05776;
2016-10-31;null;143;35,283871;29,02;24,851613;2,05776;
2016-11-30;null;146;34,333333;28,703448;24,593333;3,08664;
2016-12-31;null;115,8;33,1;27,828;24,319355;2,05776;
2017-01-31;null;143,8;32,083871;26,889655;23,758621;3;
2017-02-28;null;97,6;31,907143;26,939259;23,659259;3,08664;
2017-03-31;null;112,8;32,025806;27,103226;23,845161;4,11552;
2017-04-30;null;176;32,034483;27,246897;24,186667;3,08664;
2017-05-31;null;274,4;31,953333;26,947586;23,993333;2,05776;
2017-06-30;null;326;31,666667;26,579333;23,82;2,05776;
2017-07-31;null;292,1;30,814286;26,096;23,474074;3,08664;
2017-08-31;null;146,8;33,85;27,831034;24,126667;2,05776;
2017-09-30;null;192,8;33,889655;27,435862;23,82;2,05776;
2017-10-31;null;48,4;34,309677;28,305333;24,293333;3,08664;
2017-11-30;null;20,4;35,586667;29,311724;24,413793;3,08664;
2017-12-31;null;25,4;34,4;27,997241;23,709677;2,05776;
2018-01-31;null;30,4;34,209677;27,829677;22,832258;3,08664;
2018-02-28;null;43,9;34,714286;28,548571;23,45;3,08664;
2018-03-31;null;28,6;34,703226;28,812903;24,03871;3,08664;
2018-04-30;null;478,2;33,213793;27,477241;23,706667;2,05776;
2018-05-31;null;374,6;31,235484;26,256667;23,58;3,08664;
2018-06-30;null;446,6;30,989655;26,088966;23,5;3,08664;
2018-07-31;null;518,8;31,412903;26,034839;23,083871;2,05776;
2018-08-31;null;124,8;33,890323;27,348387;23,396774;3,08664;
2018-09-30;null;241,6;34,251724;27,835172;23,846667;2,5722;
2018-10-31;null;27,6;36,525806;29,436129;24,493548;2,05776;
2018-11-30;null;61;34,626667;28,62;24,453333;3,08664;
2018-12-31;null;62,8;32,813333;27,146207;22,933333;3,08664;
2019-01-31;null;8,2;33,941935;28,034839;23,729032;3;
2019-02-28;null;2;34,878571;28,861429;24,085714;3;
2019-03-31;null;3;36,858065;30,135484;24,567742;3;
2019-04-30;null;32;35,273333;29,617333;25,18;3;
2019-05-31;null;619;31,219355;26,690968;24,106452;3;
2019-06-30;null;397,8;31,953333;26,962667;23,778571;2;
2019-07-31;null;347,2;32,369231;26,704615;23,585714;2,05776;
2019-08-31;null;313,2;32,844444;26,687692;23,496296;3;
2019-09-30;null;75,6;34,18;28,004;24,306667;3,08664;
2019-10-31;null;86,7;33,916129;27,698065;24,070968;3,08664;
2019-11-30;null;100,6;33,74;27,905333;24,406667;3,08664;
2019-12-31;null;197,6;32,716129;27,623871;24,287097;3,08664;

