Nome: MACAPA
Codigo Estacao: 82098
Latitude: -0.04499999
Longitude: -51.11
Altitude: 12.8
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;26;239,8;29,951613;26,147742;23,677419;4,6;
2008-02-29;26;268,7;30,382759;26,187586;23,624138;5,8;
2008-03-31;21;376,3;30,132258;25,965806;23,441935;5,3;
2008-04-30;26;334,3;30,396667;26,409333;24,05;4,3;
2008-05-31;21;261,6;30,458065;26,54;23,993548;4,3;
2008-06-30;21;192,1;31,036667;26,482667;23,746667;3,3;
2008-07-31;20;172,6;32,406452;27,154194;24,058065;4,6;
2008-08-31;5;30,6;33,351613;28,401935;24,790323;5;
2008-09-30;6;25,2;33,736667;28,64;24,38;5,5;
2008-10-31;6;89,7;33,554839;28,910323;24,590323;5,3;
2008-11-30;1;15,8;34,066667;29,137333;24,723333;6;
2008-12-31;17;346,6;32,290323;27,67871;24,312903;6,6;
2009-01-31;25;339,2;31,093548;26,823871;23,912903;4,1;
2009-02-28;26;522,7;30,285714;26,161429;23,942857;4,5;
2009-03-31;26;316,2;30,622581;26,623871;24,190323;4,6;
2009-04-30;23;363,7;30,813333;26,754667;24,216667;4,5;
2009-05-31;24;317,2;31,122581;26,609677;24,112903;5,6;
2009-06-30;24;286,2;31,396667;26,896;24,036667;4,5;
2009-07-31;20;150,9;32,732258;27,444516;24,174194;4,5;
2009-08-31;11;67;33,306452;28,205161;24,706452;5,3;
2009-09-30;2;1,1;33,896667;28,924667;24,576667;6,3;
2009-10-31;2;9,2;34,554839;29,218065;24,532258;5,8;
2009-11-30;1;,2;34,013333;29,129333;24,94;5,5;
2009-12-31;17;134,4;32,212903;27,643226;24,429032;6,3;
2010-01-31;24;281,2;31,383871;26,951613;24,270968;5,6;
2010-02-28;23;206,9;31,414286;27,459286;24,978571;5;
2010-03-31;24;214,7;32,348387;27,894194;25,029032;4,6;
2010-04-30;28;401,9;31,82;27,388667;24,836667;6;
2010-05-31;22;345,6;33,025806;27,987742;25,090323;4,2;
2010-06-30;25;286,7;32,72;27,533333;24,25;5,5;
2010-07-31;14;115,4;33,129032;27,623871;24,46129;3,5;
2010-08-31;14;155,3;33,722581;28,096774;24,506452;4,6;
2010-09-30;10;33,6;33,773333;28,770667;24,896667;7,5;
2010-10-31;3;91,8;34,777419;29,325806;24,548387;6,1;
2010-11-30;6;79,6;33,55;28,656667;24,176667;5,3;
2010-12-31;17;202,9;32,487097;27,227097;23,519355;5,1;
2011-01-31;28;253,9;30,277419;25,985806;23,180645;6,1;
2011-02-28;20;371,6;30,757143;26,102143;23,432143;4,5;
2011-03-31;23;456,2;30,548387;26,236774;23,464516;4,3;
2011-04-30;21;242,2;31,043333;26,532667;23,766667;4;
2011-05-31;24;377,4;31,977419;27,024516;24,1;4,1;
2011-06-30;22;270;32,796667;27,376667;23,92;3,8;
2011-07-31;17;325,4;32,641935;27,09871;23,229032;3,5;
2011-08-31;11;95,2;33,693548;28,330323;24,203226;5;
2011-09-30;1;,1;34,273333;28,946;24,653333;6;
2011-10-31;6;129,7;34,203333;28,856667;24,545161;5,6;
2011-11-30;5;28,4;33,533333;28,72;24,396667;6,3;
2011-12-31;5;7,6;33,651613;28,650323;24,212903;5,8;
2012-01-31;20;206,6;31,648387;26,826452;23,545161;6;
2012-02-29;21;381,6;30,217241;25,991724;22,582759;4,2;
2012-03-31;27;465,9;30,603226;26,14;23,045161;5;
2012-04-30;24;273,7;31,573333;26,958667;23,59;5,8;
2012-05-31;19;256,9;32,335484;27,605161;23,654839;5,8;
2012-06-30;17;130,2;32,426667;27,483333;23,35;4,8;
2012-07-31;25;214;32,716129;27,316774;24,193548;4,5;
2012-08-31;14;77,2;32,787097;27,81871;24,170968;5,1;
2012-09-30;3;10;33,433333;28,486;23,91;5;
2012-10-31;2;9,6;33,93871;28,86129;24,270968;5,8;
2012-11-30;1;16,4;34,113333;29,029333;24,04;5,5;
2012-12-31;8;111,2;33,2;28,303871;24,077419;5,6;
2013-01-31;23;328,8;31,27;26,747097;23,722581;5;
2013-02-28;27;427,4;30,382143;26,19;23,003571;5,3;
2013-03-31;25;387,7;30,758065;26,867097;23,825806;5,5;
2013-04-30;23;516,5;31,15;26,846667;23,813333;4,6;
2013-05-31;10;461,2;31,345161;27,005161;23,970968;5;
2013-06-30;null;179,7;32,136667;27,498;24,203333;5,1;
2013-07-31;null;251,7;31,770968;26,865161;23,532258;7;
2013-08-31;null;160,5;32,654839;27,696129;24,4;4,6;
2013-09-30;null;18;32,936667;28,44;24,663333;5,8;
2013-10-31;null;16,3;33,425806;28,755484;24,693548;5,8;
2013-11-30;null;26,3;33,323333;28,659333;24,696667;5,8;
2013-12-31;null;78,5;32,641935;27,944516;23,829032;4,6;
2014-01-31;null;170,2;30,925806;26,320645;22,974194;4,4;
2014-02-28;null;494,1;29,525;25,817143;23,253571;4,3;
2014-03-31;null;335,8;29,870968;26,091613;23,480645;5,4;
2014-04-30;null;452,3;30,55;26,551333;23,763333;5;
2014-05-31;null;271,1;30,490323;26,571613;23,693548;4,1;
2014-06-30;null;428,9;31,646667;27,112;24,293333;5,5;
2014-07-31;null;155,3;32,145161;27,464516;24,332258;6,1;
2014-08-31;null;91,3;32,829032;27,944516;24,487097;7,7;
2014-09-30;null;78,8;33,023333;28,360667;24,093333;6;
2014-10-31;null;15,6;34,336667;28,992903;24,616129;6,3;
2014-11-30;null;2,5;34,41;28,982667;24,234483;5;
2014-12-31;null;32,8;33,441935;28,394839;24,090323;4,8;
2015-01-31;null;174,9;32,133333;27,324;23,393548;4,2;
2015-02-28;null;249,7;31,110714;26,490714;23,25;5,6;
2015-03-31;null;554,2;30,958065;26,305806;23,409677;3,8;
2015-04-30;null;584,5;30,816667;26,468966;23,910345;4,2;
2015-05-31;null;375,9;31,706452;27,14129;24,335484;3,8;
2015-06-30;null;256,7;32,446667;27,445333;24,53;3,8;
2015-07-31;null;114,2;32,909677;27,669032;24,551613;3,8;
2015-08-31;null;85,1;33,912903;28,598065;25,054839;5,3;
2015-09-30;null;0;34,369231;29,105517;24,7;5,3;
2015-10-31;null;0;34,703226;29,164516;24,593548;5,6;
2015-11-30;null;0;34,636667;29,242;24,34;5,4;
2015-12-31;null;26,6;34,174194;28,669677;24,322581;6;
2016-01-31;null;116,3;32,866667;27,586667;23,936667;5,5;
2016-02-29;null;528,2;31,921429;27,044828;23,8;4,2;
2016-03-31;null;476,4;31,236667;27,028387;24,419355;3,6;
2016-04-30;null;491,6;30,983333;27,211034;24,806897;8,9;
2016-05-31;null;155,8;32,109677;28,07871;25,245161;4,6;
2016-06-30;null;203;32,506667;27,593333;24,26;9,2;
2016-07-31;null;163,9;32,745161;27,670968;24,490323;3,3;
2016-08-31;null;53,7;33,558065;28,551613;24,66129;3,5;
2016-09-30;null;26,1;33,653333;28,725333;24,473333;3,8;
2016-10-31;null;,2;34,2;29,235;24,935;3,60108;
2016-11-30;null;null;null;null;null;null;
2016-12-31;null;274,8;32,23913;27,876364;24,204545;4;
2017-01-31;null;219,8;30,33913;26,201739;23,630435;3,3;
2017-02-28;null;416,1;29,934615;25,871538;23,676923;3,2;
2017-03-31;null;421,1;29,978261;26,013043;23,63913;3;
2017-04-30;null;259,6;31,26;27,042;24,315;3;
2017-05-31;null;214,7;31,83913;27,573043;24,491304;3;
2017-06-30;null;234,2;32,036364;27,480909;24,631818;3;
2017-07-31;null;242,1;33,071429;27,72381;24,185714;2;
2017-08-31;null;59,8;33,066667;28,398519;24,859259;4,4;
2017-09-30;null;70,7;33,34;28,673333;24,956667;4,6;
2017-10-31;null;0;33,543333;29,045806;24,825806;4,2;
2017-11-30;null;1,3;33,656667;28,917333;24,523333;3,8;
2017-12-31;null;168,1;31,838095;27,573333;24,557143;3,8;
2018-01-31;null;134,2;null;null;null;null;
2018-02-28;null;206,1;null;null;null;null;
2018-03-31;null;328;30,4;26,702857;24,266667;4,1;
2018-04-30;null;524,5;30,524138;26,276552;23,789286;2,6;
2018-05-31;null;415,3;30,732258;26,750968;24,229032;3,5;
2018-06-30;null;217,5;31,71;27,256667;24,316667;3,3;
2018-07-31;null;192,5;31,584;27,0952;23,912;3,3;
2018-08-31;null;88,1;32,36129;27,805161;24,067742;3,6;
2018-09-30;null;33,7;33,19;28,656;24,693333;4,1;
