Nome: SAO GABRIEL DA CACHOEIRA(UAUPES)
Codigo Estacao: 82106
Latitude: -0.12527777
Longitude: -67.06111111
Altitude: 79.71
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;25;417,8;33,203226;25,966452;21,196774;3;
2008-02-29;20;247,2;33,641379;25,902069;21,006897;3;
2008-03-31;15;268,4;34,345161;26,254194;20,916129;3;
2008-04-30;18;119,3;34,346667;26,540667;21,213333;3;
2008-05-31;26;334,9;31,590323;25,014194;20,341935;3;
2008-06-30;21;242,7;32,506667;25,512;20,57;2;
2008-07-31;24;264,1;32,967742;25,2;19,929032;3;
2008-08-31;20;176,3;34,093548;25,948387;19,929032;3;
2008-09-30;15;221,9;34,666667;26,378;20,173333;2;
2008-10-31;18;191;34,7;26,368387;19,983871;3;
2008-11-30;22;298,4;33,596667;26,115333;20,2;3;
2008-12-31;23;340,2;33,145161;25,92;20,116129;3;
2009-01-31;25;383,7;32,551613;25,54;19,790323;3;
2009-02-28;22;315,3;33,557143;25,717143;19,507143;3;
2009-03-31;21;304,7;33,564516;25,968387;20,645161;3;
2009-04-30;18;252,9;33,996667;26,258667;20,926667;3;
2009-05-31;21;302,1;33,235484;25,937419;20,4;3;
2009-06-30;22;391,7;31,88;25,029333;19,74;2;
2009-07-31;25;130,4;33,422581;25,630968;19,632258;3;
2009-08-31;20;244,2;33,86129;25,762581;19,580645;3;
2009-09-30;18;154,2;35,126667;26,468667;19,743333;3;
2009-10-31;17;271,7;34,674194;26,756774;21,729032;3;
2009-11-30;10;133,7;35,793333;27,628;22,633333;3;
2009-12-31;7;null;35,017647;27,0825;22,458824;3;
2010-01-31;21;294,1;34,729032;27,257419;22,464516;6;
2010-02-28;15;259,6;34,403571;27,106429;22,360714;3;
2010-03-31;20;226,6;34,654839;27,054839;22,377419;3;
2010-04-30;23;360,2;32,93;26,236;21,8;3;
2010-05-31;23;368,5;32,870968;26,470968;22,76129;4;
2010-06-30;19;324,3;33,136667;26,164138;22,242857;2;
2010-07-31;18;151,9;32,64;25,585806;21,353333;3;
2010-08-31;17;103;33,748387;26,308667;21,96;3;
2010-09-30;14;165,9;35,18;27,238667;22,643333;3;
2010-10-31;14;176;35,474194;27,156129;22,074194;3;
2010-11-30;16;328,4;34,293333;26,785333;22,17931;3;
2010-12-31;21;223,7;33,941935;26,533548;22,106452;3;
2011-01-31;22;459,8;32,993548;26,107097;22;3;
2011-02-28;15;242,8;33,657143;26,102857;21,414286;3;
2011-03-31;17;276,9;33,219355;26,234839;21,46129;3;
2011-04-30;15;329;33,480769;26,146667;21,657143;3,08664;
2011-05-31;20;474,2;31,919355;25,500645;21,109677;3;
2011-06-30;16;191,6;32,9;25,966316;21,421053;3;
2011-07-31;18;119,3;33,712903;26,113548;21,235484;3;
2011-08-31;13;118,1;35,193548;26,636129;21,477419;3;
2011-09-30;20;192,6;34,373333;26,486667;22,623333;3;
2011-10-31;9;209,8;34,422581;27,065161;23,06129;3;
2011-11-30;15;156,3;34,23;26,846;23,296667;3;
2011-12-31;24;266,5;33,632258;26,50129;23,048387;3;
2012-01-31;25;368;33,029032;26,097419;22,967742;3;
2012-02-29;23;393,1;32,331034;25,444138;22,541379;3;
2012-03-31;22;511,8;32,687097;25,791613;22,63871;3;
2012-04-30;22;264,2;33,423333;25,955333;22,763333;3;
2012-05-31;22;336,7;33,177419;25,863226;22,883871;3;
2012-06-30;21;188,5;32,993333;25,767333;22,62;3;
2012-07-31;21;293,8;32,053571;25,302759;22,414286;3;
2012-08-31;15;155,8;33,158065;25,729677;22,251613;3;
2012-09-30;16;259,8;34,776667;26,291333;22,463333;3;
2012-10-31;11;97,8;35,193548;26,761935;22,832258;3;
2012-11-30;16;126,8;36,5;27,607333;23,46;5;
2012-12-31;18;192;33,135484;26,350968;23,012903;3;
2013-01-31;15;144,9;33,241935;26,388387;23,429032;3;
2013-02-28;20;432,8;32,542857;26,043571;23,296429;3;
2013-03-31;19;461,9;33,254839;26,373548;23,364516;3;
2013-04-30;15;336,6;33,136667;26,394;23,313333;3;
2013-05-31;10;426,7;32,012903;25,915484;23,222581;3;
2013-06-30;null;313,3;32,168966;25,938571;22,917241;5;
2013-07-31;null;164;31,380645;25,033548;22,116129;3;
2013-08-31;null;295,8;31,619355;25,590968;22,629032;2;
2013-09-30;null;226,9;32,726667;26,025333;22,753333;3;
2013-10-31;null;117,6;33,8;26,736129;23,112903;2;
2013-11-30;null;348,7;33,716667;26,648667;23,09;2;
2013-12-31;null;105,9;33,129032;26,833548;23,52;2;
2014-01-31;null;368,7;32,964516;26,511613;23,106452;2;
2014-02-28;null;280,9;33,132143;26,360714;23,067857;2,1;
2014-03-31;null;270,9;32,7;26,181935;22,993548;2;
2014-04-30;null;341,5;33,17;26,210667;22,876667;2;
2014-05-31;null;410,1;32,845161;26,227742;22,806452;2;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;173,7;31,892857;25,523571;22,224138;2,05776;
2014-08-31;null;278,2;32,06;25,531333;22,083871;2,5722;
2014-09-30;null;142,3;34,416667;26,862759;22,593333;4,11552;
2014-10-31;null;213,1;33,370968;26,762759;23,110345;2,05776;
2014-11-30;null;198;33,482759;26,903448;23,496667;2,5722;
2014-12-31;null;367,8;33,503226;null;null;2,05776;
2015-01-31;null;382,7;32,84;null;null;2,05776;
2015-02-28;null;188,4;33,12963;26,568889;22,95;3,08664;
