Nome: OBIDOS
Codigo Estacao: 82178
Latitude: -1.905
Longitude: -55.5236111
Altitude: 54.72
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;26;441,6;30,219355;25,992258;23,180645;3;
2008-02-29;19;242,9;30,617241;26,009655;23,113793;5;
2008-03-31;25;382;29,677419;25,412903;22,806452;5;
2008-04-30;26;460,1;30,023333;25,744667;22,84;6;
2008-05-31;20;302,2;30,076667;26,073548;23,148387;5;
2008-06-30;10;119;31,306667;26,824;23,37;5;
2008-07-31;3;45,3;32,306452;27,390968;23,354839;6;
2008-08-31;2;14,3;33,367742;28,197419;24,119355;6;
2008-09-30;9;49,7;33,683333;28,062;24,056667;7;
2008-10-31;10;126,1;32,883871;27,879355;23,916129;7;
2008-11-30;8;158,1;32,81;28,179333;24,453333;5;
2008-12-31;18;282,8;31,122581;26,774194;23,754839;3;
2009-01-31;20;158,9;31,316129;26,736774;23,76129;3;
2009-02-28;23;394,5;30,428571;26,132143;23,378571;7;
2009-03-31;26;343,7;30,16129;26,08;23,590323;4;
2009-04-30;23;234,4;30,54;26,486667;23,81;3;
2009-05-31;21;392,9;30,041935;25,874194;23,367742;5;
2009-06-30;14;118,2;30,82;26,452667;23,33;5;
2009-07-31;3;17,1;32,393548;27,405806;23,525806;7;
2009-08-31;2;6,7;34,080645;28,512258;24,019355;6;
2009-09-30;0;0;34,676667;29,052;24,47;6;
2009-10-31;5;18,4;34,867742;29,274839;24,774194;6;
2009-11-30;5;52,3;34,65;29,240667;24,946667;6;
2009-12-31;16;159,7;33,609677;28,291613;24,541935;5;
2010-01-31;18;216,9;32,077419;27,414839;24,035484;6;
2010-02-28;18;211,4;32,010714;27,494286;24,428571;6;
2010-03-31;22;226,4;32,593548;27,912258;24,409677;6;
2010-04-30;24;356;30,986667;26,957333;24,036667;7,2;
2010-05-31;16;369,4;31,322581;27,456129;24,429032;4;
2010-06-30;11;102,8;31,953333;27,52;24,186667;5;
2010-07-31;13;177,4;31,677419;27,009032;23,73871;7;
2010-08-31;6;51;32,896774;28,073548;24,335484;5;
2010-09-30;7;57,9;34,176667;28,582667;24,57;7;
2010-10-31;9;64,9;34,683871;29,02;24,83871;5;
2010-11-30;13;186,4;33,12;28,027333;24,396667;8,6;
2010-12-31;22;231,4;31,987097;27,294839;23,977419;4;
2011-01-31;26;421,6;30,403226;26,067097;23,193548;5;
2011-02-28;23;347,3;30,596429;26,223571;23,492857;5;
2011-03-31;23;497,4;31,054839;26,483226;23,541935;4;
2011-04-30;23;379,4;30,306667;26,194667;23,413333;5;
2011-05-31;18;180,5;30,751613;26,880645;24,025806;4;
2011-06-30;9;74,6;31,756667;27,320667;24,246667;5;
