Nome: MONTE ALEGRE
Codigo Estacao: 82181
Latitude: -2
Longitude: -54.07638888
Altitude: 100.52
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;18;199;30,219355;26,145806;22,909677;6,6;
2008-02-29;14;119,8;29,975862;26,047586;22,9;5;
2008-03-31;21;400,1;29,190323;25,515484;22,735484;4,6;
2008-04-30;23;313,4;29,616667;25,892;23,196667;5,8;
2008-05-31;24;481,3;31,270968;26,386452;23,141935;5,6;
2008-06-30;12;91,5;30,55;26,626;23,386667;5,6;
2008-07-31;8;84,6;31,570968;27,275484;23,612903;5;
2008-08-31;2;9;32,4;28,198065;24,509677;6,6;
2008-09-30;5;23,6;32,946667;28,454;24,226667;7;
2008-10-31;5;41;32,996774;28,231613;24,083871;6,6;
2008-11-30;2;18;33,253333;28,561333;24,49;6,3;
2008-12-31;11;211,9;31,212903;27,134194;23,83871;6;
2009-01-31;21;126,4;30,348387;26,367742;23,554839;6,6;
2009-02-28;21;298,6;29,9;26,078571;23,171429;9,1;
2009-03-31;23;310;30,174194;26,167742;23,425806;5,6;
2009-04-30;19;338,6;30,136667;26,420667;23,643333;9,5;
2009-05-31;25;673,6;29,687097;26,054194;23,183871;5,5;
2009-06-30;15;162,8;30,163333;26,404667;23,473333;5;
2009-07-31;10;57,9;30,976667;27,002581;23,625806;6;
2009-08-31;4;11;32,193333;28,066;24,33;6,6;
2009-09-30;2;,4;32,846667;28,467333;24,156667;7,6;
2009-10-31;1;,4;33,680645;29,007742;24,690323;7;
2009-11-30;2;22,9;33,103333;28,515333;24,22;6,6;
2009-12-31;12;236,6;31,554839;27,376774;23,906452;8,6;
2010-01-31;12;14,8;31,325806;26,997419;23,690323;6,6;
2010-02-28;14;177,6;31,067857;27,204286;24,182143;6,6;
2010-03-31;10;114,7;32,048387;27,876129;24,529032;7,3;
2010-04-30;26;355,2;30,23;26,77;23,92;8,3;
2010-05-31;18;267,5;31,196774;27,402581;24,451613;5,8;
2010-06-30;15;84,6;31,436667;27,425333;24,046667;5,8;
2010-07-31;17;223,8;31,154839;27,056774;23,53871;5;
2010-08-31;5;69,8;32,467742;28,103871;24,493548;7;
2010-09-30;3;16,6;33,143333;28,544667;24,413333;6,1;
2010-10-31;4;22,5;34,058065;28,92;24,548387;6,7;
2010-11-30;5;85,7;32,95;28,418;24,466667;6,6;
2010-12-31;14;193,6;31,835484;27,346452;23,941935;5;
2011-01-31;22;351,8;29,996774;25,840645;23,051613;5;
2011-02-28;19;274;29,735714;25,847143;23,042857;5;
2011-03-31;25;453,5;29,883871;25,971613;23,077419;5;
2011-04-30;25;512,3;30;25,974;23,196667;5,5;
2011-05-31;20;429,3;30,112903;26,501935;23,616129;5;
2011-06-30;15;117,3;30,89;26,996;23,66;5;
2011-07-31;10;70,4;30,967742;27,018065;23,748387;5;
2011-08-31;2;5,3;32,648387;28,223226;24,406452;6,6;
2011-09-30;1;12,4;33,43;28,588667;24,363333;6,6;
2011-10-31;6;106,5;33,245161;28,449677;24,396774;6,6;
2011-11-30;5;41,9;32,476667;28,076;24,32;6,6;
2011-12-31;3;9,4;33,332258;28,624516;24,329032;6,6;
2012-01-31;17;223,9;31,177419;26,859355;23,474194;6,6;
2012-02-29;19;326,6;29,671429;25,796429;22,817857;6,6;
2012-03-31;25;361,9;30,041935;26,071333;23,054839;5;
2012-04-30;21;234,6;30,753333;26,731333;23,48;5,3;
2012-05-31;18;213,8;30,829032;27,027097;23,370968;6;
2012-06-30;18;174,8;30,56;26,779333;23,246667;6,6;
2012-07-31;16;181,5;30,958065;26,863226;23,23871;5;
2012-08-31;4;10,3;32,293548;27,881935;23,941935;7,5;
2012-09-30;2;1,4;32,993103;28,381379;24,010345;6,6;
2012-10-31;3;5,6;33,496774;28,603871;24,335484;6,6;
2012-11-30;2;46,4;34,216667;28,972667;24,406667;7,5;
2012-12-31;12;185,1;31,380645;27,166452;23,487097;7;
2013-01-31;18;166,9;31,245161;26,896129;23,477419;6,6;
2013-02-28;17;145,5;30,371429;26,153571;22,864286;6,6;
2013-03-31;20;151,7;30,935484;26,721935;23,664516;6,6;
2013-04-30;19;228,9;30,64;26,703333;23,356667;5;
2013-05-31;10;216,1;30,525806;26,565161;23,087097;6;
2013-06-30;null;102,5;31,05;27,004667;23,173333;6,3;
2013-07-31;null;141,5;30,951613;26,603871;22,56129;5;
2013-08-31;null;114,8;31,974194;27,407097;23,035484;5;
2013-09-30;null;47,4;32,226667;27,676667;23,066667;6,6;
2013-10-31;null;11,1;33,212903;28,337419;23,248387;6,6;
2013-11-30;null;75;32,006667;27,530667;22,96;6,6;
2013-12-31;null;70,8;32,390323;27,686452;23,019355;8,3;
2014-01-31;null;130;30,803226;26,308387;22,267742;6,6;
2014-02-28;null;334;29,682143;25,477143;21,767857;6,6;
2014-03-31;null;199,1;30,122581;25,822581;22,129032;7;
2014-04-30;null;275,9;30,173333;26,318;22,373333;6,6;
2014-05-31;null;183,5;30,267742;26,429677;22,554839;5;
