Nome: PORTO DE MOZ
Codigo Estacao: 82184
Latitude: -1.751055
Longitude: -52.236186
Altitude: 13.08
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;24;224,6;30,367742;26,227742;23,66129;1,3;
2008-02-29;20;226,8;30,668966;26,155172;23,644828;1,1;
2008-03-31;23;326;31,022581;26,729677;24,041935;1,1;
2008-04-30;25;398,7;30,856667;26,698667;24,02;1;
2008-05-31;26;389,1;30,525806;26,663871;23,890323;1;
2008-06-30;24;353,6;30,83;26,67;23,76;1;
2008-07-31;12;87;31,845161;27,503226;24,019355;1,8;
2008-08-31;12;51,9;33,63871;28,355484;24,56129;2;
2008-09-30;15;79,7;33,066667;28,223333;24,436667;1;
2008-10-31;11;91,3;33,177419;28,454194;24,722581;1;
2008-11-30;5;32,3;33,496667;28,720667;24,993333;1;
2008-12-31;16;204,3;32,083871;27,566452;24,374194;1,1;
2009-01-31;21;223,4;30,674194;26,673548;23,974194;1;
2009-02-28;26;471,4;29,696429;25,966429;23,739286;1;
2009-03-31;28;536,1;30,312903;26,534194;24,019355;1,4;
2009-04-30;21;145,8;31,086667;26,94;24,323333;1;
2009-05-31;26;362,6;30,322581;26,59871;24,070968;1,1;
2009-06-30;24;328;30,526667;26,776667;23,87;1,1;
2009-07-31;null;null;null;null;null;null;
2009-08-31;11;40,9;33,441935;28,474839;24,896774;1,1;
2009-09-30;7;59,8;33,633333;28,639333;24,746667;1,1;
2009-10-31;6;99;34,170968;29,096774;25,077419;1;
2009-11-30;2;5,2;33,853333;29,074;25,256667;1;
2009-12-31;17;158,1;32,306452;27,590323;24,506452;1,3;
2010-01-31;23;256,8;31,183871;26,832258;24,196774;1,3;
2010-02-28;24;225;31,610714;27,282857;24,607143;1,3;
2010-03-31;23;202;32,609677;27,956129;25,093548;1,3;
2010-04-30;28;540,2;31,073333;27,196;24,516667;2;
2010-05-31;23;349,5;31,683871;27,676129;24,870968;1;
2010-06-30;14;181,8;31,976667;27,689333;24,376667;1,1;
2010-07-31;null;null;null;null;null;null;
2010-08-31;14;70,8;33,070968;28,175484;24,551613;1,3;
2010-09-30;12;53,2;33,72;28,636667;24,743333;1,3;
2010-10-31;5;51;34,383871;29,100645;24,8;1,3;
2010-11-30;14;39,3;33,643333;28,552667;24,79;1,1;
2010-12-31;17;141;32,083871;27,390968;24,258065;1,1;
2011-01-31;26;377,4;30,370968;26,148387;23,587097;1,1;
2011-02-28;23;317,3;30,767857;26,297857;23,553571;1,1;
2011-03-31;25;309,7;30,767742;26,596129;23,987097;1,3;
2011-04-30;27;404,1;30,166667;26,362667;23,926667;1,1;
2011-05-31;29;430,2;31,064516;26,990323;24,109677;1,1;
2011-06-30;19;225,8;32,163333;27,488667;24,306667;1,1;
2011-07-31;null;null;null;null;null;null;
2011-08-31;10;51,4;33,925806;28,585161;24,790323;1,2;
2011-09-30;10;38,1;34,223333;28,779333;24,84;1,3;
2011-10-31;10;48,6;33,945161;28,658667;24,87;1,3;
2011-11-30;12;92,7;33,143333;28,250667;24,69;1,3;
2011-12-31;9;36,7;34,022581;28,673548;24,958065;1,3;
2012-01-31;24;189,6;31,296774;26,623871;23,858065;1,3;
2012-02-29;26;451;30,810345;26,135862;23,355172;1,1;
2012-03-31;26;374,4;30,329032;26,210323;23,73871;1,3;
2012-04-30;28;517,6;30,956667;26,658;24,056667;1,1;
2012-05-31;27;300,9;32,351613;27,641935;24,383871;1,1;
2012-06-30;21;140,2;32,153333;27,5;24,256667;1,1;
2012-07-31;19;251;31,954839;27,386667;24,12;1,1;
2012-08-31;11;91,9;32,925806;28,07871;24,522581;1,3;
2012-09-30;1;68,7;32,976667;28,218667;24,546667;1,8;
2012-10-31;5;28,1;33,387097;28,646452;24,8;1,1;
2012-11-30;2;9,6;34,44;29,162667;25,153333;1,3;
2012-12-31;17;114,5;32,825806;27,869677;24,470968;1,3;
2013-01-31;24;146,2;31,332258;26,993548;24,448387;1,1;
2013-02-28;25;271,8;30,860714;26,46;24;1,1;
2013-03-31;4;290,2;31,287097;27,029032;24,687097;1,1;
2013-04-30;null;370,7;30,993333;27,132667;24,66;1,1;
2013-05-31;null;343,8;31,6;27,34129;24,290323;1,1;
2013-06-30;null;232,9;32,563333;27,881333;24,536667;1,3;
2013-07-31;null;199,7;32,193548;27,309677;23,790323;1,1;
2013-08-31;null;196,7;33,116129;27,84;24,393548;1,1;
2013-09-30;null;79,5;33,106667;28,243333;24,723333;1,2;
2013-10-31;null;114,8;33,506452;28,637419;24,96129;1,1;
2013-11-30;null;26,4;32,853333;28,324667;24,81;1,1;
2013-12-31;null;96;33,029032;28,252903;24,825806;1,1;
2014-01-31;null;172,2;31,293548;26,876774;23,864516;1,1;
2014-02-28;null;235,1;30,4;26,198571;23,85;1,1;
2014-03-31;null;390,9;30,616129;26,372258;24,16129;1,3;
2014-04-30;null;457,5;31,223333;27,044;24,456667;1,3;
2014-05-31;null;303,9;31,212903;27,254839;24,654839;1,3;
2014-06-30;null;270,8;32,126667;27,788667;24,486667;1,3;
2014-07-31;null;152,1;32,264516;27,709677;24,167742;1,1;
2014-08-31;null;146,5;32,967742;28,114839;24,467742;1,3;
2014-09-30;null;49,3;33,423333;28,416667;24,693333;1,3;
2014-10-31;null;35,5;33,641935;28,600645;24,880645;1,1;
