Nome: FONTE BOA
Codigo Estacao: 82212
Latitude: -2.51583333
Longitude: -66.10083333
Altitude: 59.34
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;20;380,5;33,4;27,312258;23,070968;7;
2008-02-29;19;332,3;33,824138;26,738621;22,089655;4;
2008-03-31;24;308,6;33,390323;26,385806;21,716129;3;
2008-04-30;19;325,6;33,586667;27,058;22,576667;5;
2008-05-31;23;337,8;31,751613;26,065161;21,858065;2;
2008-06-30;17;211,1;31,686667;25,84;21,433333;2;
2008-07-31;14;147,1;33,306452;26,59871;21,858065;3;
2008-08-31;14;185,5;34,609677;27,354194;22,606452;3;
2008-09-30;20;136,1;33,81;26,974;22,573333;10;
2008-10-31;17;232;34,022581;27,132903;23,003226;3;
2008-11-30;12;139,1;33,873333;27,362667;23,36;3;
2008-12-31;20;316,5;33,583871;27,074839;22,903226;5;
2009-01-31;24;409,7;32,506452;27,059355;22,903226;3;
2009-02-28;20;183,6;32,907143;27,149286;22,928571;4;
2009-03-31;16;327,5;32,106452;26,643871;23,032258;3;
2009-04-30;22;234,8;31,683333;26,597333;23,066667;4;
2009-05-31;22;456;31,96129;26,628387;22,903226;4;
2009-06-30;22;280,7;30,646667;25,848;22,51;3;
2009-07-31;16;300;32,129032;26,620645;22,722581;3;
2009-08-31;11;110,2;33,358065;27,195484;23,096774;3;
2009-09-30;12;146,4;34,263333;27,316667;22,623333;5;
2009-10-31;12;119,4;33,764516;27,512903;23,225806;4;
2009-11-30;6;80,2;34,153333;27,785333;23,293333;3;
2009-12-31;18;138,8;32,551613;26,839355;23,103226;3;
2010-01-31;16;286,6;32,764516;27,100645;23,070968;3;
2010-02-28;16;180,8;33,117857;27,470714;23,25;4;
2010-03-31;17;198,5;32,983871;27,32129;23,103226;3;
2010-04-30;16;269,3;31,44;26,506;22,913333;3;
2010-05-31;18;333,9;31,403226;26,565161;22,967742;3;
2010-06-30;20;249,7;32,046667;26,622667;23,14;3,6;
2010-07-31;10;225,2;31,332258;25,870968;22,303226;3;
2010-08-31;10;81,1;33,3;26,992903;22,816129;3;
2010-09-30;8;42,7;33,936667;27,498667;23,24;3;
2010-10-31;12;175,4;33,709677;27,210968;22,883871;11;
2010-11-30;12;124,1;33,273333;27,204667;22,96;3;
2010-12-31;13;167,9;32,567742;26,59871;22,703226;4;
2011-01-31;22;210,4;32,074194;26,589677;22,83871;4;
2011-02-28;13;192,6;31,914286;26,487143;22,735714;4;
2011-03-31;16;256,8;32,387097;26,497419;22,606452;3;
2011-04-30;21;445,6;32,123333;26,140667;22,2;3;
2011-05-31;23;448,6;31,006452;26,101935;22,503226;3;
2011-06-30;15;150,5;31,803333;26,514667;22,613333;3,6;
2011-07-31;15;100,5;32,345161;26,449677;22,567742;3;
2011-08-31;7;31;33,929032;27,313548;22,83871;3;
2011-09-30;16;176,1;33,27;26,993333;22,74;3;
2011-10-31;14;192,1;33,325806;26,968387;22,96129;5;
2011-11-30;14;211,9;33,206667;26,89;22,906667;4;
2011-12-31;21;257,7;32,835484;26,969032;23,025806;3;
2012-01-31;25;553,7;31,629032;26,390968;22,922581;3;
2012-02-29;23;187,4;31,265517;26,015862;22,862069;4;
2012-03-31;24;442,1;30,712903;25,615484;21,806452;3;
2012-04-30;19;299;31,466667;26,200667;22,346667;3;
2012-05-31;24;357,3;31,841935;26,253548;22,690323;4;
2012-06-30;16;214,2;31,553333;26,282667;22,62;3;
2012-07-31;15;239,8;31,354839;26,182581;22,387097;3;
2012-08-31;11;94;33,635484;27,095484;22,96129;3;
2012-09-30;10;115,5;33,54;27,037333;22,666667;3;
2012-10-31;12;57,2;33,416129;27,165161;22,967742;3;
