Nome: PARINTINS
Codigo Estacao: 82240
Latitude: -2.63
Longitude: -56.73
Altitude: 29
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;28;608,6;31,851613;26,630323;23,877419;3,3;
2008-02-29;19;194,1;32,575862;27,193103;24,203448;4,1;
2008-03-31;26;373,3;32,2;26,784516;23,903226;4,3;
2008-04-30;23;192,4;32,606667;27,245333;24,25;5;
2008-05-31;24;335,1;32,316129;27,026452;24,23871;3,6;
2008-06-30;23;287,6;33,03;27,472;24,35;3,3;
2008-07-31;11;100,9;null;null;25,064516;18;
2008-08-31;10;80;33,782143;28,98;25,535484;5;
2008-09-30;13;116,6;33,72;28,83;25,166667;4,6;
2008-10-31;11;82,1;33,545161;28,774839;25,451613;5;
2008-11-30;12;110,8;33,33;28,476;24,916667;4,1;
2008-12-31;18;212,1;31,541935;27,373548;24,525806;5,1;
2009-01-31;19;222,2;31;27,089032;24,509677;3,3;
2009-02-28;27;486,7;30,310714;26,632857;24,160714;3,3;
2009-03-31;26;450,3;30,23871;26,614839;24,193548;5;
2009-04-30;23;368,8;30,98;27,166667;24,67;5;
2009-05-31;16;302,9;30,509677;26,783226;24,364516;6,3;
2009-06-30;20;128;31,255172;27,303333;24,84;5;
2009-07-31;23;176,4;32,487097;27,945161;24,964516;5,1;
2009-08-31;7;22,1;34,106452;29,326452;26,209677;6,3;
2009-09-30;3;31;34,99;29,869333;26,086667;5;
2009-10-31;4;92,9;35,170968;29,817419;25,780645;4,1;
2009-11-30;2;49,2;35,01;30,072667;25,913333;5;
2009-12-31;16;199,3;33,067742;28,65871;25,122581;4,6;
