Nome: ACARAU
Codigo Estacao: 82294
Latitude: -2.885772
Longitude: -40.114075
Altitude: 21.52
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2011-03-17
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;19;161,7;30,748387;26,987742;23,680645;5,1;
2008-02-29;12;115,5;31,803448;27,324138;23,486207;4,5;
2008-03-31;26;358,6;29,964516;26,18129;23,229032;3,3;
2008-04-30;26;489,5;30,716667;26,437333;23,356667;3,3;
2008-05-31;18;154,2;31,596774;26,763226;23,125806;3;
2008-06-30;6;41,8;31,8;26,684667;22,773333;3,9;
2008-07-31;3;,4;33,106452;27,209032;22,503226;4;
2008-08-31;null;null;null;null;null;null;
2008-09-30;0;0;33,506667;27,817333;23,33;5,6;
2008-10-31;0;0;33,974194;28,36;24,051613;5,5;
2008-11-30;1;,1;33,516667;28,072667;23,366667;5,5;
2008-12-31;0;0;33,470968;28,31871;23,7;5;
2009-01-31;14;161,1;31,941935;27,552903;23,7;7;
2009-02-28;19;414,6;30,132143;26,647857;23,171429;3,5;
2009-03-31;28;452,2;29,816129;26,232903;23,441935;3;
2009-04-30;26;698,3;29,627586;26,163333;23,263333;3;
2009-05-31;26;276,7;30,187097;26,409032;23,296774;3;
2009-06-30;14;138;31,51;26,648;22,756667;3,5;
2009-07-31;null;null;null;null;null;null;
2009-08-31;5;15,2;32,606667;26,942963;22,289655;6;
2009-09-30;2;,6;32,866667;27,425517;22,783333;7;
2009-10-31;1;,3;32,312903;27,250323;22,396774;7;
2009-11-30;3;1,6;32,87;27,84;23,476667;8;
2009-12-31;2;4,2;33;28,134;24,135484;8;
2010-01-31;5;36,1;32,558065;27,812903;23,412903;7;
2010-02-28;11;22,2;33,511538;28,742222;24,942308;8;
2010-03-31;10;105,9;32,93871;28,445806;24,203226;8;
2010-04-30;19;205,4;32,42;28,012667;24,16;7;
2010-05-31;10;89,6;32,674194;28,130667;24,216667;7;
2010-06-30;4;135,9;32,82;27,618667;22,94;6;
2010-07-31;2;1,1;33,432258;27,629677;22,864516;6,2;
2010-08-31;null;null;null;null;null;null;
2010-09-30;0;0;33,45;28,152667;25,066667;8;
2010-10-31;null;0;null;null;null;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;null;0;null;null;null;null;
2011-01-31;21;315,4;30,916129;26,645806;23,27;4,1;
2011-02-28;16;170,3;30,925926;26,867407;23,388462;3,6;
2011-03-31;12;175,4;29,96875;26,370667;23,441176;2,5722;

