Nome: TEFE
Codigo Estacao: 82317
Latitude: -3.38027777
Longitude: -64.72527777
Altitude: 56
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;25;211,8;32,119355;26,689677;23,187097;3;
2008-02-29;20;224;32,241379;26,789655;22,893103;3;
2008-03-31;22;239;32,625806;26,877419;22,832258;3;
2008-04-30;17;174,4;32,983333;27,05;23,106667;3;
2008-05-31;23;261,6;31,429032;26,250968;22,8;3;
2008-06-30;12;123,9;31,406667;26,506667;22,653333;3;
2008-07-31;15;145,7;32,932258;26,914194;22,464516;2;
2008-08-31;11;74,2;34,135;28,089;22,858065;2;
2008-09-30;16;162,8;null;null;22,69;3;
2008-10-31;15;243,9;null;null;22,906452;3;
2008-11-30;13;139,9;null;null;23,606667;2;
2008-12-31;22;181;null;null;23,380645;2;
2009-01-31;23;396,7;null;null;23,2;2;
2009-02-28;21;411,8;null;null;23,371429;3;
2009-03-31;26;364,7;null;null;23,209677;3;
2009-04-30;20;258,8;null;null;23,686667;3;
2009-05-31;23;280,8;null;null;23,219355;3;
2009-06-30;16;139;null;null;23,02;3;
2009-07-31;18;68,9;33,506452;27,207742;23,119355;3;
2009-08-31;14;167,9;34,816129;27,908387;23,441935;3;
2009-09-30;2;null;null;null;null;null;
2009-10-31;18;261,8;34,154839;null;null;4;
2009-11-30;17;102,1;34,71;null;null;3;
2009-12-31;21;213,5;32,787097;27,147742;23,932258;3;
2010-01-31;20;234,5;33,483871;27,502581;24,467742;2;
2010-02-28;18;180,5;33;27,412857;24,664286;3;
2010-03-31;24;199,2;33,706452;27,762581;24,590323;2;
2010-04-30;22;387,5;31,99;27,100667;24,166667;3;
2010-05-31;17;226,9;32,3;27,190323;24,270968;3;
2010-06-30;20;167,7;33,04;27,19;23,99;2;
2010-07-31;11;139;32,574194;26,611613;23,103226;3;
2010-08-31;6;50,5;34,348387;27,451613;23,141935;3;
2010-09-30;12;50,2;35,07;28,238;23,783333;2;
2010-10-31;14;130,5;35,077419;27,874194;23,480645;3;
2010-11-30;10;171,4;33,976667;27,54;23,786667;2;
2010-12-31;15;304,8;32,954839;26,751613;23,13871;2;
2011-01-31;23;281,4;32,354839;26,385161;23,212903;3;
2011-02-28;19;228,2;32,292857;26,316429;22,732143;2;
2011-03-31;22;243,1;32,435484;26,567742;22,912903;3;
2011-04-30;23;300,3;32,476667;26,279333;22,53;2;
2011-05-31;22;308,8;32,274194;26,6;23,064516;3;
2011-06-30;16;197,2;32,423333;26,563333;22,43;2;
