Nome: MANAUS
Codigo Estacao: 82331
Latitude: -3.10388888
Longitude: -60.01555555
Altitude: 48.86
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;24;397,4;30,629032;25,90129;23,293548;3;
2008-02-29;23;298,8;31,031034;25,922759;23,141379;2;
2008-03-31;24;553;30,435484;25,394194;22,777419;2;
2008-04-30;20;345,4;31,756667;26,380667;23,353333;12;
2008-05-31;22;264,1;30,651613;26,052258;23,412903;3;
2008-06-30;11;202,7;31,706667;26,356;23,076667;3;
2008-07-31;6;80,2;33,558065;27,276129;23,467742;4;
2008-08-31;8;58,4;34,351613;27,910968;23,912903;3;
2008-09-30;11;56;33,29;27,668667;23,88;4;
2008-10-31;18;162,2;32,746667;27,493548;23,776667;4;
2008-11-30;12;280,8;32,413333;27,134;23,693333;3;
2008-12-31;20;458,1;31,948387;26,610323;23,470968;3;
2009-01-31;26;310,8;30,625806;25,836129;23,132258;3;
2009-02-28;20;457,9;30,407143;25,926429;23,275;3;
2009-03-31;20;232,5;31,077419;26,292903;23,503226;3;
2009-04-30;20;222,1;31,773333;26,708;23,896667;4;
2009-05-31;17;114;30,983871;26,509677;23,922581;4;
2009-06-30;17;165,8;31,176667;26,622;23,96;3;
2009-07-31;5;25,1;33,064516;27,753548;24,229032;4;
2009-08-31;2;5,4;34,741935;29,272258;25,351613;4;
2009-09-30;1;4,2;35,613333;29,910667;25,47;4;
2009-10-31;5;26;35,348387;29,698065;25,587097;4;
2009-11-30;4;132,3;35,373333;30,182667;25,906667;4;
2009-12-31;18;262,4;32,180645;27,669032;24,822581;3;
2010-01-31;17;295,8;31,951613;27,334194;24,5;3;
2010-02-28;22;352,5;31,821429;27,296429;24,839286;5;
2010-03-31;13;206,4;33,480645;28,426452;25,090323;3;
2010-04-30;22;303,4;31,503333;27,054667;24,32;6;
2010-05-31;15;165,1;32,306452;27,663226;24,774194;3;
2010-06-30;12;119,1;32,456667;27,541333;24,266667;4;
2010-07-31;9;100,6;32,374194;27,224516;23,925806;3;
2010-08-31;6;54,8;34,032258;28,389032;24,358065;4;
2010-09-30;5;26,6;35,266667;29,501333;24,973333;4;
2010-10-31;13;116,9;35,025806;28,856774;24,567742;4;
2010-11-30;13;140,6;33,406897;28,042;24,39;4;
2010-12-31;18;290,1;32,403226;26,990968;23,529032;3;
2011-01-31;18;226,8;30,874194;26,438065;23,545161;3;
2011-02-28;24;493,3;30,814286;26,179286;23,307143;4;
2011-03-31;21;323,3;31,16129;26,614194;23,974194;4;
2011-04-30;24;515,9;30,993333;26,607333;23,683333;4;
2011-05-31;18;222,4;31,336667;27,190968;24,674194;5;
2011-06-30;12;121,3;32,666667;28,188667;24,91;4;
2011-07-31;6;20,2;33,325806;28,82129;24,941935;4;
2011-08-31;4;64,3;34,796774;29,576774;25,267742;4;
