Nome: TUCURUI
Codigo Estacao: 82361
Latitude: -3.760131
Longitude: -49.666581
Altitude: 27.83
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;26;342,9;31,451613;26,78;23,709677;4,1;
2008-02-29;23;306,6;31,765517;26,786897;23,52069;4;
2008-03-31;28;574,7;31,364516;26,374839;23,145161;3;
2008-04-30;26;356,2;31,81;26,739333;23,65;4;
2008-05-31;20;247,3;32,416129;27,454194;24,035484;3,5;
2008-06-30;11;86,8;32,81;27,737333;23,636667;3;
2008-07-31;3;18,7;34,016667;28,100645;23,453333;3;
2008-08-31;6;121,4;34,33871;28,125806;23,919355;3;
2008-09-30;11;28,7;34,37;28,507333;24,523333;4,5;
2008-10-31;6;94,8;34,554839;28,689677;24,906452;2,8;
2008-11-30;10;97,9;34,093333;28,713333;24,91;2,8;
2008-12-31;21;283,7;32,916667;27,867097;24,306667;2,3;
2009-01-31;25;354,7;32,412903;27,26;23,651613;3,4;
2009-02-28;26;301,6;32,467857;27,014286;23,517857;2,3;
2009-03-31;28;590,9;32,693548;27,023871;23,687097;12;
2009-04-30;27;709;32,053333;26,955333;23,65;3,2;
2009-05-31;28;393,4;32,032258;26,845806;23,690323;2,8;
2009-06-30;17;172,4;33,31;27,714667;23,886667;2,3;
2009-07-31;8;44,4;34,467742;28,190323;23,912903;2,8;
2009-08-31;7;27,4;35,777419;28,86;24,248387;2,6;
2009-09-30;4;4,3;35,636667;29,152;24,646667;3;
2009-10-31;6;21,8;36,529032;29,749032;25,187097;3,1;
2009-11-30;8;26,8;35,22;29,428667;25,436667;2,3;
2009-12-31;20;327,5;33,209677;28,184516;24,622581;2,8;
2010-01-31;27;468,5;32,858065;27,616129;23,854839;3,2;
2010-02-28;19;344,8;33,589286;28,267857;24,525;2,8;
2010-03-31;24;232,9;34,132258;28,652258;24,919355;3;
2010-04-30;29;392,1;33,072414;27,787333;24,486207;3,4;
2010-05-31;16;236,1;34,403226;28,670323;24,945161;5,5;
2010-06-30;10;31;34,573333;28,452;24,12;4,5;
2010-07-31;9;16,8;35,058065;28,678065;24,025806;2,5;
2010-08-31;5;9,5;36,235484;28,918065;24,048387;3;
2010-09-30;3;5,5;35,913333;29,092;24,793333;2,5;
2010-10-31;11;99,3;35,216129;28,969032;24,86129;3;
2010-11-30;14;141,3;34,283333;28,329333;24,49;3;
2010-12-31;18;244,4;33,132258;27,614194;24,180645;3;
2011-01-31;24;444,7;31,480645;26,336774;22,73871;3;
2011-02-28;25;289,3;31,307143;26,357143;22,892857;2,3;
2011-03-31;28;318,4;31,764516;26,583226;23,206452;2,8;
2011-04-30;26;497,2;31,544828;26,458;23,4;3,6;
2011-05-31;22;375;32,26129;27,38129;24,206452;2,3;
2011-06-30;8;116,6;33,12;27,924667;24,036667;2,5;
2011-07-31;10;77,7;33,209677;27,572903;23,167742;2,3;
2011-08-31;3;20,5;34,293548;28,077419;23,780645;2,3;
2011-09-30;4;43,5;34,656667;28,600667;24,436667;2,8;
2011-10-31;10;128,2;34,406452;28,629677;24,493548;2,7;
2011-11-30;11;122,3;32,906667;27,724;24,086667;3;
2011-12-31;9;26,6;33,019355;28,211613;24,777419;3,2;
2012-01-31;26;427,1;30,932258;26,614839;23,145161;2,8;
2012-02-29;21;343,5;30,817241;26,012414;22,637931;2,8;
2012-03-31;29;499;31,541935;26,292903;23,006452;2,9;
2012-04-30;24;219,1;32,516667;27,224;23,826667;2,8;
2012-05-31;16;58,1;33,064516;27,767097;23,893548;2,3;
2012-06-30;13;62,6;33,263333;27,637333;23,3;2,8;
2012-07-31;13;96,7;33,258065;27,650323;23,474194;2,3;
2012-08-31;null;0;34,367742;28,048387;23,422581;2,3;
2012-09-30;2;,4;35,1;28,938667;24,526667;2,5;
2012-10-31;2;106;34,422581;28,801935;24,912903;3,4;
2012-11-30;6;53,6;34,673333;29,173333;25,16;2,8;
