Nome: CHAPADINHA
Codigo Estacao: 82382
Latitude: -3.742684
Longitude: -43.3521
Altitude: 104
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;18;218,7;33,070968;26,528387;22,583871;5,6;
2008-02-29;19;294,6;32,168966;26,131724;22,275862;4,1;
2008-03-31;27;751;31,109677;25,32;22,080645;3,5;
2008-04-30;26;648,9;31,23;25,707333;22,51;4,5;
2008-05-31;22;219;31,312903;26,02129;22,454839;3,1;
2008-06-30;7;61,6;31,146667;26,153333;22,116667;3,8;
2008-07-31;4;6,2;32,26129;26,561935;21,76129;4,8;
2008-08-31;4;12,3;34,1;27,376129;22,103226;4,8;
2008-09-30;1;3,1;35,58;27,968667;22,433333;5,3;
2008-10-31;3;18;36,396774;28,434839;22,770968;5,3;
2008-11-30;1;,1;36,373333;28,692667;23,513333;5,5;
2008-12-31;10;66,2;34,990323;28,160645;23,535484;7,1;
2009-01-31;16;227,4;32,793548;26,799355;23,119355;5;
2009-02-28;23;320;31,539286;25,890714;22,753571;4,6;
2009-03-31;26;464,3;31,577419;25,984516;22,977419;5;
2009-04-30;25;481,4;31,06;25,705333;22,856667;6,3;
2009-05-31;28;345;30,583871;25,570968;22,745161;3,8;
2009-06-30;16;133,5;30,986667;25,974667;22,32;4;
2009-07-31;9;25;31,970968;26,523871;22,390323;5;
2009-08-31;0;0;33,767742;27,466452;22,419355;5,1;
2009-09-30;1;1,2;35,49;28,026;22,83;5,8;
2009-10-31;2;12,7;35,980645;28,129032;23,051613;6,1;
2009-11-30;2;,9;36,206667;28,598667;23,47;5,5;
2009-12-31;9;44,3;34,935484;28,265806;24,264516;5;
2010-01-31;13;242,8;33,63871;27,313548;23,36129;5,1;
2010-02-28;13;109;33,685714;27,813571;24,053571;5;
2010-03-31;17;139;33,941935;27,56;23,874194;4,6;
2010-04-30;22;228,5;32,493333;27,206667;24,083333;4,3;
2010-05-31;12;150,3;33,154839;27,649677;24,103226;4,3;
2010-06-30;8;92,9;32,416667;27,216667;23,133333;6,3;
2010-07-31;6;49,9;32,941935;27,227097;22,73871;4;
2010-08-31;1;,5;34,996774;27,932903;22,46129;5,8;
2010-09-30;null;0;36,563333;28,454;22,823333;4,6;
2010-10-31;3;15;37,054839;28,741935;23,635484;5,1;
2010-11-30;7;85;36,306667;28,793333;24,056667;5,1;
2010-12-31;10;137,7;34,058065;27,643871;23,619355;4,6;
2011-01-31;17;318,3;31,916129;26,266452;22,951613;4,5;
2011-02-28;20;331,3;31,55;25,994286;22,832143;6,3;
2011-03-31;22;357,1;31,880645;26,156774;23,035484;5;
2011-04-30;24;471,8;31,67;25,963333;23,04;4,8;
2011-05-31;18;240,6;31,593548;26,439355;23,396774;3,6;
2011-06-30;11;63,4;31,716667;26,591333;23,033333;4,5;
2011-07-31;7;21,6;32,403226;26,654839;22,564516;4,6;
2011-08-31;1;,7;34,2;27,585161;22,741935;5;
2011-09-30;0;0;35,813333;28,336667;22,94;5;
2011-10-31;4;133;35,77931;28,251034;23,416129;5;
2011-11-30;3;89,9;33,926667;27,761333;23,593333;5,3;
2011-12-31;2;3,3;35,203226;28,148387;23,545161;5,5;
2012-01-31;14;407,3;33,035484;26,774194;22,948387;6;
2012-02-29;19;240,5;31,855172;26,036552;22,537931;4,5;
2012-03-31;23;202,4;32,16129;26,263226;22,974194;5,6;
2012-04-30;11;35;32,693333;27,096;23,626667;5,1;
2012-05-31;7;25;33,058065;27,263871;23,387097;5,6;
2012-06-30;6;34,3;33,38;27,28;23,353333;5,3;
2012-07-31;1;2,1;34,293548;27,752903;23,06129;4,6;
2012-08-31;1;15,2;35,722581;28,202581;22,667742;5,1;
2012-09-30;1;,6;36,73;28,479333;22,926667;5,1;
2012-10-31;1;,1;37,506667;28,955862;23,65;4,8;
