Nome: BENJAMIN CONSTANT
Codigo Estacao: 82410
Latitude: -4.3786111
Longitude: -70.02999999
Altitude: 78.41
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;24;408,4;31,387097;25,756129;22,945161;3;
2008-02-29;20;300,4;30,968966;25,815862;22,665517;3;
2008-03-31;20;309,2;31,535484;25,884516;22,325806;3;
2008-04-30;15;191;31,836667;26,182667;22,723333;2;
2008-05-31;20;220,2;30,835484;25,510968;22,332258;2;
2008-06-30;11;118,6;30,463333;24,882667;21,14;3;
2008-07-31;11;109,2;32,825806;26,003871;21,867742;2;
2008-08-31;16;147,6;33,645161;26,566452;22,354839;3;
2008-09-30;14;237,8;32,826667;26,239333;22,04;3;
2008-10-31;17;256;32,845161;26,50129;22,648387;2;
2008-11-30;17;364;32,64;26,774667;23,166667;3;
2008-12-31;21;278,2;32,229032;26,323871;22,983871;3;
2009-01-31;26;611,4;30,822581;25,753548;22,667742;3;
2009-02-28;21;409,4;31,589286;25,986429;22,614286;3;
2009-03-31;19;570,6;31,877419;26,162581;22,990323;2;
2009-04-30;19;227,6;32,096667;26,371333;23,323333;3;
2009-05-31;14;224,6;32,058065;26,437419;23,145161;3;
2009-06-30;16;229,3;31,416667;25,797333;22,536667;2;
2009-07-31;null;null;null;null;null;null;
2009-08-31;13;117,6;33,258065;26,5;22,674194;2;
2009-09-30;13;108,8;34,306667;27,3;22,86;3;
2009-10-31;15;210;33,612903;26,996774;23,286667;2;
2009-11-30;16;258,2;33,443333;27,081333;23,5;3;
2009-12-31;21;250,4;31,489286;26,26;23,239286;2;
2010-01-31;22;458,4;31,848387;26,33871;23,074194;3;
2010-02-28;21;304,6;32,785714;27,115;23,835714;3;
2010-03-31;18;322,6;33,380645;27,256774;23,709677;3;
2010-04-30;19;232;32,833333;27,150667;23,943333;2;
2010-05-31;18;110,6;32,473333;26,750323;23,493548;3;
2010-06-30;17;302,6;32,016667;26,132;22,62;3;
2010-07-31;10;98;31,616129;25,154839;20,487097;3;
2010-08-31;9;94,2;33,793548;26,262581;20,941935;2;
2010-09-30;11;109,8;34,456667;27,253333;22,12;3;
2010-10-31;13;129,8;33,593548;26,890968;22,393548;2;
2010-11-30;17;411,6;32,79;26,476667;22,51;3;
2010-12-31;20;243,8;32,309677;26,329677;22,4;2;
2011-01-31;23;281,8;31,532258;25,782581;21,974194;2;
2011-02-28;18;278,6;31,289286;25,902857;21,678571;11;
2011-03-31;20;305,6;31,703226;25,86129;21,854839;2;
2011-04-30;22;328,6;32,176667;26,266;22,173333;2;
2011-05-31;21;263,4;31,658065;25,936129;22,222581;2;
2011-06-30;19;197,8;31,746667;25,722667;21,89;2;
2011-07-31;16;160,2;32,051613;25,65871;21,293548;2;
2011-08-31;11;74,8;33,906452;26,100645;20,990323;2;
2011-09-30;16;114,2;33,696667;26,252667;21,353333;3;
2011-10-31;15;130;32,3;26,685161;22,719355;2;
2011-11-30;17;303,6;32,06;26,508;22,776667;2;
2011-12-31;11;null;30,9625;26,26;23,18125;1;
2012-01-31;9;null;30,726667;26,114667;22,773333;1;
2012-02-29;20;342;30,327586;25,72;22,589655;2;
2012-03-31;26;443;30,732258;25,865161;22,612903;2;
2012-04-30;17;154,2;30,996667;26,228667;22,973333;2;
2012-05-31;20;182,8;31,029032;26,209677;23,070968;2;
2012-06-30;14;214,6;30,9;25,629333;22,126667;2;
2012-07-31;12;137;30,829032;25,365806;21,664516;2;
2012-08-31;11;82,4;32,629032;26,433548;22,141935;2;
2012-09-30;17;222,4;32,6;26,374667;22,35;2;
2012-10-31;17;207,6;32,280645;26,666452;22,890323;2;
2012-11-30;8;null;null;null;null;2;
2012-12-31;17;229,8;30,592308;26,114815;22,940741;1;
2013-01-31;24;340;30,493548;26,159355;23,151613;1;
2013-02-28;20;339,2;30,028571;25,76;22,907143;1;
2013-03-31;4;265;31,522581;26,664516;23,316129;1;
2013-04-30;null;213,4;31,626667;26,518;23,186667;2;
2013-05-31;null;220,6;31,2;26,34129;23,209677;3;
2013-06-30;null;125,2;31,59;26,193333;22,796667;1;
2013-07-31;null;130,6;30,777419;25,072903;21,274194;3;
2013-08-31;null;135,2;31,319355;25,317419;20,835484;3;
2013-09-30;null;85,4;32,736667;26,686;22,553333;2;
2013-10-31;null;199,2;32,116129;26,474194;22,274194;1;
2013-11-30;null;null;null;null;null;null;
2013-12-31;null;178;31,141935;26,281935;22,690323;2;
2014-01-31;null;339,8;30,212903;25,876129;22,525806;1;
2014-02-28;null;399,6;30,292857;25,781429;22,432143;2;
2014-03-31;null;282,4;30,454839;25,854194;22,223333;1;
2014-04-30;null;256,8;31,646667;26,235333;22,16;1;
2014-05-31;null;251;30,829032;26,043226;22,393333;2;
2014-06-30;null;112,2;31,323333;26,021333;22,21;2;
2014-07-31;null;151,6;30,909677;25,438;21,256667;2,05776;
2014-08-31;null;183;31,890323;25,989677;21,574194;2,05776;
2014-09-30;null;113,8;32,636667;26,714667;22,38;1,02888;
2014-10-31;null;null;null;null;null;null;
2014-11-30;null;102,4;31,176667;26,444444;22,860714;1,02888;
2014-12-31;null;313,8;31,73;26,49;22,965517;1,02888;
2015-01-31;null;350,6;30,366667;25,537778;22,203704;1,02888;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;null;null;null;null;null;
2015-11-30;null;null;33,7;28,223158;23,36;null;
2015-12-31;null;0;33,493548;27,108667;23,186667;null;
2016-01-31;null;45;32,775862;27,63;23,827586;null;
2016-02-29;null;115;32,3;27,39;23,872414;null;
2016-03-31;null;269;32,466667;27,368;23,774194;null;
2016-04-30;null;176;32,083333;26,918667;23,16;null;
2016-05-31;null;148;32,129032;26,940667;22,803333;null;
2016-06-30;null;180;31,137931;26,053103;21,976667;null;
2016-07-31;null;268;32,516129;26,465806;22,225806;null;
2016-08-31;null;70;33,048387;26,888387;22,509677;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;null;211,2;32,821429;27,182857;23,172414;null;
2016-11-30;null;224;32,827586;27,210345;23,353333;null;
2016-12-31;null;289;32,774194;26,765806;22,812903;null;
2017-01-31;null;427;31,466667;26,129655;22,36;null;
2017-02-28;null;359;32,074074;26,464444;22,128571;null;
2017-03-31;null;null;31,961111;26,243333;21,310526;null;
2017-04-30;null;260;31,714286;26,269286;21,132143;null;
2017-05-31;null;112;32,6;26,708667;21,812903;null;
2017-06-30;null;155;32,276667;26,542667;21,94;null;
2017-07-31;null;111;31,964286;26,473571;22,18;null;
2017-08-31;null;183;31,678571;26,209286;21,9;null;
2017-09-30;null;165;32,214286;26,250714;21,65;null;
2017-10-31;null;null;32,409091;26,458182;22,1;null;
2017-11-30;null;null;31,814815;26,348;22,24;null;
2017-12-31;null;null;null;null;null;null;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;236,9;32,167742;27,317419;24,225806;3,08664;
2018-04-30;null;252,2;30,733333;26,262;23,816667;2,05776;
2018-05-31;null;238,2;31,025806;26,48129;23,822581;2,05776;
2018-06-30;null;99,8;30,062069;25,417931;22,49;2,05776;
2018-07-31;null;94,4;31,9;26,396129;22,812903;2,05776;
2018-08-31;null;190;31,541935;26,152258;22,506452;2,05776;
2018-09-30;null;147;33,4;27,230667;23,47;2,05776;
2018-10-31;null;308,4;32,019355;26,830968;23,670968;3,08664;
2018-11-30;null;218,2;31,74;27,129333;24,303333;3,08664;
2018-12-31;null;523,8;29,570968;25,969677;23,46129;3;
2019-01-31;null;391,8;29,667742;25,970323;23,332258;2;
2019-02-28;null;220,4;31,3;26,925;24,221429;2;
2019-03-31;null;416,4;32,054839;27,144516;23,929032;2;
2019-04-30;null;null;null;null;null;null;
2019-05-31;null;175,6;31,316129;26,781935;23,927586;1;
2019-06-30;null;361,6;31,843333;26,827333;23,683333;2;
2019-07-31;null;200,4;31,387097;26,622581;22,416667;1;
2019-08-31;null;46,6;32,967742;27,032903;22,158065;2,05776;
2019-09-30;null;97,4;33,11;27,244;23,61;2,05776;
2019-10-31;null;143,4;32,180645;26,739355;23,06129;2,05776;
2019-11-30;null;293;31,12;26,528276;23,537931;2,05776;
2019-12-31;null;453,8;30,293548;26,12;23,525806;2,05776;

