Nome: BACABAL
Codigo Estacao: 82460
Latitude: -4.21805554
Longitude: -44.77583332
Altitude: 26.6
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;22;425,2;31,870968;26,396129;22,258065;4,3;
2008-02-29;19;401,2;31,955172;26,502069;22,72069;4,1;
2008-03-31;26;555,7;31,319355;26,136129;22,732258;4,6;
2008-04-30;25;454;31,716667;26,637333;23,5;4,1;
2008-05-31;21;373,2;31,774194;null;null;4,8;
2008-06-30;4;34,9;32,086667;27,195333;23,383333;4,6;
2008-07-31;1;37,2;32,987097;27,414839;22,974194;6,1;
2008-08-31;2;13,4;36,003226;28,684516;22,770968;4;
2008-09-30;1;3,5;37,283333;29,334667;22,936667;4,6;
2008-10-31;2;31,5;38,419355;29,787097;22,980645;5,5;
2008-11-30;5;32,1;37,7;29,441333;23,07;4,5;
2008-12-31;10;141,5;35,993548;28,585161;22,6;6,6;
2009-01-31;21;216,2;34,012903;26,9;21,667742;3,8;
2009-02-28;24;322,5;34,3;26,785;21,317857;6,1;
2009-03-31;25;408,4;34,432258;27,036129;21,625806;6,6;
2009-04-30;27;471,2;33,366667;26,61;21,043333;5,3;
2009-05-31;25;545,9;33,73871;27,145806;22,6;3,6;
2009-06-30;8;81,7;34,35;28,142;23,743333;4,5;
2009-07-31;3;33,1;34,229032;27,847742;23,293548;4,1;
2009-08-31;2;10,9;35,077419;28,294839;23,13871;4,5;
2009-09-30;1;2,1;37,686667;29,438;23,783333;4,6;
2009-10-31;4;26;37,664516;29,436129;24,203226;5;
2009-11-30;3;8;37,783333;29,808667;24,576667;5,8;
2009-12-31;13;109,6;36,13871;28,953548;24,648387;5,5;
2010-01-31;18;265,4;34,603226;27,867742;23,864516;4,5;
2010-02-28;14;256,9;34,382143;28,476429;24,592857;5,1;
2010-03-31;12;182,3;35,354839;28,764516;24,474194;4,1;
2010-04-30;24;337,8;34,846667;28,46;24,753333;3,5;
2010-05-31;14;103,6;35,477419;29,099355;25,393548;3,3;
2010-06-30;11;43,7;34,58;28,348;23,806667;4,6;
2010-07-31;3;26,4;34,65;28,167692;22,696;4,6;
2010-08-31;0;0;37,2;29,248667;23,129032;4,8;
2010-09-30;1;2;38,98;30,172;23,883333;5,5;
2010-10-31;7;64,3;38,541935;29,869032;24,754839;4,3;
2010-11-30;9;78,2;37,046667;29,469333;24,75;5;
2010-12-31;12;112;35,187097;28,580667;24,473333;3,5;
2011-01-31;18;244,2;33,919355;27,724348;24,2;3,5;
