Nome: CAXIAS
Codigo Estacao: 82476
Latitude: -4.86722221
Longitude: -43.35666666
Altitude: 96.67
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;404,8;32,874194;27,011613;23,141935;6,1;
2008-02-29;15;260,1;32,165517;26,842759;23,072414;3,6;
2008-03-31;27;504,1;31,764516;25,957419;22,822581;4,6;
2008-04-30;22;415,5;32,086667;26,471333;22,916667;5;
2008-05-31;13;225;32,558065;26,911613;22,958065;4,6;
2008-06-30;3;6;32,856667;26,536;21,363333;4,8;
2008-07-31;2;2,4;33,693548;26,749032;21,116129;6,8;
2008-08-31;2;,4;35,719355;28,214194;21,829032;5,3;
2008-09-30;3;5,4;37,176667;29,774667;23,286667;5,8;
2008-10-31;3;9,6;37,948387;30,634839;24,119355;6,3;
2008-11-30;3;11,6;37,896667;30,779333;24,916667;4;
2008-12-31;9;73,4;36,529032;29,135484;24,348387;4,5;
2009-01-31;15;226;35,983871;27,856774;23,13871;4,3;
2009-02-28;18;342,9;32,807143;26,6;23,028571;7,1;
2009-03-31;26;339,4;32,583871;26,632258;23,351613;4,8;
2009-04-30;18;790,9;32,233333;26,307333;23,166667;4,6;
2009-05-31;21;543,1;31,635484;26,470968;23,045161;4,8;
2009-06-30;8;42,3;32,183333;26,481333;22,043333;5,1;
2009-07-31;2;34,6;33,045161;26,517419;21,845161;4,3;
2009-08-31;1;,7;34,387097;27,244516;21,332258;null;
2009-09-30;0;0;36,9;29,434;23,086667;4,5;
2009-10-31;3;9,5;37,196774;29,777419;24,070968;5;
2009-11-30;1;1,2;37,503333;30,346667;24,17;4,8;
2009-12-31;9;155,6;34,741935;28,694839;23,993548;6,8;
2010-01-31;13;137,1;33,319355;27,339355;22,783871;5,3;
2010-02-28;12;226,5;33,139286;27,900714;23,928571;4,5;
2010-03-31;8;107,3;34,183871;28,192903;23,793548;5,8;
2010-04-30;16;266,1;32,85;27,479333;23,543333;null;
2010-05-31;14;174,7;33,551613;27,851613;23,66129;null;
2010-06-30;7;102,2;33,25;26,868;21,755172;5,6;
2010-07-31;2;1,7;34,825806;27,585806;21,409677;5,3;
2010-08-31;0;0;36,932258;28,324516;21,241935;6;
2010-09-30;1;3,3;38,856667;30,120667;22,886667;6,8;
2010-10-31;4;93,2;38,541935;30,448387;24,348387;4,6;
2010-11-30;5;4,8;37,656667;30,162;24,76;4,8;
2010-12-31;10;124,6;34,4;28,304516;24,025806;4,6;
2011-01-31;13;104,8;33,029032;27,14129;22,958065;3,1;
2011-02-28;24;260,7;31,978571;26,294286;22,678571;6,2;
2011-03-31;18;197,2;32,712903;26,696129;22,706452;4,1;
2011-04-30;24;399,9;33,1;26,821333;23,156667;5,8;
2011-05-31;10;173;32,177419;26,976129;23,422581;7,7;
2011-06-30;3;8,3;33,066667;26,882;22,24;6,6;
2011-07-31;2;14,4;33,974194;26,834194;21,364516;7,3;
2011-08-31;2;39;35,654839;28,004516;22,432258;5;
2011-09-30;0;0;38,38;29,712667;22,79;7,8;
2011-10-31;9;112,2;37,206452;29,669677;24,267742;3,6;
2011-11-30;7;83,1;34,323333;28,182;24,103333;4;
2011-12-31;2;22,2;36,125806;29,14;24,358065;4,1;
2012-01-31;12;223,7;33,648387;27,480645;23,445161;null;
2012-02-29;18;191,6;32,310345;26,634483;22,817241;null;
2012-03-31;22;226,9;32,563333;26,629032;23,083871;5,3;
2012-04-30;11;73,2;33,296667;27,708667;23,863333;3,8;
2012-05-31;4;11,9;34,4;27,976774;23,667742;5,1;
2012-06-30;5;67;35,486667;28,268667;23,483333;null;
2012-07-31;0;0;35,92;28,283846;22,248387;null;
2012-08-31;0;0;38,196774;29,294839;21,816129;null;
2012-09-30;2;8,7;39,31;30,834;23,72;5;
2012-10-31;3;10;40,380645;31,773548;25,006452;4;
2012-11-30;5;27,9;39,183333;30,998;25,046667;5,6;
2012-12-31;9;101,9;36,654839;29,079355;24,570968;4,3;
2013-01-31;11;185,2;34,248387;28,203871;23,983333;5,6;
2013-02-28;14;125;34,34;27,9088;23,757143;4,5;
2013-03-31;null;305,8;34,275862;28,14129;23,855172;4,5;
2013-04-30;null;290,7;32,816667;27,368;23,713333;4,5;
2013-05-31;null;62,3;33,109677;27,36;23,425806;5;
2013-06-30;null;42,6;33,586667;27,329333;23,193333;4,3;
2013-07-31;null;2,4;35,567742;27,960645;22,812903;5,8;
2013-08-31;null;2,8;38,064516;29,332258;22,832258;4,5;
2013-09-30;null;17,4;39,08;30,647333;23,683333;4,6;
2013-10-31;null;17,4;38,970968;30,965161;24,93871;5;
2013-11-30;null;69,7;36,136667;29,210667;24,39;4,1;
2013-12-31;null;61;35,732258;29,012903;24,529032;5,6;
2014-01-31;null;215,7;33,612903;27,372903;22,941935;4,3;
2014-02-28;null;252,8;31,789286;26,543571;22,325;4,3;
2014-03-31;null;195,9;32,119355;26,509677;22,041935;5;
2014-04-30;null;300,3;32,723333;26,632;21,49;4,3;
2014-05-31;null;97,5;32,541935;27,025806;23,096774;3,6;
2014-06-30;null;32,7;33,82;27,887333;23,21;5;
2014-07-31;null;53,5;34,493548;27,701935;22,370968;5,1;
2014-08-31;null;,6;37,019355;28,817419;22,283871;5;
2014-09-30;null;34,2;38,193333;30,148667;24,15;5,6;
2014-10-31;null;68,9;38,625806;30,50129;24,406452;6,6;
2014-11-30;null;154;35,65;29,024;23,956667;4,3;
2014-12-31;null;44,2;35,896774;29,185806;24,46129;4,6;
2015-01-31;null;40,1;35,574194;28,465161;23,554839;3,5;
2015-02-28;null;328,5;32,825926;27,39037;23,477778;4,3;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;208,4;32,616667;27,342;22,863333;3;
2015-05-31;null;223,3;33,032258;27,663226;23,583871;3;
2015-06-30;null;33,5;33,123333;27,330667;23,2;null;
2015-07-31;null;36,1;34,212903;27,712258;22,806452;null;
2015-08-31;null;0;37,209677;28,565161;22,116129;null;
2015-09-30;null;10,2;39,136667;30,480667;23,936667;null;
2015-10-31;null;2,8;39,858065;31,472903;24,729032;null;
2015-11-30;null;4,3;39,983333;31,739333;25,34;null;
2015-12-31;null;10;39,510714;31,731613;25,545161;null;
2016-01-31;null;356,8;32,703226;27,666452;24;null;
2016-02-29;null;13,1;33,853333;null;24,1;null;
2016-03-31;null;290;32,766667;27,479259;23,715385;null;
2016-04-30;null;104,2;null;null;null;null;
2016-05-31;null;8,6;null;null;null;null;
2016-06-30;null;22,2;35,413636;null;22,204545;null;
2016-07-31;null;0;null;null;null;null;
2016-08-31;null;0;40,259091;null;21,308696;null;
2016-09-30;null;3,2;40,545455;31,598182;25,009091;null;
2016-10-31;null;2,6;40,53913;31,724;25,326923;null;
2016-11-30;null;,2;40,32381;32,357143;26,193333;null;
2016-12-31;null;43,6;null;31,849333;26,355556;null;
2017-01-31;null;192,5;null;null;null;null;
2017-02-28;null;471,1;null;null;null;null;
2017-03-31;null;233,7;null;null;null;null;
2017-04-30;null;250,8;null;null;null;null;
2017-05-31;null;210,5;null;null;null;null;
2017-06-30;null;6,6;null;null;null;null;
2017-07-31;null;20,7;null;null;null;null;
2017-08-31;null;3,4;null;null;null;null;
2017-09-30;null;0;null;null;null;null;
2017-10-31;null;0;null;null;null;null;
2017-11-30;null;48,6;null;null;null;null;
2017-12-31;null;49,7;null;null;null;null;
2018-01-31;null;83,1;null;null;null;null;
2018-02-28;null;382,1;null;null;null;null;
2018-03-31;null;233;null;null;null;null;
2018-04-30;null;249,4;null;null;null;null;
2018-05-31;null;49,7;null;null;null;null;
2018-06-30;null;49,9;null;null;null;null;
2018-07-31;null;24,6;null;null;null;null;
2018-08-31;null;1,2;null;null;null;null;
2018-09-30;null;13,5;null;null;null;null;
2018-10-31;null;43;null;null;25,264516;null;
2018-11-30;null;31,9;null;null;25,34;null;
2018-12-31;null;242,6;null;null;22,767742;null;
2019-01-31;null;175,7;null;null;20,474194;null;
2019-02-28;null;228,5;null;null;22,725926;null;
2019-03-31;null;373,9;null;null;22,632258;null;
2019-04-30;null;362,7;null;null;23,25;null;
2019-05-31;null;193,9;null;null;23,893548;null;
2019-06-30;null;16;null;null;22,765;null;
2019-07-31;null;5,5;34,408696;27,474783;22,1;null;
2019-08-31;null;0;36,663636;28,888182;22,954545;null;
2019-09-30;null;33,6;38,161905;30,16;23,966667;null;
2019-10-31;null;55,6;37,726087;30,397391;24,552174;null;
2019-11-30;null;15,1;39,517647;30,96875;24,838889;null;
2019-12-31;null;44,4;null;null;null;null;

