Nome: PIRIPIRI
Codigo Estacao: 82480
Latitude: -4.2761111
Longitude: -41.79444444
Altitude: 157.89
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;16;238;33,864516;26,685161;22,606452;5;
2008-02-29;18;338,6;32,489655;26,122759;22,393103;4,1;
2008-03-31;30;418,1;30,645161;25,16129;22,335484;5,6;
2008-04-30;27;509,8;30,693333;25,470667;22,626667;4,1;
2008-05-31;17;175,2;31,374194;26,045161;22,632258;4,6;
2008-06-30;7;6,1;32,326667;26,433333;21,673333;4,6;
2008-07-31;6;13,4;33,167742;27,272258;22,264516;6,5;
2008-08-31;9;24,7;35,109677;27,553548;21,574194;4,6;
2008-09-30;0;0;36,88;28,514667;21,673333;5,5;
2008-10-31;3;6,7;37,754839;29,424516;22,683871;6,6;
2008-11-30;1;2,1;37,72;29,56;22,973333;5,8;
2008-12-31;5;1,8;37,045161;29,305806;23,645161;5,8;
2009-01-31;18;138,1;34,606452;27,402581;23,129032;5;
2009-02-28;20;274,1;32,178571;25,891429;22,571429;5,1;
2009-03-31;29;500,6;31,56129;25,664516;22,741935;5;
2009-04-30;26;720,6;30,6;25,389333;22,78;4;
2009-05-31;27;426,1;30,754839;25,821935;23,051613;5,3;
2009-06-30;11;54,8;31,866667;26,134667;22,026667;3,6;
2009-07-31;6;63,6;32,619355;26,501935;21,748387;5,3;
2009-08-31;4;13,7;34,496774;27,227097;21,129032;5,8;
2009-09-30;3;1,3;37,08;28,438667;21,74;5,8;
2009-10-31;2;31,1;37,077419;28,552258;21,96129;5;
2009-11-30;4;6,4;37,053333;28,971333;22,826667;6,1;
2009-12-31;5;13,4;35,326667;28,848;24,053333;6,1;
2010-01-31;11;91,6;33,916129;27,442581;23,154839;5;
2010-02-28;11;97,3;34,664286;28,445714;24,25;5;
2010-03-31;17;343,6;34,593548;27,552258;23,503226;10;
2010-04-30;18;204,5;32,973333;27,361333;23,886667;5,1;
2010-05-31;14;140,4;33,180645;27,348387;23,645161;3,5;
2010-06-30;7;41,6;32,98;27,132;22,58;4,3;
2010-07-31;1;,1;35,03871;28,005161;22,464516;5,5;
2010-08-31;1;2,4;36,419355;28,440645;21,480645;6;
2010-09-30;1;,4;37,82;29,285333;21,946667;7,1;
2010-10-31;6;47,9;37,696774;29,012903;22,483871;5;
2010-11-30;8;44,3;37,16;29,026667;23,013333;5,5;
2010-12-31;16;351,4;33,967742;27,271613;22,835484;5,1;
2011-01-31;17;288;31,516129;25,894194;22,496774;4,1;
2011-02-28;19;247,9;31,114286;25,692857;22,564286;4,3;
2011-03-31;26;371;31,225806;25,590968;22,548387;3,6;
2011-04-30;24;448,6;30,866667;25,550667;22,613333;4,5;
2011-05-31;16;252,4;31,606452;26,674839;23,296774;5,6;
2011-06-30;9;40;32,413333;26,616;22,253333;4,3;
2011-07-31;5;43,1;32,322581;26,6;21,806452;4,8;
2011-08-31;5;10,1;34,735484;27,495484;21,490323;5;
2011-09-30;1;,6;36,56;28,348;21,566667;6,1;
2011-10-31;5;56,7;36,445161;28,348387;22,522581;5;
2011-11-30;6;13,7;35,553333;28,464;22,993333;5,1;
2011-12-31;3;10,2;36,606452;28,744516;22,277419;5;
2012-01-31;15;84,7;34,812903;27,646452;22,993548;5,1;
2012-02-29;19;248,5;32,937931;26,452414;22,413793;5,8;
2012-03-31;20;250,3;32,780645;26,212903;22,535484;4;
2012-04-30;18;78,1;32,473333;26,534667;22,86;4,3;
2012-05-31;7;30;33,806452;27,126452;22,516129;5;
2012-06-30;6;22,4;34,826667;27,316;22,04;4,1;
2012-07-31;4;3,5;35,63871;28,012903;21,735484;5,3;
2012-08-31;1;,3;36,606452;28,818065;21,406452;6,1;
2012-09-30;0;0;37,413333;29,098667;21,846667;6,6;
2012-10-31;3;6,6;38,354839;29,747097;22,580645;5,1;
2012-11-30;5;78,1;37,506667;29,361333;22,926667;4,8;
2012-12-31;11;40;36,703226;29,103226;23,270968;5,3;
2013-01-31;10;123,6;34,580645;27,895484;23,548387;6,6;
2013-02-28;13;174,1;34,857143;27,798571;23,121429;6;
2013-03-31;17;169,8;34,303226;27,620667;23,51;5,1;
2013-04-30;20;235,6;32,546667;26,590667;23,186667;4;
2013-05-31;15;95;32,258065;26,411613;22,56129;4;
2013-06-30;9;59,4;32,833333;26,714667;22,006667;3,3;
2013-07-31;6;12,8;34,225806;27,176774;21,954839;4,8;
2013-08-31;3;2,8;36,683871;28,593548;22,335484;5,5;
2013-09-30;2;,3;37,76;29,506667;22,7;5,5;
2013-10-31;4;14;38,116129;29,690323;22,845161;5,3;
2013-11-30;4;43;36,006667;29,188;23,513333;6,6;
2013-12-31;4;50,6;36,516129;29,265806;23,380645;6,1;
2014-01-31;null;123,5;34,677419;27,389677;22,83871;5;
2014-02-28;null;246,7;32,735714;26,462857;22,742857;5,5;
2014-03-31;null;204,2;32,4;26,498667;23,006667;4,1;
2014-04-30;null;281,2;32,093333;26,146667;22,793333;3,5;
2014-05-31;null;154,8;31,754839;26,348387;23,109677;3,3;
2014-06-30;null;64,1;32,84;27,038667;22,553333;3,3;
2014-07-31;null;7,1;34,23871;27,267097;21,845161;5,6;
2014-08-31;null;17,2;36,219355;27,997419;21,309677;5;
2014-09-30;null;1,5;37,66;29,011333;21,69;5;
2014-10-31;null;6,5;37,935484;29,896774;23,477419;6,6;
2014-11-30;null;42,3;37,24;29,273333;23,193333;5;
2014-12-31;null;20,2;36,03871;29,105806;23,529032;5;
2015-01-31;null;55,5;35,851613;28,463226;22,774194;5,5;
2015-02-28;null;165,6;33,642857;26,991429;22,785714;5,3;
2015-03-31;null;366,4;32,612903;26,246452;22,825806;5;
2015-04-30;null;151,6;32,086667;26,289333;22,806667;4,3;
2015-05-31;null;46,4;32,941935;27,127742;23,122581;3,3;
2015-06-30;null;48;33,453333;27,068;22,18;3,6;
2015-07-31;null;14,2;34,593548;27,685161;22,341935;7,5;
2015-08-31;null;0;36,973333;28,588;20,954839;5;
2015-09-30;null;1,2;38,166667;29,392667;21,976667;4,5;
2015-10-31;null;18,3;38,709677;30;23,109677;5,3;
2015-11-30;null;1,1;38,6;29,936;23,006667;5,5;
2015-12-31;null;7,8;37,693333;29,896;23,864516;5;
2016-01-31;null;148,6;33,419355;27,443871;23,993548;3,6;
2016-02-29;null;161,9;33,862069;27,437241;23,317241;6,1;
2016-03-31;null;375,6;33,303226;27,100645;23,690323;4,1;
2016-04-30;null;108,5;33,266667;27,498667;23,58;5;
2016-05-31;null;74,1;33,696774;27,420645;23,290323;3,3;
2016-06-30;null;17;34,806667;27,506667;22,133333;4,5;
2016-07-31;null;6,3;36,045161;27,843871;21,174194;4,3;
2016-08-31;null;4,2;38,019355;29,125806;21,609677;5,5;
2016-09-30;null;9,7;38,386667;29,552;22,72;5;
2016-10-31;null;0;38,767742;30,24;23,264516;5,5;
2016-11-30;null;2,6;38,533333;30,622667;24,186667;4,8;
2016-12-31;null;39,1;36,251613;29,025333;23,522581;5;
2017-01-31;null;64,9;35,316129;28,107097;23,658065;5;
2017-02-28;null;279,6;33,364286;26,952857;23,2;5;
2017-03-31;null;388,8;32;25,996;22,980645;3,3;
2017-04-30;null;287,9;32,133333;26,514667;23,2;5;
2017-05-31;null;147,2;32,574194;26,88;23,174194;3,8;
2017-06-30;null;100,5;32,46;null;null;5;
2017-07-31;null;52,8;32,16129;null;null;5,1;
2017-08-31;null;33,9;34,064516;null;null;3,6;
2017-09-30;null;,2;35,013333;null;null;6,1;
2017-10-31;null;34,3;35,870968;null;null;5,8;
2017-11-30;null;8,2;35,366667;null;null;4,6;
2017-12-31;null;19,1;36,670968;29,502857;23,907143;5;
2018-01-31;null;108,7;34,619355;27,48129;23,045161;6,6;
2018-02-28;null;398,9;31,457143;25,805714;22,878571;5,8;
2018-03-31;null;175,8;32,167742;26,468387;23,251613;5,5;
2018-04-30;null;261,8;30,906667;25,958621;22,933333;5;
2018-05-31;null;73,5;31,896774;26,545806;22,883871;3,3;
2018-06-30;null;5,6;33,34;27,028966;21,986667;5;
2018-07-31;null;0;34,6;27,646452;22,090323;4,6;
2018-08-31;null;9;36,096774;27,847742;21,516129;5;
2018-09-30;null;19,1;37,746667;29,221333;22,34;5;
2018-10-31;null;32,6;37,651613;29,324516;22,883871;5;
2018-11-30;null;2,7;37,4;29,874667;23,46;5;
2018-12-31;null;81;33,632258;27,417333;22,922581;3,3;
2019-01-31;null;232,2;32,96129;26,490667;22,729032;4,8;
2019-02-28;null;196;32,3;26,202857;22,871429;4,11552;
2019-03-31;null;472,2;31,541935;25,990667;23,174194;5,1444;
2019-04-30;null;525;31,193333;26,011429;23,44;3,60108;
2019-05-31;null;123;32,406452;27,043871;23,516129;3,60108;
2019-06-30;null;1,2;32,766667;27,365517;22,773333;3,60108;
2019-07-31;null;12,3;34,192308;27,6296;22,385185;3,60108;
2019-08-31;null;15,2;35,787097;28,578065;22,167742;3,60108;
2019-09-30;null;2,1;37,243333;29,126;22,18;4,62996;
2019-10-31;null;23,6;37,810345;29,168966;22,683871;5,1444;
2019-11-30;null;27,3;37,846667;29,521333;23,393333;4,11552;
2019-12-31;null;39,2;37,046667;29,672;23,819355;5,1444;

