Nome: GUARAMIRANGA
Codigo Estacao: 82487
Latitude: -4.26138888
Longitude: -38.9311111
Altitude: 865.44
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-08-29
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;23;203,6;25,554839;21,112258;19,06129;5,8;
2008-02-29;10;27,4;26,586207;21,582069;19,27931;5,5;
2008-03-31;25;259,6;24,845161;21,171613;18,854839;5,6;
2008-04-30;22;417;24,233333;20,962667;18,96;5,3;
2008-05-31;19;204,4;23,974194;20,922581;18,770968;5;
2008-06-30;10;109,8;22,926667;20,101333;18,053333;5,8;
2008-07-31;11;105;23,567742;19,863871;17,425806;6,6;
2008-08-31;7;85,2;25,219355;20,25871;17,567742;5;
2008-09-30;1;1;27,06;21,078;17,763333;6,6;
2008-10-31;5;13,8;27,632258;21,387097;18,2;5,8;
2008-11-30;5;23,4;27,413333;21,529333;18,786667;5,3;
2008-12-31;10;55,7;27,677419;21,732903;18,958065;5,3;
2009-01-31;15;135,8;26,658065;21,481935;19,048387;5,3;
2009-02-28;18;191,4;24,871429;21,005714;19,121429;6,1;
2009-03-31;26;370,8;24,316129;20,997419;19,1;5,2;
2009-04-30;21;410,2;24,62;21,268;19,06;4,6;
2009-05-31;27;424,8;24,187097;20,988387;18,925806;5;
2009-06-30;19;273;23,72;20,432;18,4;5;
2009-07-31;15;265;23,148387;19,765806;17,677419;5,1;
2009-08-31;9;62;24,76129;20,099355;17,519355;5,1;
2009-09-30;10;18,7;25,98;20,597333;18,04;6;
2009-10-31;8;14;26,703226;20,72129;18,132258;5;
2009-11-30;13;39,4;26,566667;21,036;18,48;5,3;
2009-12-31;9;32,6;26,167742;21,484516;19,296774;5,6;
2010-01-31;18;135,1;26,329032;21,523871;19,196774;5;
2010-02-28;12;52,5;26,628571;22,161429;19,807143;5;
2010-03-31;15;130;27,335484;22,477419;19,977419;5;
2010-04-30;25;356,3;25,44;22,022667;19,9;5;
