Nome: JAGUARUANA
Codigo Estacao: 82493
Latitude: -4.85361111
Longitude: -37.77722221
Altitude: 16.57
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-04-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;7;37,9;34,332258;28,476774;24,435484;8,1;
2008-02-29;1;,2;34,972414;28,643448;23,965517;8;
2008-03-31;22;301,6;31,464516;26,741935;23,487097;8,1;
2008-04-30;19;314,2;30,956667;26,642667;23,523333;5,3;
2008-05-31;17;125,7;30,925806;26,559355;23,329032;6,4;
2008-06-30;10;54,2;30,5;25,742;22,166667;5,1;
2008-07-31;6;40,2;31,46129;25,866452;21,5;6,8;
2008-08-31;5;38,7;33,429032;26,599355;21,366667;6,3;
2008-09-30;0;0;34,626667;27,612;21,9;6,6;
2008-10-31;0;0;35,093548;28,287742;22,73871;8,3;
2008-11-30;1;,6;34,936667;28,278;23,263333;7,1;
2008-12-31;1;,5;34,893548;28,374839;23,580645;7,5;
2009-01-31;8;172,3;33,7;27,907742;23,664516;7,3;
2009-02-28;12;137,4;32,075;27,088571;23,432143;6,8;
2009-03-31;20;256,8;31,26129;26,703226;23,125806;6,1;
2009-04-30;27;347,5;30,063333;26,14;23,153333;5,3;
2009-05-31;23;304,2;30,129032;26,276129;23,445161;5;
2009-06-30;15;97,1;30,523333;26,154667;23,01;4,3;
2009-07-31;10;33,5;30,970968;25,754194;21,990323;12;
2009-08-31;3;17,9;32,445161;26,055484;21,232258;8,8;
2009-09-30;0;0;33,82;27,26;22,07;7,8;
2009-10-31;0;0;34,019355;27,443871;22,623333;7,6;
2009-11-30;1;1,4;34,366667;28,022;22,92;8;
2009-12-31;2;1,6;34,667742;28,535484;24,129032;7,5;
2010-01-31;9;32,1;34,335484;28,364516;24,112903;6,5;
2010-02-28;3;9,4;35,467857;29,255;24,803571;7,1;
2010-03-31;6;38,5;35,441935;29,310968;24,987097;8,1;
2010-04-30;14;182;34,013333;28,558667;24,563333;5,8;
2010-05-31;4;40,3;34,216129;28,427742;24;5,8;
2010-06-30;2;17,8;34,546667;28,151333;23,176667;6;
2010-07-31;2;7,4;34,351613;27,88129;23,096667;7,1;
2010-08-31;0;0;34,919355;27,765161;22,064516;7;
2010-09-30;0;0;35,53;28,123333;22,458621;8,1;
2010-10-31;4;10;35,196774;28,317419;23,429032;8,1;
2010-11-30;1;,4;35,166667;28,67;23,8;8,3;
2010-12-31;9;48,5;34,077419;28,190323;23,935484;7,1;
2011-01-31;13;278,7;32,074194;27,203871;23,596774;8,1;
2011-02-28;12;111,5;31,707143;27,142143;23,614286;6;
2011-03-31;15;152,2;31,609677;26,989677;23,477419;7,5;
2011-04-30;18;336,8;31,196667;26,507333;23,193333;7,1;
2011-05-31;16;151,1;30,935484;26,44129;23,045161;4,8;
2011-06-30;5;11,6;31,833333;26,344;22,106667;5,5;
2011-07-31;8;70,1;31,629032;26,245161;21,948387;6,8;
2011-08-31;2;4,2;33,754839;26,555484;21,167742;6;
2011-09-30;0;0;35,25;27,571333;21,653333;7;
2011-10-31;3;14,1;34,264516;27,845806;23,180645;7,1;
