Nome: IMPERATRIZ
Codigo Estacao: 82564
Latitude: -5.536521
Longitude: -47.478943
Altitude: 126.33
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;19;179,8;32,041935;26,545806;22,487097;2,5;
2008-02-29;19;123;32,186207;26,717241;23,137931;3,3;
2008-03-31;30;580,2;31,883871;26,124516;22,445161;4,1;
2008-04-30;19;283,8;32,54;26,978;23,203333;3,6;
2008-05-31;12;179,7;32,848387;27,466452;23,254839;3,3;
2008-06-30;1;,2;34,533333;27,97;21,883333;2,5;
2008-07-31;0;0;35,264516;27,865161;20,651613;3,6;
2008-08-31;2;1,1;36,751613;29,209032;21,241935;4,1;
2008-09-30;1;1;37,116667;30,22;23,04;5,7;
2008-10-31;7;32;37,235484;30,312258;23,216129;2,1;
2008-11-30;12;111,9;35,76;28,372667;22,456667;3;
2008-12-31;14;332,8;null;null;21,251613;1,8;
2009-01-31;17;220,2;null;null;21,380645;4,1;
2009-02-28;20;352,6;null;null;20,689286;1,6;
2009-03-31;18;159,1;33,5;27,378;22,406452;2,5;
2009-04-30;25;438,8;31,646667;26,571333;22,716667;2;
2009-05-31;18;264,8;31,7;26,628387;22,854839;2;
2009-06-30;5;4,5;33,633333;27,48;21,986667;2;
2009-07-31;0;0;35,177419;27,914194;21,016129;3;
2009-08-31;1;23,7;35,9;28,543226;20,554839;2,1;
2009-09-30;2;4,6;36,503333;29,382667;21,98;2,5;
2009-10-31;5;32,5;35,664516;29,046452;22,2;2,5;
2009-11-30;2;27,9;35,543333;29,136667;22,306667;2,5;
2009-12-31;20;74,8;32,958065;26,871613;21,145161;2;
2010-01-31;18;183,2;33,029032;26,925806;20,593548;1,8;
2010-02-28;18;198,7;32,882143;27,077143;20,975;4,6;
2010-03-31;16;169,7;33,812903;27,496129;20,9;2;
2010-04-30;15;259,7;33,823333;27,387586;20,606897;1,8;
2010-05-31;9;162,6;34,277419;28,427742;23,832258;2,1;
2010-06-30;4;32,3;34,36;27,966;22,276667;2;
2010-07-31;2;11,4;35,393548;28,116129;21,151613;2;
2010-08-31;2;4,7;36,767742;28,402581;20,054839;2;
2010-09-30;1;8;38,036667;30,205333;21,763333;2;
2010-10-31;11;144,9;35,958065;28,733548;21,729032;4,1;
2010-11-30;9;48,1;34,12;27,690667;20,97;1,5;
2010-12-31;22;168,1;32,73871;26,653548;20,129032;3,6;
2011-01-31;22;390,3;31,987097;25,694839;19,16129;2;
2011-02-28;20;342,6;31,746429;25,841538;21,596154;2,6;
2011-03-31;23;346,1;32,090323;26,819355;23,26129;2,5;
2011-04-30;23;169,8;32,21;26,836;23,373333;1,6;
2011-05-31;11;122,3;33,167742;27,552903;23,49;1,6;
2011-06-30;1;,4;34,436667;27,835333;22,056667;1,6;
2011-07-31;2;10;34,832258;27,38;20,435484;3,6;
2011-08-31;0;0;36,722581;28,803871;21,132258;1,6;
2011-09-30;0;0;37,95;30,072;21,836667;6,6;
2011-10-31;13;169,9;35,341935;28,481935;22,125806;2,6;
2011-11-30;13;90,8;32,406667;26,907333;21,546667;2;
2011-12-31;15;114,5;33,151613;27,11871;21,467742;1,8;
2012-01-31;20;248,1;31,451613;25,903226;20,83871;2;
2012-02-29;21;252,1;31,289655;25,806207;22,348276;2,5;
2012-03-31;17;149,2;32,643333;26,73871;22,919355;1,6;
2012-04-30;15;59;33,66;27,627333;23,21;2;
2012-05-31;7;29,4;33,951613;27,616129;22,493548;5,4;
2012-06-30;6;57,9;33,873333;26,994667;21,4;2;
2012-07-31;2;4,5;35,648387;27,749677;20,66129;1,6;
2012-08-31;1;,2;37,380645;28,712258;20,519355;1,8;
2012-09-30;3;25,6;37,66;30,111333;23,19;2,6;
2012-10-31;6;120,8;35,474194;29,029032;23,451613;2,3;
2012-11-30;9;194,1;33,366667;27,608;23,01;1,6;
2012-12-31;16;234,8;33,196774;26,918065;22,270968;1,6;
2013-01-31;18;221,3;32,233333;26,74129;22,4;1,6;
2013-02-28;14;170,9;32,728571;26,700714;22,153571;1,6;
