Nome: BARRA DO CORDA
Codigo Estacao: 82571
Latitude: -5.50638888
Longitude: -45.23722221
Altitude: 154.17
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;185,7;31,335484;26,28;23,06129;3,5;
2008-02-29;17;208,6;31,262069;26,002759;22,751724;4,1;
2008-03-31;27;328,5;30,706452;25,492903;22,722581;5,1;
2008-04-30;24;219,3;31,172727;25,813636;22,916667;4,3;
2008-05-31;13;100;null;null;22,629032;6,1;
2008-06-30;0;0;null;null;20,166667;5;
2008-07-31;0;0;null;null;19,735484;5,1;
2008-08-31;2;5,5;35,083871;27,803226;20,816129;4,8;
2008-09-30;0;0;36,496667;29,382667;23,446667;6;
2008-10-31;5;15,2;37,112903;30,066452;24,367742;4,5;
2008-11-30;7;12,7;35,516667;29,474667;24,896667;4,6;
2008-12-31;16;116,6;33,106452;27,406452;23,787097;3,6;
2009-01-31;15;166,7;31,545161;26,485161;23,322581;4,6;
2009-02-28;17;236,5;31,303571;25,784286;22,692857;9;
2009-03-31;20;161,9;31,803226;26,239355;23,26129;3,8;
2009-04-30;25;492,2;30,913333;25,918;23,106667;5;
2009-05-31;22;248,4;30,664516;25,797419;22,764516;4,3;
2009-06-30;4;7,4;31,9;26,014;21,38;4,3;
2009-07-31;1;,4;33,1;26,272903;20,641935;4;
2009-08-31;3;40,2;34,219355;26,953548;20,590323;4,1;
2009-09-30;2;1,9;35,353333;28,322667;23,073333;3,6;
2009-10-31;6;58;34,732258;28,517419;23,890323;4,3;
2009-11-30;5;30,4;34,72;28,571333;24,023333;3,5;
2009-12-31;12;200;32,241935;26,713548;23,26129;4;
2010-01-31;18;182;31,632258;26,362581;22,93871;5;
2010-02-28;14;131,2;31,860714;26,862857;23,632143;4;
2010-03-31;10;77;32,458065;27,349032;23,770968;4;
