Nome: QUIXERAMOBIM
Codigo Estacao: 82586
Latitude: -5.17305554
Longitude: -39.28722221
Altitude: 227.33
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;12;83,6;33,622581;27,649032;23,8;9,8;
2008-02-29;13;47,2;33,048276;27,497241;23,196552;6,6;
2008-03-31;21;250,4;30,3;25,387742;21,493548;5;
2008-04-30;18;139,6;29,523333;24,843333;20,783333;5;
2008-05-31;15;132,4;29,941935;24,87871;20,970968;5;
2008-06-30;4;17,6;29,606667;24,33;20,036667;5,5;
2008-07-31;4;49;30,809677;25,288387;20,748387;6,6;
2008-08-31;4;5,4;33,229032;26,43871;21,316129;7,7166;
2008-09-30;0;0;35,156667;28,159333;22,656667;8,3;
2008-10-31;0;0;35,664516;28,519355;23,377419;8;
2008-11-30;2;1,8;35,983333;28,6;23,403333;9,1;
2008-12-31;2;7,6;35,66129;28,868387;24,074194;8,3;
2009-01-31;8;30,8;34,306452;28,102581;23,758065;7,5;
2009-02-28;14;100,7;31,853571;26,738571;22,971429;7;
2009-03-31;24;163,6;30,564516;25,836774;22,693548;5;
2009-04-30;22;320,7;29,536667;25,256667;22,133333;6,6;
2009-05-31;23;225,5;28,816129;24,909032;21,854839;4,6;
2009-06-30;15;93,7;29,24;24,67;21,243333;5;
2009-07-31;12;74;30,270968;24,80129;21,248387;5;
2009-08-31;4;54,1;32,022581;25,690968;21,012903;7;
2009-09-30;1;,2;33,973333;27,067333;22,036667;7,1;
2009-10-31;1;,2;35,193548;27,661935;22,73871;7,5;
2009-11-30;2;2,5;35,5;28,127333;23,133333;8;
2009-12-31;7;31,6;34,583871;28,241935;23,487097;7,5;
2010-01-31;9;64,2;33,545161;27,448387;22,909677;7,1;
2010-02-28;4;18,4;35,15;29,182857;24,6;6,68772;
2010-03-31;12;103;35,06129;28,872258;24,583871;8,3;
2010-04-30;12;225,4;31,823333;26,860667;23,28;5;
2010-05-31;6;53;32,403226;26,948387;23,109677;5;
2010-06-30;9;116,5;32,046667;26,114667;21,823333;5,3;
2010-07-31;4;2;33,316129;27,329677;22,229032;5,8;
2010-08-31;0;0;33,996774;27,599355;22,419355;6,6;
2010-09-30;0;0;35,05;27,918;22,823333;9,6;
2010-10-31;4;11,7;35,106452;28,188387;23,480645;8,3;
2010-11-30;3;,7;36,026667;28,819333;23,683333;8,3;
2010-12-31;11;86,9;32,816129;27,288387;23,093548;10;
2011-01-31;15;137,7;30,677419;25,906452;22,580645;6,6;
2011-02-28;14;145,5;29,353571;25,684286;22,735714;5;
2011-03-31;13;156,6;30,145161;25,494194;22,164516;6;
2011-04-30;16;173,1;30,446667;25,484;22,333333;6;
2011-05-31;15;120,7;29,745161;25,107097;21,967742;5,3;
2011-06-30;11;116,1;29,67;24,597333;20,373333;6;
2011-07-31;11;89,3;30,380645;24,650968;20,574194;5;
2011-08-31;4;20,9;33,13871;25,9;20,432258;6,6;
2011-09-30;2;1;34,673333;27,327333;20,636667;9,3;
2011-10-31;4;11,4;34,932258;27,363226;22,096774;7,3;
2011-11-30;2;5;34,48;27,724;23,29;8;
2011-12-31;2;2,4;35,132258;27,969032;23,658065;7,6;
2012-01-31;5;12;34,248387;27,874839;23,812903;8,3;
2012-02-29;12;110,4;33,296552;27,048276;22,948276;6,6;
2012-03-31;13;63,3;33,603226;27,322581;23,36;7,3;
2012-04-30;8;66,2;35,136667;27,916;23,826667;5,65884;
2012-05-31;6;21;34,906452;28,040645;23,590323;6,6;
2012-06-30;2;25,5;33,816667;27,542;23,366667;7,5;
2012-07-31;1;,5;34,06129;27,477419;22,751613;7;
2012-08-31;3;2,1;34,619355;27,750968;22,23871;7,6;
2012-09-30;0;0;35,07;27,728;22,426667;7,5;
2012-10-31;2;,3;35,909677;27,992258;23,141935;8,3;
2012-11-30;0;0;36,153333;28,305333;23,45;8,3;
2012-12-31;1;,6;35,854839;28,71871;24,429032;8,3;
2013-01-31;3;3,7;36;29,025806;24,693548;8,3;
2013-02-28;8;57,8;35,564286;28,846429;24,375;8,3;
2013-03-31;13;43,2;35,280645;28,592258;24,46129;6,6;
2013-04-30;16;145,5;33,95;27,454667;23,493333;7,3;
2013-05-31;5;93,4;32,567742;26,254839;22,635484;5,6;
2013-06-30;null;70,2;31,713333;25,698;21,946667;6,3;
2013-07-31;null;99,5;31,445161;25,146452;21,119355;5;
2013-08-31;null;4,8;34,370968;27,174839;21,774194;6,6;
2013-09-30;null;0;35,77;28,074;22,61;6,6;
2013-10-31;null;1;36,1;28,224516;23,109677;7,5;
2013-11-30;null;66,5;34,506667;27,641333;22,773333;7,3;
2013-12-31;null;18;35,296774;27,969032;22,983871;7,3;
2014-01-31;null;6,2;34,96129;28,220645;23,690323;6,6;
2014-02-28;null;46,6;33,921429;27,439286;23,217857;6,6;
2014-03-31;null;152,6;33,187097;26,760645;22,616129;6;
2014-04-30;null;67,7;32,79;26,764;23,046667;7;
2014-05-31;null;130,9;32,706452;26,070323;22,116129;5,3;
2014-06-30;null;22,8;32,763333;26,687333;22,373333;9,1;
2014-07-31;null;4;33,658065;27,129032;21,76129;6,6;
2014-08-31;null;0;34,925806;27,963226;22,535484;6,6;
2014-09-30;null;4,5;35,303333;28,11;22,993333;7,5;
2014-10-31;null;23,6;35,83871;28,342581;22,980645;7,5;
2014-11-30;null;12;35,496667;27,949333;23,26;8,3;
2014-12-31;null;4,8;35,658065;28,460645;24,070968;8,3;
2015-01-31;null;10,4;35,341935;28,53871;24,03871;6,6;
2015-02-28;null;107,9;34,653571;27,911429;23,628571;8,3;
2015-03-31;null;160,7;32,935484;26,878065;23,1;5,3;
2015-04-30;null;50,5;33,166667;26,956;23,153333;5,3;
2015-05-31;null;15,3;34,954839;28,172258;24,093548;5,8;
2015-06-30;null;34,4;34,446667;27,6;22,963333;5,8;
2015-07-31;null;36,3;33,316129;27,176774;22,925806;5,3;
2015-08-31;null;0;34,7;27,693548;22,716129;6,6;
2015-09-30;null;0;35,333333;27,863333;22,856667;8,5;
2015-10-31;null;0;36,164516;28,410968;23,109677;8,6;
2015-11-30;null;,2;35,883333;28,889333;24,223333;7,1;
2015-12-31;null;6,2;36,016129;29,02;24,077419;8,6;
2016-01-31;null;12,3;34,511765;28,27875;24,275;8,3;
2016-02-29;null;37,7;34,213793;28,033103;23,937931;6,6;
2016-03-31;null;71,7;35,070968;28,830968;24,541935;8,6;
2016-04-30;null;124;33,146667;27,217333;23,513333;7;
2016-05-31;null;116,4;33,377778;27,648889;23,814815;6,6;
2016-06-30;null;21,9;33,793333;27,757333;23,22;6;
2016-07-31;null;4,7;33,63125;27,39375;22,5125;9,3;
2016-08-31;null;0;32,983871;27,51871;22,822581;5,3;
2016-09-30;null;0;34,066667;28,370667;23,406667;7,6;
2016-10-31;null;0;34,706452;28,883871;23,9;10;
2016-11-30;null;0;34,88;28,982;24,036667;6,6;
2016-12-31;null;27;36,041935;29,038065;24,167742;6,6;
2017-01-31;null;0;null;null;null;null;
2017-02-28;null;173,2;33,239286;27,583571;23,478571;5;
2017-03-31;null;144,9;31,425;26,118333;22,864;4,3;
2017-04-30;null;92,2;31,931034;null;22,875862;5,6;
2017-05-31;null;137,7;33,512903;null;22,56129;5;
2017-06-30;null;21,3;35,583333;null;23,106667;5;
2017-07-31;null;83,3;35,393548;null;21,851613;5,6;
2017-08-31;null;40,6;35,154839;null;21,193548;6;
2017-09-30;null;2,8;35,786667;null;21,64;6,6;
2017-10-31;null;,3;36,864516;null;22,729032;7,3;
2017-11-30;null;0;36,726667;null;23,073333;9;
2017-12-31;null;14,8;36,303226;null;23,406452;8,3;
2018-01-31;null;59,8;35,058065;null;22,845161;8,3;
2018-02-28;null;33,7;null;null;null;null;
2018-03-31;null;80,1;34,890323;null;23,619355;6,6;
2018-04-30;null;349,1;32,023333;null;22,743333;5;
2018-05-31;null;112,6;31,490323;null;22,077419;5;
2018-06-30;null;29,2;31,866667;25,674;21,51;3,6;
2018-07-31;null;23;33,387097;26,771613;21,516129;4,1;
2018-08-31;null;0;34,828571;27,712593;22,006667;5,1444;
2018-09-30;null;0;35,637931;28,128571;22,410345;5;
2018-10-31;null;0;36,122581;28,269677;23,032258;5;
2018-11-30;null;2,6;36,196667;28,896;23,763333;8,3;
2018-12-31;null;19,4;35,025806;28,429677;23,877419;5;
2019-01-31;null;193,4;33,612903;27,428387;22,993548;5;
2019-02-28;null;73,4;32,685714;27,085217;23,214286;5,1444;
2019-03-31;null;97,5;31,773333;26,356129;22,787097;5,1444;
2019-04-30;null;131,4;31,353333;26,385333;22,966667;5,1444;
2019-05-31;null;56,2;32,587097;26,806154;22,858065;5,1444;
2019-06-30;null;22,8;33,506667;27,252308;22,626667;5,1444;
2019-07-31;null;41;32,895833;26,950435;22,357143;5,1444;
2019-08-31;null;0;34,131034;27,447143;22,073333;5,65884;
2019-09-30;null;0;35,706897;28,185517;22,773333;5,1444;
2019-10-31;null;0;36,262069;28,202759;22,812903;5,1444;
2019-11-30;null;0;36,566667;28,864;23,693333;5,1444;
2019-12-31;null;6,8;36,233333;29,396667;24,212903;5,1444;

