Nome: APODI
Codigo Estacao: 82590
Latitude: -5.62666666
Longitude: -37.815
Altitude: 131.37
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;9;106,8;35,264516;28,304;24,3;7,6;
2008-02-29;8;25,6;35,193103;28,332143;24,028571;7,5;
2008-03-31;22;265,5;32,232258;26,671333;23,424138;7,2;
2008-04-30;20;340,9;30,42;26,058;23,32;6,1;
2008-05-31;15;124,1;30,190323;25,985161;23,173333;6,1;
2008-06-30;10;75,1;29,97;25,408571;21,946667;6,6;
2008-07-31;6;27,2;31,406452;25,950667;21,5;6,7;
2008-08-31;5;14,9;33,641935;26,888571;22,096552;7,2;
2008-09-30;null;null;null;null;null;null;
2008-10-31;0;0;36,141935;28,542667;23,143333;7,6;
2008-11-30;0;0;36,546667;28,666207;23,17931;7,2;
2008-12-31;0;0;36,287097;28,746207;23,796552;7,2;
2009-01-31;6;83,1;35,277419;28,444;24,106452;7,5;
2009-02-28;15;178,4;32,071429;26,684286;23,317857;6,6;
2009-03-31;15;117,2;32,019355;26,552903;23,522581;6;
2009-04-30;24;440,2;31,085714;26,215385;23,603571;6,1;
2009-05-31;20;180,8;30,222581;25,954;23,612903;6,3;
2009-06-30;15;95,3;29,9;25,675862;22,748276;6,6;
2009-07-31;10;22,4;30,870968;25,462667;21,893333;7,1;
2009-08-31;5;112;32,577419;25,771333;21,22;7,1;
2009-09-30;0;0;34,38;26,795172;21,603448;7,2;
2009-10-31;null;0;35,633333;27,478182;22,059091;7,1;
2009-11-30;null;null;null;null;null;null;
2009-12-31;3;18,7;36,141935;28,566667;23,487097;6,8;
2010-01-31;11;176;33,974194;27,657333;23,543333;6,7;
2010-02-28;6;53,9;34,578571;28,223704;23,855556;6,2;
2010-03-31;9;48,3;36,229032;28,930345;24,372414;6;
2010-04-30;21;236,3;32,78;27,424;24,003333;5,5;
2010-05-31;5;21,1;33,845161;27,855862;23,944828;5,5;
2010-06-30;4;27,5;33,586667;27,588966;23,103448;5,6;
2010-07-31;4;3,7;34,135484;28,053571;22,946429;6;
2010-08-31;null;null;null;null;null;null;
2010-09-30;0;0;35,806667;28,394286;23,07931;6,1;
2010-10-31;2;6,7;36,203226;28,549655;23,489655;6,1;
2010-11-30;1;,1;36,68;28,900714;23,728571;5,2;
2010-12-31;5;58,7;34,364516;27,935484;23,61;5,1;
2011-01-31;14;144,9;33,467742;27,250667;23,44;5;
2011-02-28;13;307,6;31,942857;26,448462;23,119231;5;
