Nome: MACAU
Codigo Estacao: 82594
Latitude: -5.15103
Longitude: -36.573131
Altitude: 17.34
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;2;8,4;32,245161;28,534194;25,283871;7,9;
2008-02-29;1;5,6;32,406897;28,787586;25,841379;7,9;
2008-03-31;20;280,3;30,774194;27,929032;25,387097;7,9;
2008-04-30;4;241,3;null;null;null;null;
2008-05-31;4;12,6;null;null;null;7,9;
2008-06-30;9;79,8;null;null;null;7,9;
2008-07-31;5;47,4;31,774194;null;null;7,9;
2008-08-31;6;43,6;32,380645;null;null;7,9;
2008-09-30;1;2;33,58;null;null;7,9;
2008-10-31;0;0;33,929032;null;null;7,9;
2008-11-30;1;2,8;33,073333;null;null;7,9;
2008-12-31;0;0;32,251613;null;null;7,9;
2009-01-31;6;74,6;31,703226;null;null;7,9;
2009-02-28;8;144,2;31,178571;null;null;5,5;
2009-03-31;21;217,7;31,173333;null;null;5,4;
2009-04-30;22;303,5;30,84;null;null;5,5;
2009-05-31;18;274,4;30,62963;null;null;5,4;
2009-06-30;6;86,3;null;null;null;null;
2009-07-31;10;40;31,274194;null;null;7,9;
2009-08-31;6;27,4;31,877419;null;null;7,9;
2009-09-30;1;1;32,3;null;null;7,9;
2009-10-31;2;2,2;31,245161;null;null;7,9;
2009-11-30;1;,2;32,213333;null;null;7,9;
2009-12-31;0;0;31,735484;null;null;7,9;
2010-01-31;2;4;32,167742;null;null;7,9;
2010-02-28;3;10,6;32,857143;null;null;7,9;
2010-03-31;2;13,2;32,641935;null;null;7,9;
2010-04-30;10;179;33,546667;null;null;7,9;
2010-05-31;2;2,6;33,503226;null;null;7,9;
2010-06-30;4;16;32,924138;null;null;7,9;
2010-07-31;5;21,6;32,693333;null;null;7,9;
2010-08-31;0;0;33,380645;null;null;7,9;
2010-09-30;0;0;33,966667;null;null;7,9;
2010-10-31;1;2,4;32,025;null;null;7,9;
2010-11-30;0;0;32,286667;null;null;7,9;
2010-12-31;6;15,2;31,974194;28,474839;25,3;7,9;
2011-01-31;10;54,7;31,245161;27,868387;25,058065;7,9;
2011-02-28;8;83,2;32,285714;28,088571;25,45;7,9;
2011-03-31;11;83,2;31,567742;27,730968;25,290323;7,9;
2011-04-30;14;165,4;31,473333;27,420667;24,82;7,9;
2011-05-31;15;239,4;31,025806;27,249032;24,851613;7,9;
2011-06-30;7;36,2;31,313333;27,104;24,113333;7,9;
2011-07-31;8;85,4;31,077419;26,605161;23,154839;7,9;
2011-08-31;2;6,8;32,625806;27,409032;23,303226;7,9;
2011-09-30;0;0;34,206667;28,036;23,133333;7,9;
2011-10-31;null;0;32,738462;28,16;24,015385;7,9;
2011-11-30;1;1,6;32,88;28,176;22,72;5,5;
2011-12-31;1;1;32,941935;27,993548;22,858065;5,5;
2012-01-31;4;12,8;32,812903;28,055484;23,624;5,5;
2012-02-29;10;136,5;33,041379;27,748966;null;5,5;
2012-03-31;4;28,2;33,070968;27,907097;null;5,5;
2012-04-30;3;3,2;34,053333;28,394;null;5,5;
2012-05-31;4;6,5;33,670968;28,049032;null;5,5;
2012-06-30;4;9,4;33,246667;27,445517;null;5,7;
2012-07-31;4;5,4;33,503226;27,482759;null;5,5;
2012-08-31;0;0;34,593548;null;null;5,5;
2012-09-30;1;,4;34,027586;27,45931;20,717241;5,5;
2012-10-31;0;0;34,406452;27,908387;21,483871;5,5;
2012-11-30;0;0;32,5;27,581333;21,573333;5,5;
2012-12-31;0;0;33,367742;28,567742;23,993548;5,5;
2013-01-31;1;1;33,322581;28,870968;24,619355;5,5;
2013-02-28;2;7;34,721429;29,495714;24,692857;5,5;
