Nome: ARAGUAINA
Codigo Estacao: 82659
Latitude: -7.103778
Longitude: -48.20133
Altitude: 231.85
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;323,2;30,732258;25,083871;21,535484;1,5;
2008-02-29;19;287,8;31,003448;25,213103;21,537931;1,6;
2008-03-31;24;397,1;30,809677;24,998065;21,616129;1,8;
2008-04-30;21;301,1;30,91;25,302;21,766667;1,4;
2008-05-31;13;173,7;31,603226;25,163871;20,706452;1,2;
2008-06-30;1;1,7;32,823333;24,106;17,78;1,8;
2008-07-31;1;,6;33,703226;24,327097;16,945161;2,8;
2008-08-31;0;0;35,567742;26,134194;18,029032;2,5;
2008-09-30;6;42,8;35,383333;26,742;19,653333;8,8;
2008-10-31;7;176,9;34,196774;26,52129;20,670968;2,2;
2008-11-30;17;205,4;31,733333;25,700667;21,79;2,2;
2008-12-31;18;174,2;31,067742;25,436129;21,835484;1,2;
2009-01-31;21;151,6;31,845161;25,657419;21,535484;1;
2009-02-28;20;227,4;31,421429;25,272143;21,503571;1,2;
2009-03-31;25;385,5;31,496774;25,590323;21,970968;1,2;
2009-04-30;23;340,3;30,276667;25,082;21,74;1;
2009-05-31;20;155,8;30,364516;24,978065;21,590323;1;
2009-06-30;2;4,2;32,5;25,184;19,456667;2,2;
2009-07-31;1;4,7;33,935484;24,985806;17,587097;2,2;
2009-08-31;3;7,1;34,690323;25,74129;17,645161;2,4;
2009-09-30;9;122,8;34,256667;26,542667;20,17;1,6;
2009-10-31;15;186,2;32,535484;26,230323;21,256667;3,6;
2009-11-30;14;191,1;32,796667;26,239333;21,366667;1,3;
2009-12-31;22;461,9;30,532258;24,912903;21,329032;2,2;
2010-01-31;22;216,8;31,045161;25,389677;21,309677;1,4;
2010-02-28;21;231,8;31,689286;25,869286;22,003571;2,2;
2010-03-31;22;150,8;32,148387;26,243871;22,196774;1,6;
2010-04-30;17;272,8;32,58;26,367333;21,853333;1,8;
2010-05-31;7;16,3;34,132258;26,83931;21,548276;1,8;
2010-06-30;7;64,7;33,263333;25,376;19,756667;2,2;
2010-07-31;1;,1;34,258065;25,077419;17,567742;4;
2010-08-31;0;0;35,493548;25,49871;16,932258;3,4;
2010-09-30;0;0;36,773333;27,324;18,923333;3,4;
2010-10-31;14;180,3;34,022581;26,758065;21,135484;2,2;
2010-11-30;15;178,2;32,8;26,557333;21,99;1,4;
2010-12-31;17;221,8;31,683871;25,862581;21,825806;2;
2011-01-31;22;280,8;31,064516;25,155484;21,451613;1,2;
2011-02-28;25;295,1;30,646429;24,678571;21,242857;1,5;
2011-03-31;20;240,1;31,283871;25,436129;21,616129;2,2;
2011-04-30;20;202,1;30,843333;25,199333;21,483333;1,2;
2011-05-31;11;93,4;31,803226;25,632903;21,064516;1,6;
2011-06-30;1;,3;33,18;25,228667;18,63;2,8;
2011-07-31;2;6,6;33,416129;24,38129;16,603226;2,4;
2011-08-31;2;3,9;35,083871;26,020645;17,280645;1,8;
2011-09-30;2;26,9;36,143333;26,788;18,303333;2,8;
2011-10-31;16;154,5;32,912903;26,117419;21,116129;2;
2011-11-30;22;379,7;30,66;25,053333;20,956667;2,2;
2011-12-31;17;110,9;30,732258;25,425161;21,187097;2,4;
2012-01-31;22;306,1;29,883333;24,552258;21,058621;2,4;
2012-02-29;26;266,3;30,089655;24,263448;20,257143;2,2;
2012-03-31;21;170,1;31,16129;25,085161;20,770968;1,6;
2012-04-30;17;42,2;31,94;25,728;20,706667;2,4;
2012-05-31;11;76,3;32,445161;25,39871;19,603226;1,6;
2012-06-30;9;28,8;32,963333;24,85;18,52;1,6;
2012-07-31;3;20,5;34,064516;24,427097;16,467742;2,6;
2012-08-31;1;6,2;35,503226;25,107097;16,270968;3,4;
2012-09-30;3;59,7;35,61;26,845333;19,85;2,2;
2012-10-31;9;142,4;32,883871;26,290968;21,551613;1,6;
2012-11-30;21;344,8;31,03;25,783333;22,483333;3,2;
2012-12-31;17;272,5;31,487097;25,712903;21,567742;1,6;
2013-01-31;23;326,4;31,070968;25,741935;22,393548;2,6;
2013-02-28;21;199,4;30,217857;25,272857;21,9;1,2;
2013-03-31;27;374,1;30,106452;25,435484;22,170968;1;
2013-04-30;20;236,9;31,316667;25,828667;22,276667;2,2;
2013-05-31;8;162,5;31,267742;25,64129;21,435484;1;
2013-06-30;null;66,1;32,163333;25,091429;20,096667;1;
2013-07-31;null;31;32,96129;24,868387;18,522581;1;
2013-08-31;null;12,8;34,43871;25,41871;17,43871;2,2;
2013-09-30;null;16,4;34,156667;26,636667;20,186667;2,4;
2013-10-31;null;106,1;33,109677;26,309032;20,774194;3,2;
2013-11-30;null;255,8;30,286667;25,13;21,386667;1;
2013-12-31;null;277,1;30,693548;25,672903;21,812903;1;
2014-01-31;null;220,5;30,296774;24,940645;20,935484;8,7;
2014-02-28;null;371,4;30,189286;24,969286;21,217857;1;
2014-03-31;null;279,6;30,051613;25,045806;21,396774;1,2;
2014-04-30;null;229,6;31,296667;25,531333;21,343333;2,2;
2014-05-31;null;94,9;31,890323;25,779355;20,809677;1,4;
2014-06-30;null;0;33,356667;25,198667;18,31;2,8;
2014-07-31;null;12,1;33,880645;25,046452;17,606452;2,4;
2014-08-31;null;14,7;35,083871;25,387742;16,625806;2,2;
2014-09-30;null;26,4;34,543333;26,339333;19,113333;2,4;
2014-10-31;null;161,5;32,516129;25,903871;19,835484;1,8;
2014-11-30;null;317,2;32,04;25,726;20,476667;1,2;
2014-12-31;null;285;30,974194;25,314839;20,616129;1,02888;
2015-01-31;null;239,6;30,706452;24,910968;19,609677;1,02888;
2015-02-28;null;266,1;30,410714;24,737143;20,222222;1,02888;
2015-03-31;null;199,2;30,819355;25,507742;21,893548;1,02888;
2015-04-30;null;90,8;31,426667;25,926667;22,53;1,02888;
2015-05-31;null;141,2;32,096774;25,685161;21,564516;1,3;
2015-06-30;null;28,8;33,268966;25,313333;19,35;1,2;
2015-07-31;null;27;33,367742;25,208387;18,9;1,4;
2015-08-31;null;4,4;34,825806;25,574839;17,822581;2,5722;
2015-09-30;null;13,4;35,67;27,539333;20,633333;1,6;
2015-10-31;null;35,2;35,222581;27,790667;21,893548;1,6;
2015-11-30;null;59,2;33,253333;27,22;22,59;1,4;
2015-12-31;null;48;32,516129;26,51871;22,116129;1,02888;
2016-01-31;null;361,5;29,570968;25,603226;22,896774;1,02888;
2016-02-29;null;124,9;33,513793;27,062143;22,328571;1,02888;
2016-03-31;null;255,5;32,058065;26,672903;23,264286;1,02888;
2016-04-30;null;107,6;31,796667;26,553333;22,903448;1,02888;
2016-05-31;null;55,7;32,641935;26,210323;21,63871;1,8;
2016-06-30;null;89,1;32,853333;25,21;19,624138;3,4;
2016-07-31;null;,3;34,764516;25,055484;17,583871;3,4;
2016-08-31;null;3,7;35,574194;26,2;18,093548;2,5722;
2016-09-30;null;102,2;34,64;26,986;20,706667;2,8;
2016-10-31;null;80,9;33,829032;26,854839;21,412903;1,4;
2016-11-30;null;291;32,206897;26,350667;21,883333;2,2;
2016-12-31;null;98,1;31,619355;25,902581;22,12;1,2;
2017-01-31;null;292,6;30,709677;25,27871;21,409677;1,2;
2017-02-28;null;344,9;30,635714;25,244286;21,735714;1,02888;
2017-03-31;null;251,8;31,025806;25,635484;22,003226;1,2;
2017-04-30;null;207,9;31,453333;25,996;22,246429;1,4;
2017-05-31;null;13,4;33,390323;26,499355;21,406452;1,4;
2017-06-30;null;69,8;33,116667;25,180667;20,096429;1,2;
2017-07-31;null;0;33,254839;24,462581;17,69;2,6;
2017-08-31;null;6;35,913333;26,548387;18,922581;3;
2017-09-30;null;0;36,9;27,526667;19,58;8,3;
2017-10-31;null;201;35,1;27,557333;21,832258;1,6;
2017-11-30;null;157,2;32,133333;26,289333;22,49;1,2;
2017-12-31;null;255,9;30,606452;25,422581;22,280645;1,2;
2018-01-31;null;256,4;30,66129;25,153548;21,716129;1,54332;
2018-02-28;null;344,9;30,264286;25,265;22,353571;1,54332;
2018-03-31;null;315,4;30,729032;25,59;22,553333;1,02888;
2018-04-30;null;124,2;31,966667;25,758667;21,963333;1,02888;
2018-05-31;null;33,4;32,85;25,69;20,570968;1,54332;
2018-06-30;null;0;33,49;24,856667;18,003333;1,54332;
2018-07-31;null;0;34,316129;24,946667;17,383333;2,5722;
2018-08-31;null;12,2;34,970968;26,292903;19,896774;1,02888;
2018-09-30;null;55,8;34,65;27,075333;21,34;1,54332;
2018-10-31;null;81,2;33,474194;27,066452;21,974194;1,54332;
2018-11-30;null;219,3;31,59;26,18;22,35;1,02888;
2018-12-31;null;166,8;31,780645;25,906452;22,051613;1,54332;
2019-01-31;null;183,4;31,306452;25,570968;21,970968;1,02888;
2019-02-28;null;349,5;31,364286;25,645714;22,142857;1,02888;
2019-03-31;null;300,1;30,9;25,765161;22,677419;1,54332;
2019-04-30;null;220,7;31,653333;26,132667;22,566667;1,02888;
2019-05-31;null;63,7;33,312903;26,354839;21,541935;1,02888;
2019-06-30;null;0;33,69;25,479333;19,166667;1,54332;
2019-07-31;null;36,3;33,812903;25,256774;18,735484;2,5722;
2019-08-31;null;2,7;35,03871;25,743871;17,996774;2,05776;
2019-09-30;null;18,4;35,45;27,464;20,66;1,54332;
2019-10-31;null;112,1;32,619355;26,229677;21,783871;1,54332;
2019-11-30;null;182;32,02;26,092667;21,86;1,02888;
2019-12-31;null;114,7;31,619355;26,164516;22,554839;1,54332;

