Nome: FLORIANO
Codigo Estacao: 82678
Latitude: -6.76166666
Longitude: -43.00333333
Altitude: 126.6
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;18;146,8;33,03871;27,385161;24,048387;2,6;
2008-02-29;13;178,5;32,555172;26,876552;23,4;2,1;
2008-03-31;24;219,3;30,851613;25,950968;23,016129;3,3;
2008-04-30;16;208;31,94;26,531333;23,326667;2,5;
2008-05-31;6;22,7;32,303226;26,683871;22,854839;5,3;
2008-06-30;0;0;32,81;26,250667;21,2;5,5;
2008-07-31;0;0;33,645161;27,023226;21,825806;5,1;
2008-08-31;0;0;35,748387;28,919355;23,303226;5,6;
2008-09-30;1;4,2;37,71;30,894667;25,333333;5,5;
2008-10-31;1;,7;38,351613;31,930323;26,090323;6;
2008-11-30;7;85,2;36,203333;29,740667;24,976667;2,5;
2008-12-31;15;237,5;32,845161;27,511613;23,806452;2,8;
2009-01-31;11;176,5;32,480645;27,123226;23,448387;2,5;
2009-02-28;16;104,6;31,460714;26,44;23,132143;2,5;
2009-03-31;16;205,9;32,545161;26,76129;23,290323;3;
2009-04-30;21;250,3;31,443333;26,42;23,43;3;
2009-05-31;18;247,4;30,851613;26,170323;23,119355;4,6;
2009-06-30;4;7,7;31,96;26,038;21,526667;5,5;
2009-07-31;2;3,3;33,941935;26,759355;21,258065;5,1;
2009-08-31;1;2;35,703226;28,336774;22,56129;5,3;
2009-09-30;1;,1;38,303333;30,705333;24,16;5;
2009-10-31;11;151,5;36,187097;29,654839;24,803226;3,5;
2009-11-30;8;80,9;35,53;28,976667;24,363333;3;
2009-12-31;16;173,2;32,932258;26,987742;23,212903;3,3;
2010-01-31;17;85,9;33,280645;27,133548;23,435484;3,3;
2010-02-28;12;137,1;34,128571;28,036429;24,153571;4,1;
2010-03-31;18;213;33,822581;27,652258;24,112903;3,3;
2010-04-30;13;96,2;33,526667;27,746667;23,906667;3,3;
2010-05-31;3;3;35,677419;28,679355;23,56129;5;
2010-06-30;3;45,4;34,46;28,061333;23,183333;5,1;
2010-07-31;0;0;35,441935;28,974194;23,541935;5;
2010-08-31;0;0;36,5;29,589677;24,067742;5,6;
2010-09-30;0;0;37,626667;30,962;25,426667;6,1;
2010-10-31;8;132,8;37,506452;30,789677;25,525806;4,1;
2010-11-30;6;42,5;35,756667;29,544;24,373333;3,3;
2010-12-31;13;101,5;33,43871;28,032258;23,651613;2,6;
2011-01-31;16;198,6;32,545161;26,847097;22,912903;5,2;
2011-02-28;22;277;31,2;26,090714;22,396429;2,6;
2011-03-31;24;198,2;32,548387;26,925806;22,845161;3;
2011-04-30;17;243,1;32,63;26,947333;22,863333;3,3;
2011-05-31;6;32,1;32,412903;27,007097;22,829032;4,1;
2011-06-30;1;,5;34,513333;27,686667;22,196667;4,3;
2011-07-31;2;50,9;34,145161;27,176129;21,506452;5;
2011-08-31;0;0;36,512903;28,965806;22,422581;5,8;
2011-09-30;1;1,3;37,453333;30,377333;24,1;5,3;
2011-10-31;13;184;36,306452;29,790968;24,467742;5;
2011-11-30;8;42,8;33,756667;28,116667;23,42;4,1;
2011-12-31;8;37;34,996774;28,706452;23,419355;3;
2012-01-31;17;113,1;33,316129;27,242581;22,983871;4,3;
2012-02-29;13;146,5;33,089655;26,923448;22,237931;3,6;
2012-03-31;15;200,6;33,76129;27,164516;22,66129;2;
2012-04-30;6;59,5;34,53;27,908667;22,546667;3;
2012-05-31;5;17,5;35,932258;28,576129;22,516129;4,6;
2012-06-30;5;38;36,11;28,868667;22,87;4,5;
2012-07-31;0;0;36,277419;29,696774;24,022581;5,3;
2012-08-31;0;0;36,270968;29,598065;23,816129;5;
2012-09-30;0;0;37,95;31,272;25,256667;5,3;
2012-10-31;1;,8;39,012903;32,632258;26,532258;4,3;
2012-11-30;14;74,1;35,486667;29,821333;25,266667;3;
2012-12-31;13;194,8;33,790323;28,291613;23,719355;2,6;
2013-01-31;17;355,8;32,641935;27,090323;23,187097;8,3;
2013-02-28;11;143,7;32,660714;27,424286;23,346429;2,5;
2013-03-31;13;186,8;32,951613;27,500645;23,922581;4,1;
2013-04-30;9;75,3;32,776667;27,462;23,436667;5;
2013-05-31;4;19,8;33,858065;27,8;23,187097;4,5;
2013-06-30;6;6;35,2;28,134;22,616667;4,8;
2013-07-31;null;0;35,56129;28,567742;22,390323;4,6;
2013-08-31;null;0;36,941935;30,06129;24,487097;4,8;
2013-09-30;1;1;38,316667;31,494;25,28;5;
2013-10-31;4;19,2;37,993548;31,298065;25,529032;4,6;
2013-11-30;9;78,2;35,673333;29,565333;24,206667;4,1;
2013-12-31;13;137;33,348387;28,094839;23,796774;2,5;
2014-01-31;1;135;32,880645;27,125161;22,693548;2,5;
2014-02-28;null;169,4;31,917857;26,79;22,932143;4,1;
2014-03-31;null;166,1;32,083871;26,577419;22,848387;3,3;
2014-04-30;null;83,1;32,88;27,126;22,943333;3;
2014-05-31;null;78,6;33,758065;27,591613;22,945161;4,6;
2014-06-30;null;0;35,51;28,477333;22,783333;5,3;
2014-07-31;null;0;35,66129;29,052258;22,974194;5;
2014-08-31;null;0;36,758065;29,94;24,206452;5;
2014-09-30;null;13,9;37,886667;30,964;24,9;5;
2014-10-31;null;63;37,458065;31,062581;25,529032;5,5;
2014-11-30;null;213,3;35,526667;29,257333;23,77;4,1;
2014-12-31;null;152,2;34,054839;28,389677;23,548387;5;
2015-01-31;null;94,6;33,806452;27,732258;23,154839;4,1;
2015-02-28;null;209,3;32,535714;26,932143;22,946429;2;
2015-03-31;null;242,4;31,5;26,465161;22,858065;2;
2015-04-30;null;112,4;32,576667;26,962;22,74;3;
2015-05-31;null;10;34,164516;27,64129;22,448387;4,6;
2015-06-30;null;0;35,213333;28,088667;21,54;5;
2015-07-31;null;1;35,774194;29,313548;23,36129;5,6;
2015-08-31;null;,2;36,835484;29,942581;23,248387;5;
2015-09-30;null;0;38,876667;31,652;24,64;5,3;
2015-10-31;null;3,9;39,012903;32,795484;26,929032;5;
2015-11-30;null;34,9;38,236667;31,586667;25,553333;5;
2015-12-31;null;11,8;38,616129;31,799355;25,864516;4,3;
2016-01-31;null;322,5;32,622581;27,585806;23,909677;3,3;
2016-02-29;null;45,5;34,67931;28,626207;23,572414;3,6;
2016-03-31;null;148,8;33,445161;28,249677;24,435484;3,6;
2016-04-30;null;35,5;35,02;29,052;24,18;3,5;
2016-05-31;null;70,8;36,109677;29,298065;23,422581;4,3;
2016-06-30;null;1,6;35,756667;28,886667;23,036667;5,3;
2016-07-31;null;0;36,106452;29,330968;23,270968;5;
2016-08-31;null;0;37,5;30,28129;23,258065;5,3;
2016-09-30;null;57,7;37,87;31,336667;25,11;4,1;
2016-10-31;null;10,1;38,451613;31,611613;25,148387;4,6;
2016-11-30;null;31,6;37,876667;31,464;25,366667;5,8;
2016-12-31;null;146,1;35,503226;28,96129;23,577419;4,6;
2017-01-31;null;202,8;33,46129;27,805161;23,5;3,8;
2017-02-28;null;98,4;31,807143;26,785714;23,25;2,5;
2017-03-31;null;129,1;32,470968;26,820645;23,212903;2,8;
2017-04-30;null;130,1;33,086667;27,466667;23,143333;3,3;
2017-05-31;null;55,2;34,954839;28,46129;23,254839;5;
2017-06-30;null;23,6;34,836667;28,274;22,666667;5;
2017-07-31;null;0;34,332258;28,384516;22,6;6,6;
2017-08-31;null;0;37,241935;30,520645;24,019355;5;
2017-09-30;null;0;37,253333;30,944667;25,15;6,3;
2017-10-31;null;148,4;38,873333;32,794194;27,33871;5;
2017-11-30;null;79,4;34,983333;29,294;24,876667;2,3;
2017-12-31;null;154,9;33,458065;27,965161;23,867742;5;
2018-01-31;null;110,7;32,635484;26,776129;22,548387;3,3;
2018-02-28;null;395,4;31,464286;26,347143;22,939286;3,3;
2018-03-31;null;208,9;31,932258;26,735484;23,241935;3,3;
2018-04-30;null;47,3;32,256667;26,787333;22,573333;4,1;
2018-05-31;null;33;34,025806;27,271613;21,677419;4,1;
2018-06-30;null;1,2;35,053333;27,458667;20,9;5,8;
2018-07-31;null;0;35,809677;28,530323;21,780645;5;
2018-08-31;null;,4;37,148387;29,750323;22,867742;5,4;
