Nome: TAUA
Codigo Estacao: 82683
Latitude: -6.00638888
Longitude: -40.29972221
Altitude: 401.89
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;14;81,5;32,445161;27,065806;22,729032;7;
2008-02-29;10;131,7;32,224138;26,121379;21,737931;6;
2008-03-31;26;318,5;30,164516;24,863226;21,5;5;
2008-04-30;20;191,3;30;24,972;21,383333;6;
2008-05-31;11;59,9;29,767742;24,631613;20,712903;6;
2008-06-30;1;1;30,796667;24,600667;18,94;7;
2008-07-31;1;1,3;31,283871;25,349677;19,777419;7;
2008-08-31;2;8,3;32,764516;26,50129;20,216129;7;
2008-09-30;0;0;34,553333;28,234667;21,876667;7;
2008-10-31;0;0;35,132258;29,00129;23,154839;7;
2008-11-30;1;,3;35,57;29,435333;23,393333;6;
2008-12-31;2;1,3;34,841935;29,144516;23,890323;6;
2009-01-31;12;128,8;33,541935;27,829032;23,258065;6;
2009-02-28;5;8,8;32,457143;26,957857;22,910714;7;
2009-03-31;18;91,4;31,954839;26,309677;22,46129;6;
2009-04-30;27;244,3;29,636667;24,984667;22,173333;4;
2009-05-31;21;104,6;29,416129;25,072903;22,06129;5;
2009-06-30;6;9,2;30,19;24,711333;20,073333;6;
2009-07-31;9;56,1;31,125806;24,873548;19,306452;7;
2009-08-31;2;10,8;32,03871;25,834839;20,648387;7;
2009-09-30;0;0;34,03;27,506;22,313333;6;
2009-10-31;1;,1;34,690323;28,404516;22,819355;6;
2009-11-30;1;,8;35,456667;29,192667;23,36;7;
2009-12-31;3;35,5;34,145161;28,792903;23,967742;7;
2010-01-31;9;151,5;31,970968;26,827742;22,619355;5;
2010-02-28;5;27,8;33,696429;28,335;24,078571;6;
2010-03-31;7;50,5;35,222581;28,949677;23,848387;6;
2010-04-30;10;60,2;32,276667;26,968667;22,753333;6;
2010-05-31;6;8,1;34,064516;27,689677;22,290323;5;
2010-06-30;5;92,6;32,31;26,434;21,203333;7;
2010-07-31;0;0;33,245161;27,114194;21,109677;7;
2010-08-31;null;null;null;null;null;null;
2010-09-30;0;0;34,736667;28,471333;22,81;7;
2010-10-31;4;38;35,13871;28,898065;23,545161;7;
2010-11-30;2;1;35,136667;29,038667;23,84;7;
2010-12-31;12;97,4;32,219355;26,945806;22,622581;6;
2011-01-31;14;160,9;31,635484;25,963226;21,883871;4;
2011-02-28;12;180,3;30,464286;25,54;21,725;6;
2011-03-31;17;94,3;31,16129;25,693548;21,612903;3;
2011-04-30;17;129,8;31,01;25,697333;21,66;6;
2011-05-31;11;108,3;29,983871;25,130323;21,190323;7;
2011-06-30;2;47,5;30,953333;25,052;19,77;7;
2011-07-31;3;29,6;31,167742;24,978065;19,558065;7;
2011-08-31;7;32,2;32,816129;26,276774;20,245161;7;
2011-09-30;1;,4;34,23;27,644;21,376667;7;
2011-10-31;4;35,7;34,441935;27,936129;22,374194;6;
2011-11-30;4;18,3;33,06;27,092667;22,143333;6;
2011-12-31;0;0;34,754839;28,357419;22,722581;7;
2012-01-31;6;79;33,358065;27,582581;22,377419;5;
2012-02-29;9;180,6;31,7;26,277241;21,506897;6;
2012-03-31;5;36,6;32,025806;26,526452;21,574194;5;
2012-04-30;6;13,3;33,6;26,93;21,3;7;
2012-05-31;2;5;33,854839;27,452903;21,745161;7;
2012-06-30;5;23,3;33,176667;26,923333;20,956667;7;
2012-07-31;null;null;null;null;null;null;
2012-08-31;0;0;33,683871;27,210323;20,309677;7;
2012-09-30;1;6,2;34,673333;28,117333;21,08;10,1;
2012-10-31;0;0;35,312903;28,907097;22,022581;7;
2012-11-30;1;,2;34,903333;28,844667;22,036667;7;
2012-12-31;0;0;34,793548;28,952258;22,53871;6;
2013-01-31;7;8,6;34,164516;28,559355;22,625806;8;
2013-02-28;7;65,2;34,307143;28,869286;22,614286;7;
2013-03-31;6;26,8;34,296774;28,711613;22,470968;6;
2013-04-30;14;89,2;32,433333;26,945333;21,326667;4;
2013-05-31;7;58,9;31,529032;26,253548;21,264516;6;
2013-06-30;8;36,7;31,52;26,003333;21,353333;5;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;0;34,003226;27,810323;21,725806;8;
2013-09-30;null;0;35,123333;28,728667;22,233333;7;
2013-10-31;1;22;35,009677;28,780645;22,416129;7;
2013-11-30;1;14,4;33,473333;28,074;22,206667;7;
2013-12-31;4;55,6;33,7;28,029677;22,312903;7;
2014-01-31;null;64,7;32,390323;26,903871;21,674194;6;
2014-02-28;null;73,3;31,214286;26,162143;21,621429;4;
2014-03-31;null;36,8;32,477419;26,947097;21,993548;4;
2014-04-30;null;73,3;30,704545;25,739091;21,790909;3;
2014-05-31;null;20,9;null;null;null;null;
2014-06-30;null;10,7;32,46;26,560667;20,68;7;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;0;33,545833;27,210833;20,545833;7;
2014-09-30;null;null;null;null;null;null;
2014-10-31;null;13,8;34,177419;28,274839;21,929032;7;
2014-11-30;null;83,9;33,96;27,914667;21,94;7;
2014-12-31;null;0;33,783871;28,452258;22,680645;5;
2015-01-31;null;15,6;33,977419;28,104516;22,129032;7;
2015-02-28;null;45,3;33,010714;27,460714;21,989286;5;
2015-03-31;null;158,1;31,319355;25,990968;21,119355;4;
2015-04-30;null;32,4;32,306667;26,356;21,213333;5;
2015-05-31;null;55,9;32,596774;26,808387;21,448387;6;
2015-06-30;null;49,3;31,72;25,926;20,973333;6;
2015-07-31;null;3,3;32,245161;26,585806;21,212903;7;
2015-08-31;null;,1;33,782143;27,263571;20,917241;7;
2015-09-30;null;0;35,03;28,568667;22,06;6;
2015-10-31;null;1,2;35,654839;29,338065;22,351613;7;
2015-11-30;null;0;35,846667;29,616;22,473333;6;
2015-12-31;null;8,6;35,387097;29,32;22,706452;8;
2016-01-31;null;273,6;31,33871;26,636774;21,509677;5;
2016-02-29;null;26,2;33,303448;27,426207;21,024138;5;
2016-03-31;null;90,9;32,848387;27,308387;21,709677;6;
2016-04-30;null;43;32,193333;26,81;21,053333;5;
2016-05-31;null;34,8;32,629032;26,73871;20,574194;5;
2016-06-30;null;,4;33,453333;26,825333;19,993333;7;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;0;34,432258;27,816774;20,319355;7;
2016-09-30;null;0;35,203333;28,736;21,503333;6;
2016-10-31;null;0;35,596774;29,290968;21,954839;7;
2016-11-30;null;0;35,466667;29,517333;22,173333;8;
2016-12-31;null;33,6;33,722581;28,290968;22,196774;6;
2017-01-31;null;42,2;33,76129;28,050323;22,248387;6;
2017-02-28;null;78,3;32,260714;26,985;21,682143;4;
2017-03-31;null;178,8;30,019355;25,238065;20,687097;4;
2017-04-30;null;31,2;32,033333;26,226667;20,59;6;
2017-05-31;null;19;32,719355;26,863871;21,245161;7;
2017-06-30;null;19;32,22;26,43;20,713333;7;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;0;34,483871;27,949677;21,277419;7;
2017-09-30;null;0;34,523333;28,388;22,07;7;
2017-10-31;null;4;35,509677;29,327097;22,680645;7;
2017-11-30;null;0;35,05;29,068667;22,64;7;
2017-12-31;null;51,1;34,483871;28,764516;22,819355;6;
2018-01-31;null;11,1;33,712903;27,963871;22,5;8;
2018-02-28;null;227,7;31,460714;26,322143;21,746429;6;
2018-03-31;null;18,9;null;null;null;null;
2018-04-30;null;110,3;29,623333;24,748;20,056667;6;
2018-05-31;null;7,3;31,635484;25,619355;19,093548;6;
2018-06-30;null;2,8;32,463333;26,014;19,206667;7;
2018-07-31;null;3,4;32,941935;26,590323;19,358065;7;
2018-08-31;null;1,7;34,229032;27,485806;20,580645;6;
2018-09-30;null;0;35,153333;28,711333;21,86;7;
2018-10-31;null;10,7;35,216129;28,921935;22,016129;7;
2018-11-30;null;18;35,043333;29,093333;22,416667;6;
2018-12-31;null;124,1;31,835484;26,222667;20,364516;6;
2019-01-31;null;58,9;32,477419;26,636774;20,880645;6;
2019-02-28;null;32,7;32,867857;26,792143;21,175;5;
2019-03-31;null;163,7;32,303226;26,42;21,048387;5,1444;
2019-04-30;null;140,8;31,003333;25,655714;20,763333;3,08664;
2019-05-31;null;23,2;32,164516;26,12;20,080645;7,20216;
2019-06-30;null;0;null;null;null;null;
2019-07-31;null;3,8;32,542308;26,4216;19,837037;6,17328;
2019-08-31;null;3;33,525806;27,083871;19,980645;7,20216;
2019-09-30;null;,5;35,266667;28,46;20,89;7,20216;
2019-10-31;null;1,5;35,787097;28,997419;21,403226;8,23104;
2019-11-30;null;7,7;36,093333;29,546667;22,006667;5,1444;
2019-12-31;null;8,2;35,706667;29,38;22,058065;5,1444;

