Nome: IGUATU
Codigo Estacao: 82686
Latitude: -6.39638888
Longitude: -39.26888888
Altitude: 221.58
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;17;114;33,709677;27,7;22,835484;8,1;
2008-02-29;15;260,5;31,548276;26,215172;21,996552;4,6;
2008-03-31;24;389,4;31,016129;25,589032;21,496774;5,3;
2008-04-30;17;248,6;30,606667;25,586;21,983333;7,1;
2008-05-31;12;123,9;30,125806;25,183226;21,093548;6,3;
2008-06-30;2;,9;30,403333;24,566667;19,37;7,1;
2008-07-31;3;12,8;30,929032;25;19,593548;8,5;
2008-08-31;2;20,2;33,174194;26,753548;21,206452;7,8;
2008-09-30;0;0;35,123333;28,41;22,173333;7,6;
2008-10-31;1;,3;35,919355;29,365806;23,4;7,8;
2008-11-30;0;0;36,196667;29,783333;23,366667;8,3;
2008-12-31;4;7,2;35,670968;29,677419;24,296774;5,5;
2009-01-31;14;193;34,141935;28,116129;22,974194;7,8;
2009-02-28;17;197,8;30,946429;26,148571;22,367857;7,1;
2009-03-31;14;137,7;31,56129;26,445161;22,709677;5,1;
2009-04-30;24;474;30,316667;25,456;21,816667;3,3;
2009-05-31;14;125,4;30,06129;25,500645;22,022581;6,1;
2009-06-30;7;15,9;30,4;25,244;20,66;6,3;
2009-07-31;7;36,5;31,364516;25,172258;20,041935;6;
2009-08-31;6;91,4;32,609677;25,985161;20,335484;7;
2009-09-30;3;12,7;34,02;27,28;21,686667;6,8;
2009-10-31;1;,3;35,090323;28,362581;22,509677;8,1;
2009-11-30;0;0;36,05;29,478;23,386667;8;
2009-12-31;4;8,5;35,267742;29,362581;23,867742;8,1;
2010-01-31;16;119,6;33,103226;27,425161;23,009677;8;
2010-02-28;8;105,4;33,596429;28,055714;23,310714;5,3;
2010-03-31;13;185,2;35,135484;28,863871;23,770968;6,5;
2010-04-30;14;224,3;32,053333;27,116;23,513333;5,3;
2010-05-31;8;48,8;32,835484;26,923226;22,76129;5;
2010-06-30;6;36,6;32,566667;26,071333;20,87;8,3;
2010-07-31;1;,2;33,580645;27,039355;20,816129;8;
2010-08-31;2;3,5;34,332258;27,672903;21,483871;8,8;
2010-09-30;1;,2;35,51;28,772667;23,02;7,6;
2010-10-31;4;63,9;35,364516;29,133548;23,974194;7;
2010-11-30;2;1,7;35,446667;29,054667;24,026667;7;
2010-12-31;10;64,7;33,06129;27,656774;23,454839;6,8;
2011-01-31;15;238,8;32,283871;26,836774;22,964516;6,5;
2011-02-28;17;336,3;30,478571;25,895714;22,471429;7;
2011-03-31;17;91,6;31,564516;26,483871;23,003226;4,6;
2011-04-30;22;494,6;31,426667;26,124667;22,47;5,1;
2011-05-31;15;213,5;30,119355;25,541935;22,016129;6,3;
2011-06-30;5;8,5;31,79;25,751333;21,333333;7,6;
2011-07-31;6;87,1;31,541935;25,50129;20,622581;8;
2011-08-31;5;26,1;34,009677;26,868387;21,254839;7,1;
