Nome: SAO GONCALO
Codigo Estacao: 82689
Latitude: -6.83583333
Longitude: -38.31166666
Altitude: 237.04
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;11;248,9;34,354839;27,347097;21,864516;4,3;
2008-02-29;12;131,5;32,124138;26,266207;21,331034;4,3;
2008-03-31;27;657,9;31,264516;25,451613;20,954839;3;
2008-04-30;21;384;30,765517;25,270667;21,303448;3,3;
2008-05-31;16;341,7;30,258065;24,823226;20,251613;4;
2008-06-30;5;24,8;29,886667;23,873333;17,72;4,1;
2008-07-31;4;19,8;30,203226;24,243226;17,909677;4,3;
2008-08-31;2;5,5;32,645161;25,885806;19,174194;7,3;
2008-09-30;null;null;null;null;null;null;
2008-10-31;1;5,6;35,456667;27,895333;20,503226;5,8;
2008-11-30;0;0;35,856667;27,626;20,706667;5;
2008-12-31;3;31,7;35,122581;27,340645;21,283871;4,6;
2009-01-31;10;156,8;34,406452;26,922581;21,496774;5,8;
2009-02-28;12;200,1;32,278571;25,967143;21,528571;4,1;
2009-03-31;14;203,2;32,251613;26,176774;21,683871;4,1;
2009-04-30;23;348,2;31,626667;25,801333;21,766667;3,3;
2009-05-31;21;310,1;30,377419;25,369677;21,819355;4,6;
2009-06-30;9;27,4;30,213793;24,689333;19,413793;3,6;
2009-07-31;7;38,9;30,987097;24,526452;18,517241;4,62996;
2009-08-31;7;29,7;31,977419;25,270968;18,354839;5,3;
2009-09-30;1;3,2;null;null;null;null;
2009-10-31;2;16;34,870968;26,918065;20,983871;5,8;
2009-11-30;0;0;35,27;27,407333;20,62;5;
2009-12-31;6;77,4;34,535484;27,585806;21,458065;9,5;
2010-01-31;8;118,9;32,603226;26,442581;21,6;9,8;
2010-02-28;6;50,7;33,007143;26,806429;21,542857;5;
2010-03-31;null;0;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;1;2,7;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;10;123,3;33,296774;26,093548;19,448387;3,8;
2011-01-31;16;341,6;32,777419;25,752258;19,235484;3,8;
2011-02-28;18;404,2;31,657143;25,228571;19,303571;4,8;
2011-03-31;14;126,4;32,387097;25,507742;19,016129;3,3;
2011-04-30;19;168,2;32,623333;25,704;19,083333;4,3;
2011-05-31;15;73,3;30,903226;25,017419;18,529032;9,5;
2011-06-30;4;51,1;31,753333;25,232667;18,393333;3,8;
2011-07-31;7;23,1;30,932258;24,954839;18,403226;5;
2011-08-31;3;3,7;33,36129;25,646452;16,135484;4,6;
2011-09-30;0;0;34,663333;27,101333;18,183333;5;
2011-10-31;7;124,4;34,3;27,104516;21,567742;4,8;
2011-11-30;5;15,1;33,903333;26,904;21,763333;4,6;
2011-12-31;5;15,7;35,151613;27,275484;21,941935;4,1;
2012-01-31;10;124,5;33,890323;27,1;22,109677;5;
2012-02-29;9;217,8;33,306897;26,495862;21,72069;5,3;
2012-03-31;11;27;33,490323;26,716129;22,066667;3,60108;
2012-04-30;9;130,7;33,906667;26,996;22,376667;13,3;
2012-05-31;6;11;34,03871;26,983871;21,819355;4,5;
2012-06-30;5;25,9;32,896667;26,305333;21,053333;4,3;
2012-07-31;2;6,2;32,741935;26,263871;20,280645;4,8;
2012-08-31;0;0;33,574194;27,007742;20,348387;4,8;
2012-09-30;0;0;34,726667;27,072;20,41;4,8;
2012-10-31;0;0;35,541935;27,907742;22,012903;5,3;
2012-11-30;1;,2;35,856667;27,892;22,193333;4,6;
2012-12-31;1;1;35,751613;27,981935;23,390323;3,5;
2013-01-31;6;55,4;34,941935;27,934194;23,319355;4,8;
2013-02-28;6;77,8;35,646429;27,927143;22,821429;4,3;
2013-03-31;12;164,6;34,996774;28,026452;23,287097;4;
2013-04-30;15;115,3;33,24;27,192;23,243333;7,8;
2013-05-31;9;106,3;32,432258;26,465806;22,080645;4;
2013-06-30;10;50,8;31,873333;25,612667;21,18;8,1;
2013-07-31;5;16,3;32,009677;25,596129;20,112903;4,5;
2013-08-31;3;8,6;33,858065;27,154194;21,241935;5;
2013-09-30;1;1,7;35,253333;27,61;21,096667;4,8;
2013-10-31;3;40,8;35,848387;27,757419;22,480645;5,3;
2013-11-30;3;8,8;34,356667;27,030667;21,996667;9;
2013-12-31;4;85,2;34,848387;27,337419;22,345161;4,8;
2014-01-31;1;64,3;34,764516;27,615484;22,448387;5,5;
2014-02-28;null;142,1;33,382143;27,135;22,739286;4,8;
2014-03-31;null;191,4;32,664516;26,403226;22,470968;6;
2014-04-30;null;192,2;31,85;26,286;22,766667;3,3;
2014-05-31;null;69,9;32,206452;25,983226;21,63871;3,3;
2014-06-30;null;17;32,476667;25,576667;20,12;4,3;
2014-07-31;null;28,6;32,493548;25,607097;19,680645;4,3;
2014-08-31;null;,3;34,370968;26,874194;20,041935;4,6;
2014-09-30;null;0;35,523333;27,586;21,523333;4,3;
2014-10-31;null;83,2;35,219355;28,03871;22,367742;4,6;
2014-11-30;null;8,2;35,353333;27,878;22,61;9,5;
2014-12-31;null;24;35,580645;28,26;22,909677;4,6;
2015-01-31;null;55,5;35,603226;27,66129;22,496774;4,6;
2015-02-28;null;160,7;33,882143;27,018571;22,407143;4,1;
2015-03-31;null;396,5;33,422581;26,579355;22,367742;4,1;
2015-04-30;null;36,3;33,303333;26,345333;22,4;9,5;
2015-05-31;null;8,4;35,016129;27,225161;21,987097;4,3;
2015-06-30;null;45;33,293333;26,632;21,273333;4,3;
2015-07-31;null;59,3;32,696774;26,362581;21,112903;4,8;
2015-08-31;null;4,9;34,574194;26,690968;19,851613;4,6;
2015-09-30;null;0;36,26;27,528667;21,176667;5,5;
2015-10-31;null;5,6;36,893548;28,81871;22,274194;5,3;
2015-11-30;null;0;37,516667;29,305333;22,633333;5,1;
2015-12-31;null;9,8;36,954839;29,592903;23,851613;5,8;
2016-01-31;null;184,1;32,93871;27,502581;23,658065;4,3;
2016-02-29;null;30,7;34,272414;27,536552;22,617241;4,6;
2016-03-31;null;308,4;34,419355;28,234839;23,787097;5;
2016-04-30;null;115,1;32,736667;26,862667;22,49;4;
