Nome: SERIDO (CAICO)
Codigo Estacao: 82690
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;7;69,5;36,358065;29,412258;24,190323;7;
2008-02-29;11;78,6;36,448276;29,166207;23,513793;7;
2008-03-31;19;338,5;33,893548;27,347097;22,848387;4,3;
2008-04-30;20;270;32,276667;26,52;22,726667;5,8;
2008-05-31;12;94,6;31,751613;26,224516;22,164516;5,3;
2008-06-30;3;41,7;31,44;25,928667;21,113333;7;
2008-07-31;3;10,2;32,025806;26,080645;20,883871;7,1;
2008-08-31;2;,5;33,709677;27,185806;21,5;8;
2008-09-30;0;0;35,12;28,226667;21,913333;7,8;
2008-10-31;0;0;36,674194;29,14;23,029032;9;
2008-11-30;0;0;37,27;29,812;23,546667;7,6;
2008-12-31;0;0;37,619355;30,224516;24,103226;8,1;
2009-01-31;6;23,6;36,987097;29,589677;24,045161;6,5;
2009-02-28;15;204,5;34,067857;27,568571;23,175;7,3;
2009-03-31;16;185,2;33,722581;27,243871;22,780645;5,8;
2009-04-30;26;322,3;32,903333;26,72;23,136667;5;
2009-05-31;25;169;31,741935;26,390323;23,119355;4,8;
2009-06-30;7;39,6;31,68;25,977333;21,586667;6;
2009-07-31;8;19,5;32,603226;26,197419;21,187097;7,6;
2009-08-31;7;24,5;33,667742;26,82;20,845161;8,1;
2009-09-30;0;0;35,65;28,296667;22,06;8,6;
2009-10-31;1;7,6;36,967742;29,157419;22,93871;7,8;
2009-11-30;0;0;36,91;29,586667;23,5;9,3;
2009-12-31;6;50,5;36,654839;29,419355;23,9;6,5;
2010-01-31;11;107,9;33,880645;27,952903;23,303226;6,1;
2010-02-28;7;51,3;35,292857;29,019286;23,853571;9;
2010-03-31;11;108,7;36,845161;29,372903;24,145161;6,1;
2010-04-30;18;175,1;34,306667;28,072;23,503333;4,6;
2010-05-31;6;46,2;35,212903;28,890968;23,46129;6,3;
2010-06-30;7;56,4;32,576667;26,818;22,146667;6,3;
2010-07-31;2;3,7;32,790323;26,889032;21,409677;7,5;
2010-08-31;0;0;33,753333;27,199355;21,463333;7,8;
2010-09-30;1;6,2;35,11;27,973333;21,763333;9,5;
2010-10-31;3;93,2;36,490323;29,294839;23,380645;8,1;
2010-11-30;0;0;36,755172;29,605517;23,566667;7,20216;
2010-12-31;8;52;35,367742;28,8;23,625806;8;
2011-01-31;12;98,6;34,264516;28,199355;23,474194;5;
2011-02-28;13;203,1;33,810714;27,561429;23,107143;6,5;
2011-03-31;19;114,2;33,183871;27,169032;22,780645;4,8;
2011-04-30;18;269,6;33,333333;26,951333;22,636667;4,1;
2011-05-31;15;222;31,158065;26,231613;22,33871;7,4;
2011-06-30;5;14,9;32,563333;26,53;21,833333;4,6;
2011-07-31;7;37,3;31,296774;25,71871;21,083871;6,3;
2011-08-31;3;,6;33,283871;26,671613;20,751613;5,5;
2011-09-30;0;0;34,613333;27,830667;21,69;6,8;
2011-10-31;2;3,3;36,441935;29,141935;23,477419;5,6;
2011-11-30;2;,3;36,737931;29,544667;23,72069;6;
2011-12-31;1;1,9;37,190323;29,81871;23,616129;6,3;
2012-01-31;8;65,2;36,1;29,218065;23,896774;7,5;
2012-02-29;9;69,3;35,110345;28,537241;23,351724;6;
2012-03-31;10;18,5;36,383871;29,194194;23,809677;5,3;
2012-04-30;2;,8;37,29;30,26;24,436667;4,6;
2012-05-31;2;1,5;35,9;29,225161;23,854839;6,5;
2012-06-30;5;44,3;34,063333;27,886;22,946667;5,5;
2012-07-31;0;0;32,9;27,017419;21,932258;5,6;
2012-08-31;0;0;34,264516;27,347742;21,251613;6,3;
2012-09-30;0;0;35,553333;28,292;21,803333;6;
2012-10-31;0;0;36,558065;29,020645;23,070968;6;
2012-11-30;1;,6;37,353333;29,706667;23,646667;6,8;
2012-12-31;0;0;37,325806;30,2;24,464516;6,3;
2013-01-31;4;24,3;37,283871;30,22129;24,777419;7,8;
2013-02-28;3;6,8;37,560714;30,435;24,889286;5,3;
2013-03-31;1;95,2;37,23871;30,290323;24,906452;5,8;
