Nome: CRUZEIRO DO SUL
Codigo Estacao: 82704
Latitude: -7.610736
Longitude: -72.681324
Altitude: 214.19
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;283,1;30,548387;25,543226;22,487097;4;
2008-02-29;17;262,1;30,641379;25,422759;22,410345;3;
2008-03-31;24;412,9;30,23871;24,97871;21,996774;6;
2008-04-30;13;312,6;30,46;25,311333;22,076667;5;
2008-05-31;13;163,8;30,158065;24,587097;21,032258;5;
2008-06-30;9;106,1;29,183333;23,699333;19,736667;3;
2008-07-31;8;66,1;32,280645;25,315484;20,6;3;
2008-08-31;8;60;33,426667;26,293793;21,52069;7;
2008-09-30;9;118,5;33,29;25,874667;21;5;
2008-10-31;15;225,3;32,33871;25,916129;22,183871;3;
2008-11-30;18;271,7;31,846667;25,985333;22,7;3;
2008-12-31;18;224,6;31,506452;25,793548;22,458065;3;
2009-01-31;22;272,3;30,670968;25,390323;22,283871;7;
2009-02-28;19;165,5;30,646429;25,416429;22,239286;6;
2009-03-31;24;403,8;30,46129;25,106452;22,103226;3;
2009-04-30;25;238,3;30,213333;25,259333;22,526667;4;
2009-05-31;21;262,7;31,274194;25,666452;22,554839;4;
2009-06-30;12;177,2;30,544828;24,752414;20,72069;4;
2009-07-31;12;108,5;31,996774;25,272258;20,112903;4;
2009-08-31;12;100,6;32,343333;25,4;20,32;9;
2009-09-30;12;228,4;33,16;26,352;21,76;4;
2009-10-31;16;123,2;33,245161;26,656129;22,709677;4;
2009-11-30;15;79,8;33,465517;27,145517;23,55;5;
2009-12-31;20;227,5;31,509677;26,18;23,154839;4;
2010-01-31;15;205,3;32,232258;26,609677;23,325806;7;
2010-02-28;18;170,1;31,996429;26,556429;23,328571;4;
2010-03-31;22;134,2;32,490323;26,690323;23,606452;7;
2010-04-30;16;233,6;32,82;26,885333;23,273333;5;
2010-05-31;13;105,5;31,506452;25,760645;22,051613;5;
2010-06-30;8;38;31,86;25,720667;21,28;5;
2010-07-31;11;37,7;30,803226;24,302581;19,322581;5;
2010-08-31;3;82,2;34,116129;26,005806;20;5;
2010-09-30;7;64,9;34,436667;26,964667;21,986667;3;
2010-10-31;16;169,4;32,896774;26,077419;21,551613;7;
2010-11-30;17;206,4;31,903333;25,782667;21,926667;3;
2010-12-31;22;296,4;31,532258;25,456774;21,83871;3;
2011-01-31;16;149,3;31,7;25,789032;22,5;3;
2011-02-28;21;204,1;30,622222;25,271852;21,981481;3;
2011-03-31;22;247,4;30,416129;24,979355;22,180645;7;
