Nome: PICOS
Codigo Estacao: 82780
Latitude: -7.08083332
Longitude: -41.43499999
Altitude: 210.07
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;15;88,9;34,454839;28,605806;24,145161;5,5;
2008-02-29;8;75;33,662069;27,337931;22,503448;5,1;
2008-03-31;24;287,8;30,993548;25,520645;22,254839;3,6;
2008-04-30;14;138,4;31,77;26,215333;22,4;5;
2008-05-31;8;14,2;31,987097;26,207097;21,53871;5;
2008-06-30;0;0;32,833333;25,882;19,143333;5,6;
2008-07-31;0;0;32,780645;26,183226;19,46129;6,6;
2008-08-31;1;1,1;34,758065;28,016774;20,987097;5,6;
2008-09-30;1;2,4;36,723333;29,948;23,043333;4,6;
2008-10-31;2;,9;37,593548;31,163226;24,822581;5,8;
2008-11-30;3;2,9;38,19;31,838;25,843333;4,1;
2008-12-31;9;141,8;35,367742;29,243871;24,158065;4,6;
2009-01-31;12;86,1;34,693548;28,287742;23,203226;3,8;
2009-02-28;17;157,4;32,257143;26,269286;22,364286;3,3;
2009-03-31;15;156,1;32,577419;26,52129;22,409677;5,5;
2009-04-30;19;233,8;30,873333;25,814;22,633333;3,3;
2009-05-31;10;51,8;30,935484;25,977419;22,335484;4,1;
2009-06-30;2;26,7;32,193333;25,701333;20,22;5,3;
2009-07-31;1;5,6;33,048387;26,392258;19,567742;4,5;
2009-08-31;1;,5;34,867742;28,182581;21,348387;5,5;
2009-09-30;1;,7;37,42;30,228667;23,056667;5,2;
2009-10-31;3;1,8;37,116129;30,559355;24,525806;5,6;
2009-11-30;3;4,5;37,676667;31,279333;25,15;4,3;
2009-12-31;9;112,8;35,145161;28,888387;23,906452;4,1;
2010-01-31;11;79,3;33,46129;27,52;22,648387;4;
2010-02-28;7;130,1;35,310714;29,045;23,714286;7,7;
2010-03-31;11;171,8;34,909677;28,352903;23,341935;3,9;
2010-04-30;10;153,1;32,833333;27,235333;22,973333;4;
2010-05-31;1;,8;35,2;28,136129;21,722581;4;
2010-06-30;1;14;33,323333;27,137333;21,26;5,8;
2010-07-31;0;0;34,077419;27,506452;20,641935;5;
2010-08-31;0;0;34,964516;27,976774;20,967742;5,1;
2010-09-30;0;0;36,356667;29,484;22,503333;5;
2010-10-31;7;84,5;37,509677;30,621935;24,248387;5;
2010-11-30;4;50,9;36,62;29,921333;23,673333;4,3;
2010-12-31;8;74,5;33,448387;27,789032;23,16129;5;
2011-01-31;13;46,7;33,541935;27,334194;22,403226;4,1;
2011-02-28;16;225,9;31,757143;26,081429;22,125;3,3;
2011-03-31;18;224,7;32,390323;26,246452;21,812903;3,3;
2011-04-30;9;76,9;32,613333;26,612667;22,033333;3,6;
2011-05-31;5;92,6;31,787097;26,010323;21,112903;5,8;
2011-06-30;0;0;33,57;26,722667;19,93;5,8;
2011-07-31;0;0;33,670968;27,150968;20,041935;5;
2011-08-31;2;4,2;35,516129;28,436774;21,122581;5,6;
2011-09-30;0;0;35,95;29,106667;21,81;7;
2011-10-31;2;3,8;36,680645;30,476774;24,512903;5,5;
2011-11-30;10;75,5;35,24;29,094667;23,736667;5;
2011-12-31;1;,4;36,941935;30,885806;24,487097;5;
2012-01-31;9;49,5;35,106452;28,974194;23,829032;4,5;
2012-02-29;6;75,1;33,558621;27,791724;22,737931;7,4;
2012-03-31;8;47,4;34,719355;28,339355;23,003226;3,8;
2012-04-30;6;12,7;36,45;29,250667;22,473333;4;
2012-05-31;3;7,1;36,035484;29,630968;22,932258;5,1;
2012-06-30;2;1,8;35,343333;28,886667;22,11;4,6;
2012-07-31;0;0;34,696774;28,663226;22,145161;5,3;
2012-08-31;0;0;34,532258;28,095484;21,574194;5,5;
2012-09-30;0;0;36,503333;29,892;22,896667;5,8;
2012-10-31;1;,6;37,7;31,44;24,906452;4,3;
2012-11-30;8;103,9;37,056667;30,950667;25,23;4,1;
2012-12-31;6;13,8;36,132258;30,073548;24,358065;3,6;
2013-01-31;11;73,9;34,487097;28,66129;23,941935;4,6;
2013-02-28;5;8,8;36,310714;29,965;23,857143;4,1;
2013-03-31;10;69,9;35,316129;29,530968;24,545161;5,6;
2013-04-30;8;68,5;33,526667;28,026667;23,06;5,3;
2013-05-31;4;67;34,519355;28,667097;22,825806;4;
2013-06-30;2;8,6;34,663333;28,668;22,32;3,8;
2013-07-31;1;1;34,287097;28,345806;21,93871;4,3;
2013-08-31;null;0;35,767742;29,260645;22,825806;5;
2013-09-30;null;0;37,413333;30,75;24,306667;5;
2013-10-31;3;1,3;37,570968;31,468387;25,693548;6,6;
2013-11-30;4;16,2;36,53;30,998667;25,37;4,6;
2013-12-31;null;null;null;null;null;null;
2014-01-31;1;28,4;35,419355;29,103226;23,590323;4,6;
2014-02-28;null;109,6;33,153571;27,950714;23,392857;3,6;
2014-03-31;null;99,7;33,193548;27,488387;23,448387;2,5;
2014-04-30;null;64,1;33,42;27,636667;23,183333;4,1;
