Nome: MONTEIRO
Codigo Estacao: 82792
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.41
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;3;24,8;33,209677;26,462581;20,490323;8;
2008-02-29;6;94,3;32,827586;26,162069;20,496552;7,5;
2008-03-31;21;285;30,403226;24,919355;20,680645;6;
2008-04-30;11;55,5;29,45;24,133333;20,123333;7;
2008-05-31;18;227,2;27,835484;22,92;18,906452;6,3;
2008-06-30;12;64;26,913333;21,555333;17,06;5;
2008-07-31;9;19,1;26,919355;21,097419;16,706452;5,5;
2008-08-31;8;55,6;28,541935;22,050968;16,754839;6;
2008-09-30;3;4,1;30,583333;23,452667;16,766667;5,8;
2008-10-31;0;0;32,151613;24,82;18,335484;6,3;
2008-11-30;0;0;33,273333;26,080667;19,423333;8,3;
2008-12-31;4;7,6;33,377419;26,478065;20,364516;6,6;
2009-01-31;4;130,4;33,077419;26,369677;20,551613;7;
2009-02-28;12;82,5;30,825;25,073571;20,4;6,3;
2009-03-31;9;76,8;31,66129;25,545161;20,690323;6;
2009-04-30;19;245,8;29,61;24,498;20,716667;6,3;
2009-05-31;20;336,8;28,003226;23,447742;20,148387;5;
2009-06-30;10;33,5;27,053333;22,245333;18,14;5;
2009-07-31;13;49,1;27,683871;21,96129;17,148387;5;
2009-08-31;10;66,9;28,329032;22,035484;17,022581;5,6;
2009-09-30;1;,2;31,166667;24,011333;17,806667;6,3;
2009-10-31;3;29;32,529032;25,451613;19,483871;6,8;
2009-11-30;3;5,9;32,713333;25,632;19,496667;6,6;
2009-12-31;4;16,6;32,835484;26,14;20,351613;7,3;
