Nome: CAMPINA GRANDE
Codigo Estacao: 82795
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.27
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;9;52,5;30,441935;24,58129;21,122581;6,3;
2008-02-29;3;11;31,737931;25,332414;21,682759;6,3;
2008-03-31;16;247,1;30,825806;24,985161;21,66129;5,3;
2008-04-30;15;75,9;28,203333;23,921333;21,166667;4,8;
2008-05-31;22;163,9;27,270968;23,256774;20,564516;6;
2008-06-30;21;97,8;25,626667;21,678667;18,923333;6,6;
2008-07-31;23;129,6;24,945161;20,888387;18,264516;6,5;
2008-08-31;22;87,1;25,925806;21,214194;18,354839;6,3;
2008-09-30;7;33,6;27,98;22,624;19,453333;6,6;
2008-10-31;7;10,8;29,783871;23,643871;20,183871;6,3;
2008-11-30;3;1,2;30,896667;24,353333;20,646667;6,5;
2008-12-31;5;7,8;31,245161;24,788387;21,096774;5,3;
2009-01-31;3;44,1;31,2;24,83871;21,193548;5,8;
2009-02-28;13;244,6;29;24,140714;21,375;5,8;
2009-03-31;9;44,7;29,509677;24,592258;21,845161;5,1;
2009-04-30;18;149,9;29,183333;24,423333;21,73;5,3;
2009-05-31;22;110,9;27,435484;23,617419;21,270968;5;
2009-06-30;16;137,5;26,32;22,449333;19,836667;5,6;
2009-07-31;22;150,5;25,890323;21,774194;19,46129;6,5;
2009-08-31;19;138,6;26,341935;21,794194;19,2;6;
2009-09-30;9;21,2;28,17;22,76;19,893333;6,3;
2009-10-31;2;,4;30,077419;23,664516;20,235484;5,5;
2009-11-30;8;6,2;30,5;24,068;20,73;6,8;
2009-12-31;6;19,1;31,009677;24,687742;21,445161;6,6;
