Nome: SURUBIM
Codigo Estacao: 82797
Latitude: -7.839628
Longitude: -35.801056
Altitude: 421.44
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;6;3,5;31,996774;25,394839;21,041935;5;
2008-02-29;2;1,4;33,142857;26,246897;21,864286;6,6;
2008-03-31;11;157,4;31,770968;25,722581;22,109677;6,8;
2008-04-30;20;58,4;29,513333;24,56;21,34;6,6;
2008-05-31;27;115,2;28,154839;23,431613;20,154839;7,6;
2008-06-30;29;64,6;26,523333;21,909333;18,73;7,5;
2008-07-31;26;93,2;25,977419;21,463871;18,693548;7,8;
2008-08-31;26;80,6;26,809677;21,703871;18,516129;7,8;
2008-09-30;17;19,8;29,54;23,068667;18,866667;7,8;
2008-10-31;9;7;31,33871;24,262581;19,867742;8,3;
2008-11-30;2;,4;32,393333;25,129333;20,636667;6,6;
2008-12-31;2;1,9;32,912903;25,74;20,951613;6;
2009-01-31;2;9;33,36129;25,985806;21,280645;5;
2009-02-28;12;136,9;30,622222;25,052857;21,685714;6,3;
2009-03-31;9;44,7;30,83871;25,24;21,793548;6,6;
2009-04-30;12;36,6;31,193333;25,566;21,846667;7;
2009-05-31;12;95,3;29,383871;24,574194;21,512903;5;
2009-06-30;16;69,2;27,366667;22,944;19,923333;6,6;
2009-07-31;12;52,9;27,077419;22,357419;19,258065;6,1;
2009-08-31;17;49,7;27,380645;22,236774;18,903226;9;
2009-09-30;10;15,8;29,256667;23,359333;19,54;6,6;
2009-10-31;1;,3;31,641935;24,588387;19,76129;7,3;
2009-11-30;7;16,4;31,736667;24,945333;20,706667;7;
2009-12-31;6;12,6;32,477419;25,746452;21,683871;6,6;
2010-01-31;13;111,8;30,667742;25,093548;21,548387;3,3;
2010-02-28;7;43,5;31,878571;25,935;22,310714;6,1;
2010-03-31;7;25;33,622581;26,834839;22,503226;7;
2010-04-30;16;92,8;31,12;25,813333;22,156667;5,5;
2010-05-31;13;39;30,896774;25,070968;20,783871;7;
2010-06-30;16;249;27,923333;23,495333;20,626667;7;
2010-07-31;20;38,9;26,677419;22,112903;19,090323;6,6;
2010-08-31;26;51;26,329032;21,544516;18,093548;7;
2010-09-30;11;25,7;28,496667;22,498667;18,75;7,8;
2010-10-31;6;7,7;31,48;24,750667;20,65;9,1;
2010-11-30;3;2,9;32,436667;25,216667;20,836667;8,1;
2010-12-31;6;45,7;31,43871;25,289032;21,509677;6,6;
2011-01-31;14;70,3;30,93871;25,120645;21,419355;5;
2011-02-28;5;35,4;31,742857;25,615714;22,028571;6,3;
2011-03-31;6;71,2;31,741935;25,760645;21,903226;5,8;
2011-04-30;18;174,3;29,683333;24,886;21,736667;8,3;
2011-05-31;16;184,3;27,287097;23,483226;20,958065;6,3;
2011-06-30;16;97,3;26,966667;22,63;19,76;6,6;
2011-07-31;25;120,1;25,377419;21,512903;18,9;8,5;
2011-08-31;14;62,6;26,490323;21,703871;18,493548;6;
2011-09-30;7;13,9;28,083333;22,058667;17,843333;6,6;
2011-10-31;7;11;29,867742;23,80129;19,812903;7;
2011-11-30;8;15,8;30,66;24,516667;20,766667;6,6;
2011-12-31;4;3,2;32,216129;25,206452;20,774194;7,5;
2012-01-31;9;71,8;30,76129;24,79871;21,232258;5,8;
2012-02-29;9;48,9;30,3;24,367586;20,817241;7,5;
2012-03-31;6;6,1;31,719355;25,163871;20,883871;6,68772;
2012-04-30;3;3,5;32,1;25,34;20,8;6,6;
2012-05-31;10;46,4;30,5;24,445806;20,190323;6,6;
2012-06-30;17;95,1;27,763333;22,96;19,58;5,8;
2012-07-31;22;59,3;25,977419;21,465806;18,306452;6,6;
2012-08-31;14;29,2;27,56129;21,701935;17,796774;6,6;
2012-09-30;2;1,9;29,966667;23,107333;18,616667;7,8;
2012-10-31;4;4,3;30,090323;23,94;19,670968;6,6;
2012-11-30;3;1,4;31,893333;25,02;20,74;6,6;
2012-12-31;4;9;32,148387;25,336129;21,345161;6,6;
2013-01-31;5;31;31,554839;25,272258;21,167742;5;
2013-02-28;4;4,7;32,25;25,911429;21,725;7;
2013-03-31;5;9,8;32,435484;26,318065;22,516129;7,5;
2013-04-30;9;101,9;31,533333;25,856;22,083333;6,3;
2013-05-31;13;35,5;28,590323;24,021935;20,696774;6,3;
2013-06-30;19;73;27,47;23,028;19,863333;5;
2013-07-31;19;109,4;26,322581;22,085161;19,009677;5,8;
2013-08-31;20;45,4;26,803226;21,990968;18,409677;6,3;
2013-09-30;8;14,4;28,306667;22,780667;19,013333;7,5;
2013-10-31;7;11,4;30,580645;23,990968;19,809677;6,1;
2013-11-30;9;8,5;30,966667;24,480667;20,273333;7;
2013-12-31;6;10,5;31,641935;25,216129;21,316129;6,6;
2014-01-31;null;6,2;32,109677;25,256129;20,86129;5;
2014-02-28;null;81;30,032143;24,750714;21,146429;5;
2014-03-31;null;28,3;31,541935;25,582581;21,767742;6,6;
2014-04-30;null;46,9;31,953333;25,831333;22,05;7,6;
2014-05-31;null;203,1;28,241935;23,748387;20,56129;6,1;
2014-06-30;null;41,3;27,26;22,793333;19,433333;6,6;
2014-07-31;null;55,1;27,396774;22,356774;19,135484;6,6;
2014-08-31;null;58,4;27,696774;22,012258;18,254839;7,5;
2014-09-30;null;54,3;28,41;22,936667;19,086667;6,6;
2014-10-31;null;56,3;29,554839;23,530968;19,612903;6,6;
2014-11-30;null;67,8;30,803333;24,421333;20,223333;6,3;
2014-12-31;null;5,7;31,267742;24,533548;20,364516;6,6;
2015-01-31;null;9,1;32,496774;24,892903;20,012903;4,1;
2015-02-28;null;10,9;32,75;25,9;21,525;5,8;
2015-03-31;null;50,5;31,735484;25,601935;21,541935;5,8;
2015-04-30;null;10,6;32,963333;26,089333;21,52;6;
2015-05-31;null;43;31,270968;25,284516;21,003226;6,6;
2015-06-30;null;98,1;27,493333;22,957241;19,66;5,8;
2015-07-31;null;108,3;25,780645;21,910323;19,26129;6,3;
2015-08-31;null;16,5;27,606452;21,95871;18,158065;6,6;
2015-09-30;null;7,2;30,223333;23,631333;19,026667;7;
2015-10-31;null;7,3;31,151613;24,167742;19,558065;7;
2015-11-30;null;4;32,873333;25,338667;20,71;7,1;
2015-12-31;null;41,6;31,867742;25,270968;21,203226;7,5;
2016-01-31;null;108,1;30,245161;24,773548;21,325806;3,6;
2016-02-29;null;31,6;30,741379;25,031034;21,048276;6,3;
2016-03-31;null;31,8;32,051613;25,661935;21,409677;7,8;
2016-04-30;null;73,9;30,64;25,098667;21,313333;6,6;
2016-05-31;null;99,8;28,680645;23,95871;20,696774;5,6;
2016-06-30;null;45,5;28,253333;23,100667;19,76;5,5;
2016-07-31;null;12,9;28,964516;22,874194;18,86129;6,6;
2016-08-31;null;9,4;29,667742;23,243871;19,051613;6,6;
2016-09-30;null;3,7;30,57;24,07;20,073333;5,8;
2016-10-31;null;,2;31,974194;25,003226;21,164516;5,8;
2016-11-30;null;,6;32,23;25,558667;21,586667;5;
2016-12-31;null;4,6;32,780645;25,794194;21,858065;5;
2017-01-31;null;7,5;32,654839;25,744516;21,790323;3,3;
2017-02-28;null;4,3;32,514286;26,094286;22,207143;5;
2017-03-31;null;12,5;32,645161;26,174839;22,56129;6,6;
2017-04-30;null;79,7;30,66;25,516667;22,226667;5;
2017-05-31;null;64,2;29,148387;24,428387;21,56129;5;
2017-06-30;null;86,1;26,62;22,893333;20,573333;6;
2017-07-31;null;138,6;25,129032;21,163871;18,932258;5,5;
2017-08-31;null;13,9;27,354839;22,159355;18,554839;4,1;
2017-09-30;null;18,9;28,86;22,699333;18,923333;8;
2017-10-31;null;6,6;30,406452;24,085161;20,13871;7,5;
2017-11-30;null;6,1;31,73;24,952;20,916667;7;
2017-12-31;null;9,2;32,554839;25,769032;21,641935;7,3;
2018-01-31;null;15,8;31,667742;25,400645;21,790323;5,8;
2018-02-28;null;59,6;30,703571;25,126429;21,832143;5,5;
