Nome: TARAUACA
Codigo Estacao: 82807
Latitude: -8.16027777
Longitude: -70.7686111
Altitude: 172.27
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;259,8;30,670968;25,661935;22,554839;2;
2008-02-29;18;196,5;30,855172;25,570345;22,541379;2;
2008-03-31;22;251,5;30,077419;25,439355;22,493548;3;
2008-04-30;16;256;30,62;25,556667;22,223333;2;
2008-05-31;16;167,9;29,574194;24,208387;20,448387;3;
2008-06-30;8;25,1;29,3;23,579333;19,23;2;
2008-07-31;6;46,7;32,522581;25,263871;20,009677;2;
2008-08-31;6;52,8;34,051613;26,901935;21,632258;2;
2008-09-30;6;221,4;33,286667;26,145333;21,04;2;
2008-10-31;15;173,5;32,683871;26,709032;22,829032;2;
2008-11-30;17;130,2;31,773333;26,437333;23,353333;2;
2008-12-31;22;318;31,329032;25,990323;23,093548;2;
2009-01-31;22;289,6;30,490323;25,902581;23,022581;3;
2009-02-28;19;287,7;30,378571;25,706429;22,989286;2;
2009-03-31;25;469,8;30,858065;26,086452;23,2;2;
2009-04-30;21;205,6;30,72;25,897333;23,246667;3;
2009-05-31;15;221,8;31,393548;26,013548;22,964516;2;
2009-06-30;10;66,1;30,143333;24,878667;20,963333;3;
2009-07-31;10;37,8;31,587097;25,142581;20,551613;3;
2009-08-31;7;72,4;33,058065;26,016129;21,064516;3;
2009-09-30;6;91,9;33,67;26,804667;21,873333;5;
2009-10-31;10;114,2;33,43871;27,219355;22,993548;2;
2009-11-30;16;264,2;32,32;26,672;23,493333;3;
2009-12-31;22;351,8;31,148387;25,75871;22,96129;2;
2010-01-31;19;263,2;31,6;26,268387;22,716129;2;
2010-02-28;14;102,5;31,971429;26,717857;23,117857;2;
2010-03-31;16;137,8;32,270968;26,612258;23,041935;2;
2010-04-30;12;105,8;33,066667;27,029333;22,806667;2;
2010-05-31;9;157;31,232258;25,447742;21,451613;2;
2010-06-30;6;31,2;31,666667;25,728;20,873333;3;
2010-07-31;7;50,8;30,8;23,905161;18,377419;3;
2010-08-31;2;45,6;34,18;25,693548;18,674194;2;
2010-09-30;8;73;33,77;26,775333;21,22;2;
2010-10-31;13;222,8;33,95;25,916842;21,367742;2;
2010-11-30;17;247,2;32,259259;25,894815;21,3;2;
2010-12-31;17;205,6;31,703226;25,639355;21,33871;2;
2011-01-31;24;344,8;30,906452;25,512258;21,641935;2;
2011-02-28;23;264,8;30,271429;25,314074;21,6;2;
2011-03-31;25;394,2;30,690323;25,530968;21,480645;2;
2011-04-30;17;233,4;31,51;26,191333;21,746667;2;
2011-05-31;11;89,4;31,051613;25,44;20,380645;3;
2011-06-30;6;39,8;31,4;25,228;19,64;2;
2011-07-31;5;83,6;31,948387;24,69;19,17;3;
2011-08-31;9;57,2;33,596774;null;null;3;
2011-09-30;11;139,8;33,446667;26,525714;22,607143;2;
2011-10-31;12;119,4;32,367742;26,311613;22,987097;2;
2011-11-30;13;129,8;32,553333;26,806;23,166667;2;
2011-12-31;21;357,6;31,116129;25,885806;23,016129;2;
2012-01-31;24;309,4;30,412903;25,410323;22,767742;2;
2012-02-29;21;324;30,003448;25,341379;22,558621;2;
2012-03-31;20;296,4;31,309677;25,830968;22,593548;3;
2012-04-30;20;294,4;31,313333;26,118;23,103333;2;
2012-05-31;11;121,4;31,619355;25,512903;21,841935;2;
2012-06-30;11;88,6;30,83;24,772667;20,753333;2;
2012-07-31;4;44,8;31,903226;24,368387;18,912903;2;
2012-08-31;5;108,2;33,348387;25,723226;19,990323;2;
2012-09-30;7;181;34,186667;26,686667;21,74;2;
2012-10-31;11;135;32,703226;26,530323;22,567742;2;
2012-11-30;17;203,4;32,42;26,782;23,433333;2;
2012-12-31;26;360,8;30,425806;25,461935;22,916129;2;
2013-01-31;24;513,2;31,148387;25,823871;22,664516;2;
2013-02-28;21;232,8;30,8;25,971429;23,025;3;
2013-03-31;22;354,2;31,348387;26,285161;23,083871;4;
2013-04-30;10;156,6;32,726667;26,468;22,2;2;
2013-05-31;14;110,1;31,432258;25,896774;22,480645;3;
2013-06-30;15;189,2;31,68;25,763333;22,196667;2;
2013-07-31;7;100;31,054839;24,390323;19,641935;2;
2013-08-31;4;13,6;32,548387;24,887742;19,225806;3;
2013-09-30;7;157;33,666667;26,278667;21,183333;2;
2013-10-31;14;188,4;32,477419;26,436129;22,96129;4;
2013-11-30;13;298,8;31,46;26,22;22,633333;2;
2013-12-31;18;211,8;31,580645;26,245161;23,148387;2;
2014-01-31;6;430,8;30,509677;25,672258;22,922581;2;
2014-02-28;null;265,8;30,542857;25,907143;23,071429;2;
2014-03-31;null;289,8;31,326667;26,036774;23,093548;2;
2014-04-30;null;202,4;31,313333;26,194667;23,053333;2;
2014-05-31;null;259;30,787097;25,44129;22,2;2;
