Nome: PEDRO AFONSO
Codigo Estacao: 82863
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.53
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;18;370,9;31,8;25,970323;22,454839;6;
2008-02-29;18;219,7;31,517241;25,792414;22,451724;6;
2008-03-31;25;339,6;30,812903;25,35871;22,235484;8;
2008-04-30;20;283,5;31,983333;26,350667;23,073333;7;
2008-05-31;10;114,4;32,506452;26,235484;22,280645;4;
2008-06-30;0;0;33,81;25,088;19,196667;5;
2008-07-31;1;,5;34,96129;25,258065;18,477419;6;
2008-08-31;0;0;37,119355;27,251613;20;7;
2008-09-30;4;19,6;37,93;28,824667;21,763333;6;
2008-10-31;9;134,8;36,390323;28,449677;22,809677;6,17328;
2008-11-30;18;304,3;33,003333;26,695333;22,926667;10;
2008-12-31;23;248,7;32,035484;26,140645;22,693548;7;
2009-01-31;15;186,5;32,874194;26,649677;22,780645;7;
2009-02-28;19;284,2;32,192857;26,047857;22,610714;7;
2009-03-31;23;248,7;32,296774;26,550968;23,251613;5;
2009-04-30;23;284,5;30,64;25,8;23,058621;7;
2009-05-31;17;222,4;31,451613;25,842581;22,445161;4;
2009-06-30;2;24,8;33,273333;25,936;21,2;3;
2009-07-31;0;0;35,370968;26,006452;19,596774;7;
2009-08-31;1;,1;36,977419;27,408387;20,596667;7;
2009-09-30;7;7,5;36,813333;28,777333;22,946667;20;
2009-10-31;14;155,2;33,606452;27,185806;23,341935;7;
2009-11-30;15;125,5;33,583333;27,171333;23,08;6;
2009-12-31;22;159,6;31,774194;25,990323;22,53871;20;
2010-01-31;19;256,3;32,683871;26,502581;22,845161;7;
2010-02-28;21;147,6;32,978571;26,586429;23,310714;20;
2010-03-31;25;305,4;33,441935;27,109677;23,587097;9;
2010-04-30;15;234,6;33,663333;27,508667;23,736667;5;
2010-05-31;4;38,1;34,870968;28,049677;23,548387;5;
2010-06-30;1;,8;35,1;26,728;20,94;6;
2010-07-31;2;15,6;35,632258;26,232903;19,487097;7;
2010-08-31;1;2;36,948387;26,621935;18,751613;8;
2010-09-30;0;0;38,48;28,92;21,346667;9;
2010-10-31;10;172;35,345161;28,234194;23,406452;10;
2010-11-30;19;286,5;33,593333;27,089333;22,956667;10;
2010-12-31;16;158,3;32,390323;26,66129;23,23871;4;
2011-01-31;24;271,6;31,680645;25,895484;22,425806;8;
2011-02-28;25;466;31,089286;25,36;22,317857;9;
2011-03-31;24;212,3;31,96129;26,342581;23,187097;8;
2011-04-30;21;220,7;32,663333;26,44;22,99;10;
2011-05-31;7;128,7;32,677419;26,440645;22,516129;8;
2011-06-30;1;5,3;34,336667;25,942;20,293333;6;
2011-07-31;0;0;35,006452;25,64;19,058065;8;
2011-08-31;3;2,2;37,106452;27,292903;20,109677;7;
2011-09-30;0;0;37,993333;28,443333;20,783333;8;
2011-10-31;15;188,7;34,387097;27,431613;22,858065;8;
2011-11-30;22;345,2;31,88;26,126667;22,993333;8;
2011-12-31;17;293,6;32,932258;26,474839;22,806452;6;
2012-01-31;25;434,4;30,396774;24,965161;21,825806;20;
2012-02-29;22;276,8;31,151724;25,373793;21,931034;5;
2012-03-31;23;252,5;32,116129;25,870323;22,645161;8;
2012-04-30;15;178,8;33,34;27,036667;23,15;7;
2012-05-31;6;64;33,435484;26,754839;22,406452;7;
2012-06-30;2;11,3;33,983333;26,189333;20,963333;7;
2012-07-31;0;0;35,322581;25,72129;18,987097;7;
2012-08-31;0;0;36,170968;26,38;18,693548;10;
2012-09-30;1;2;37,233333;28,275333;21,186667;8;
2012-10-31;6;138,3;36,258065;29,057419;23,903226;8;
2012-11-30;18;201,3;33,09;26,961333;23,503333;8;
2012-12-31;17;156,1;33,225806;26,720645;22,835484;7;
2013-01-31;21;413,3;31,958065;26,134194;22,748387;6;
2013-02-28;20;191,3;32,532143;26,183571;22,607143;8;
2013-03-31;21;354,3;32,570968;26,715484;23,222581;9;
2013-04-30;10;130;33,096667;27,266667;23,563333;8;
2013-05-31;5;67,8;33,067742;26,952903;22,832258;6;
2013-06-30;null;10,5;34,163333;26,58;21,513333;6;
2013-07-31;null;,7;35,467742;26,550968;20,135484;10,6;
2013-08-31;null;9,4;36,970968;27,384516;19,877419;9;
2013-09-30;null;3,1;36,976667;29,15;22,92;9;
2013-10-31;null;81,3;35,203226;27,870323;23,174194;10;
2013-11-30;null;240,5;33,116667;26,581333;22,713333;9;
2013-12-31;null;279,1;31,687097;26,199355;23,093548;9;
2014-01-31;null;182,2;32,287097;25,904516;22,177419;20;
2014-02-28;null;247,2;31,278571;25,671429;22,492857;17;
