Nome: SAO JOAO DO PIAUI
Codigo Estacao: 82879
Latitude: -8.365
Longitude: -42.25027777
Altitude: 237.02
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;8;57,5;35,112903;28,787742;23,558065;5;
2008-02-29;10;51,2;33,989655;27,742069;22,7;5;
2008-03-31;23;292,7;30,548387;25,510323;22,087097;3,6;
2008-04-30;15;245,5;30,863333;25,502667;21,73;4,3;
2008-05-31;1;,1;32,170968;25,85871;21,096774;7;
2008-06-30;0;0;32,146667;25,448;19,983333;5,8;
2008-07-31;0;0;31,987097;25,726452;20,748387;6;
2008-08-31;0;0;33,935484;27,654839;22,545161;6,3;
2008-09-30;1;1,1;36,24;29,569333;24,386667;6;
2008-10-31;1;,2;37,216129;30,793548;25,493548;8;
2008-11-30;5;17,3;37,196667;30,791333;25,053333;5,6;
2008-12-31;10;90,6;34,2;28,090968;22,86129;5;
2009-01-31;9;117,8;33,222581;27,031613;22,090323;10;
2009-02-28;10;122,2;31,439286;26,14;21,789286;4;
2009-03-31;8;51,1;32,196;26,3975;21,883333;3,3;
2009-04-30;10;96,5;30,824;25,9176;22,5;4;
2009-05-31;7;8,3;31,303226;25,969032;22,112903;4,5;
2009-06-30;2;5,3;32,8;26,235333;20,856667;5,5;
2009-07-31;0;0;33,812903;27,111613;21,129032;5;
2009-08-31;1;,2;34,754839;28,371613;22,548387;6;
2009-09-30;0;0;37,313333;30,390667;24,513333;6,3;
2009-10-31;11;83,4;35,135484;29,216129;24,351613;5;
2009-11-30;6;18,2;36,56;29,592667;24,023333;5,3;
2009-12-31;14;128,8;34,229032;28,320645;23,425806;5,6;
2010-01-31;10;136,9;32,490323;26,621935;22,135484;4,3;
2010-02-28;7;35,7;35,275;28,552143;23,503571;5;
2010-03-31;9;130,3;34,174194;27,820645;23,451613;5,6;
2010-04-30;9;120,9;33,366667;27,361333;22,78;4;
2010-05-31;2;1,4;36,325806;29,159355;23,245161;5,3;
2010-06-30;1;15;33,603333;27,686;22,773333;5,6;
2010-07-31;0;0;33,212903;27,125161;22;5,8;
2010-08-31;0;0;34,106452;27,601935;22,187097;6;
2010-09-30;0;0;35,416667;29,091333;23,533333;6;
2010-10-31;7;33,8;36,648387;30,157419;24,748387;5;
2010-11-30;9;69,2;36,26;29,384;22,9;5,6;
2010-12-31;9;82,7;33,441935;27,177419;21,174194;8;
2011-01-31;9;87,9;33,032258;27,056774;21,251613;4,5;
2011-02-28;18;214,1;31,971429;26,292857;21,607143;4,6;
2011-03-31;17;263,9;31,390323;25,724516;21,070968;3,3;
2011-04-30;6;38,6;31,966667;26,028;21,013333;4,6;
2011-05-31;2;35,7;32,829032;26,470323;20,709677;5;
2011-06-30;0;0;34,21;26,62;19,556667;5;
2011-07-31;0;0;33,054839;26,646452;20,729032;6,3;
2011-08-31;1;,7;34,887097;28,26;22,883871;6,6;
2011-09-30;0;0;35,64;28,881333;23,293333;6;
2011-10-31;3;3,4;36,212903;29,984516;24,909677;7,3;
2011-11-30;10;83,6;34,183333;28,456667;23,82;5;
2011-12-31;2;40,8;35,948387;29,508387;23,845161;5,5;
2012-01-31;6;37,5;35,296774;28,845161;23,677419;5,1;
2012-02-29;12;168,7;32,9;26,948966;22,165517;6;
2012-03-31;5;35,2;36,029032;28,883226;22,806452;5,1;
2012-04-30;1;,6;37;29,773333;23,113333;5,6;
2012-05-31;0;0;35,896774;29,423226;23,8;5,5;
2012-06-30;0;0;34,763333;28,55;23,266667;6;
2012-07-31;0;0;33,906452;27,85871;22,645161;5,8;
2012-08-31;0;0;33,458065;27,349677;22,051613;6,5;
2012-09-30;0;0;36,143333;29,39;23,453333;6,3;
2012-10-31;0;0;37,209677;30,814839;25,167742;6,1;
2012-11-30;11;63,9;35,333333;29,713333;24,993333;5;
2012-12-31;5;52,2;35,854839;29,330968;23,929032;5,6;
2013-01-31;12;160,8;33,548387;28,023226;23,767742;6;
2013-02-28;2;,9;36,035714;29,437143;23,521429;5;
2013-03-31;9;72,6;35,396774;29,250968;24,464516;4,6;
2013-04-30;7;103,1;32,933333;27,336;22,933333;6,1;
2013-05-31;2;,6;34,780645;28,571613;23,458065;5,8;
2013-06-30;null;0;34,64;28,507333;23,46;6,3;
2013-07-31;1;,2;34,033333;27,945161;22,76129;6,6;
2013-08-31;null;0;34,522581;28,415484;23,225806;5,6;
2013-09-30;null;0;36,44;30,006667;24,36;6,2;
2013-10-31;1;5,8;37,087097;30,945161;25,509677;6,3;
2013-11-30;6;80,2;34,866667;29,376;24,353333;5,3;
2013-12-31;13;233,2;32,1;27,30129;23,109677;6,3;
2014-01-31;null;9,9;34,6;28,522581;23,025806;4,8;
2014-02-28;null;232,5;32,807143;27,761429;23,45;4,8;
2014-03-31;null;67,8;32,364516;27,212258;23,103226;4,6;
2014-04-30;null;49,2;32,92;27,014667;22,373333;5;
2014-05-31;null;16,6;34,070968;27,570323;21,987097;5;
2014-06-30;null;0;34,01;27,918;22,953333;6,1;
2014-07-31;null;1;33,346667;27,708;23,066667;6;
2014-08-31;null;,9;34,209677;28,128387;22,903226;7,3;
2014-09-30;null;,4;36,443333;30,116667;24,353333;5,6;
2014-10-31;null;7,1;36,345161;30,42;25,316129;6;
2014-11-30;null;151,6;35,046667;29,3;24,586667;5;
2014-12-31;null;44,1;33,148387;27,723871;23,432258;5,1;
2015-01-31;null;10,7;35,690323;29,188387;23,56129;5,6;
2015-02-28;null;136,3;32,828571;27,43;23,121429;5,3;
2015-03-31;null;145,4;31,941935;26,67871;22,477419;4,1;
2015-04-30;null;46,1;33,58;27,418667;22,173333;4,6;
2015-05-31;null;0;34,812903;28,701935;23,458065;5;
2015-06-30;null;0;34,193333;28,154667;23,306667;6,3;
2015-07-31;null;0;34,193548;28,184516;23,2;5,5;
2015-08-31;null;0;34,925806;28,475484;23,116129;5,6;
2015-09-30;null;0;37,57;30,554;24,433333;5,6;
2015-10-31;null;12,4;37,848387;31,243226;25,793548;5,6;
2015-11-30;null;34,3;38,203333;31,511333;25,366667;5,5;
2015-12-31;null;10,6;37,903226;31,642581;26,058065;6;
2016-01-31;null;312,4;31,23871;26,859355;23,425806;4,3;
2016-02-29;null;57,6;33,303448;27,635862;22,875862;5;
2016-03-31;null;70,7;35,654839;29,088387;23,819355;4,6;
2016-04-30;null;2,4;36,423333;29,882;23,946154;5,3;
2016-05-31;null;0;36,367742;29,765161;24,522581;5;
2016-06-30;null;0;35,153333;28,608;22,806667;6;
2016-07-31;null;0;34,287097;27,876774;22,625806;6,3;
2016-08-31;null;0;35,641935;28,914194;23,16129;6;
2016-09-30;null;5,8;36,406667;30,093333;24,56;5,5;
2016-10-31;null;13,2;37,229032;31,06;25,780645;5,3;
2016-11-30;null;24,5;36,95;30,695333;25,553333;5,5;
2016-12-31;null;89,2;34,977419;29,408387;24,645161;4,6;
2017-01-31;null;31,7;36,187097;29,907097;24,219355;5,3;
2017-02-28;null;288,8;32,282143;27,207857;23,164286;4;
2017-03-31;null;79,2;32,741935;27,402581;23,03871;null;
2017-04-30;null;33,2;34,49;28,55;23,573333;5,3;
2017-05-31;null;1,2;35,36129;29,334667;24,129032;5,5;
