Nome: ARCOVERDE
Codigo Estacao: 82890
Latitude: -8.433537
Longitude: -37.055365
Altitude: 683.91
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;null;null;null;null;null;null;
2008-02-29;10;88,4;32;25,053103;19,296552;6,6;
2008-03-31;13;179,6;29,864286;24,158462;19,740741;6,5;
2008-04-30;13;85,3;27,993333;23,124138;19,17;5;
2008-05-31;23;154,3;25,864516;21,691613;18,429032;5;
2008-06-30;17;54,5;24,773333;20,228276;17,09;7,8;
2008-07-31;21;107,2;23,922581;19,487742;16,377419;5,5;
2008-08-31;15;45,6;25,972414;20,368571;16,606897;6,3;
2008-09-30;7;12,4;28,56;21,773333;16,56;6;
2008-10-31;6;5,7;31,141935;23,414194;17,641935;8;
2008-11-30;0;0;33,213793;25,212143;18,403448;8,3;
2008-12-31;4;21,2;32,931034;25,456552;19,193103;6,6;
2009-01-31;null;null;null;null;null;null;
2009-02-28;10;89,3;30,118519;24,272593;19,374074;6,6;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;25;256,9;26,571429;22,341429;19,535714;5,3;
2009-06-30;16;78,7;25,14;21,126;18,21;5;
2009-07-31;18;80,5;25,625806;20,751613;17,322581;6,1;
2009-08-31;16;97,7;25,916129;20,748387;17,048387;5,1;
2009-09-30;1;2,3;29,793333;22,726;17,49;7;
2009-10-31;2;6,1;31,979167;24,530435;18,4875;8,3;
2009-11-30;2;4,8;32,466667;24,82;18,84;7,3;
2009-12-31;6;36,1;31,851613;25,002581;19,454839;8;
2010-01-31;9;143,3;29,696774;23,786452;19,116129;5,6;
2010-02-28;10;90,1;31,507143;24,747143;19,778571;null;
2010-03-31;8;67,6;32,264516;25,52129;19,783871;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;3;34,7;29,619355;23,547742;18,716129;5,1;
2010-06-30;21;210,6;25,466667;21,088667;17,863333;6;
2010-07-31;17;73,5;25,116129;20,384516;17,351613;6;
2010-08-31;15;31,9;25,606452;20,027097;16,480645;6,6;
2010-09-30;9;37,3;27,846667;21,422667;16,866667;8,3;
2010-10-31;6;62,1;31,077419;23,931613;18,796774;7,6;
2010-11-30;0;0;32,286667;24,754667;18,92;7,5;
2010-12-31;4;31,2;31,587097;24,95871;19,783871;6,6;
2011-01-31;8;36,2;31,451613;24,632258;19,570968;6,6;
2011-02-28;10;58;31,335714;24,58;19,964286;5,6;
2011-03-31;12;36,1;31,825806;24,967742;19,622581;8;
2011-04-30;19;89;29,633333;23,772;19,833333;6,3;
2011-05-31;18;229,8;26,096774;22,101935;19,583871;6,6;
2011-06-30;null;null;null;null;null;null;
2011-07-31;17;78;24,832258;20,081333;17,080645;6,6;
2011-08-31;10;39,2;27,451613;20,874839;16,196774;6,3;
2011-09-30;7;22,4;27,88;21,417333;17,16;6,3;
2011-10-31;4;18,2;30,935484;23,72129;18,558065;6,1;
2011-11-30;4;21,8;31,14;24,109333;19,226667;7,1;
2011-12-31;0;0;32,967742;25,283871;19,103226;8,5;
2012-01-31;8;91,2;31,335484;24,530323;19,590323;8;
2012-02-29;5;7,7;31,124138;24,329655;19,417241;7,3;
2012-03-31;3;10;32,283871;24,929032;19,396774;7,7;
2012-04-30;2;38,7;31,493333;24,566667;19;6;
2012-05-31;6;43,7;30,425806;23,833548;18,745161;5,5;
2012-06-30;7;27,3;28,233333;22,456667;18,396667;5;
2012-07-31;15;59,3;26,251613;20,709677;16,964516;5,6;
2012-08-31;15;37,9;26,983871;20,848387;16,758065;8;
2012-09-30;5;5,9;29,84;22,490667;17,083333;7;
2012-10-31;1;7,7;31,16129;23,752258;18,551613;6,6;
2012-11-30;2;10,9;33,46;25,734667;19,506667;8,3;
2012-12-31;1;,9;33,154839;25,644516;20,006452;7,6;
2013-01-31;3;3,2;33,045161;26,118065;20,577419;8,3;
2013-02-28;2;1,4;33,335714;25,962857;20,528571;6,3;
2013-03-31;1;17,4;33,23871;26,29871;21,177419;8,3;
2013-04-30;12;98;31,46;25,350667;20,72;6,3;
2013-05-31;9;56,4;28,270968;22,952903;19,254839;5,6;
2013-06-30;15;60,4;26,933333;21,869333;18,593333;5,5;
2013-07-31;20;117,1;25,151613;20,496774;17,387097;6,6;
2013-08-31;13;31,4;26,619355;20,900645;17,116129;5;
2013-09-30;4;11,9;29,84;22,48;17,56;7,5;
2013-10-31;4;20;31,625806;24,067097;18,712903;8,3;
