Nome: PESQUEIRA
Codigo Estacao: 82892
Latitude: -8.370701
Longitude: -36.707812
Altitude: 643.38
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2015-11-18
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;1;4;31,145161;23,062581;19,154839;8;
2008-02-29;9;209,4;31,231034;23,3;18,872414;8;
2008-03-31;12;241,2;30,609677;23,34129;19,093548;4;
2008-04-30;11;63,4;29,886667;22,932;19,23;4;
2008-05-31;18;186,8;28,964516;22,150968;18,390323;5;
2008-06-30;10;25,9;28,13;21,347333;17,946667;5;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;null;null;null;null;null;null;
2008-10-31;null;0;30,736;22,4784;18,416;7;
2008-11-30;0;0;31,173333;22,884;18,696667;10;
2008-12-31;0;0;32,009677;23,327097;18,796774;8;
2009-01-31;0;0;31,958065;23,292903;18,66129;4;
2009-02-28;8;133,7;31,485714;23,361429;18,7;8;
2009-03-31;4;50,2;30,045161;22,836774;18,793548;6;
2009-04-30;13;194,6;30,326667;23,289333;19,183333;4;
2009-05-31;19;348,1;29,493548;22,850968;19,054839;4;
2009-06-30;13;60,5;27,803333;21,358;17,85;6;
2009-07-31;14;101,3;27,86129;21,276774;17,693548;8;
2009-08-31;13;73,9;28,877419;21,674839;17,570968;5;
2009-09-30;2;,7;29,67;22,098;17,816667;5;
2009-10-31;2;2,5;30,987097;22,939355;18,893548;5;
2009-11-30;1;19,1;31,486667;23,162667;18,6;6;
2009-12-31;6;20,9;31,303226;23,64;19,235484;7;
2010-01-31;1;6,2;null;null;null;null;
2010-02-28;8;23,2;30,525;23,523571;19,796429;4;
2010-03-31;3;23,9;32,016129;24,442581;20,183871;5;
2010-04-30;11;276,8;31,213333;23,955333;19,85;4;
2010-05-31;5;4,5;30,56129;23,510968;19,896774;5;
2010-06-30;10;199,6;27,81;21,579333;18,503333;5;
