Nome: BOM JESUS DO PIAUI
Codigo Estacao: 82975
Latitude: -9.06611111
Longitude: -44.36527777
Altitude: 330.6
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;11;199,4;32,125806;28,681935;19,519355;1;
2008-02-29;8;155,9;33,168966;29,441379;19,72069;1;
2008-03-31;17;334;32,235484;28,743871;19,032258;,8;
2008-04-30;4;105,1;34,45;30,244;19,71;,8;
2008-05-31;null;null;null;null;null;null;
2008-06-30;0;0;34,39;30,202667;20,176667;,8;
2008-07-31;0;0;32,732258;28,869032;19,080645;,8;
2008-08-31;0;0;33,009677;29,095484;18,764516;6,5;
2008-09-30;2;17,4;34,8;30,514667;19,11;,7;
2008-10-31;1;7,2;34,829032;30,369032;18,764516;,8;
2008-11-30;7;63,7;33,856667;29,742667;18,986667;,8;
2008-12-31;15;341,1;33,212903;29,173548;18,46129;,7;
2009-01-31;6;133,3;33,519355;29,579355;18,848387;2,5722;
2009-02-28;9;150,9;33,182143;29,334286;18,489286;3,60108;
2009-03-31;9;211,6;33,441935;29,421935;18,435484;,7;
2009-04-30;10;188,4;32,87;29,166;18,616667;,7;
2009-05-31;9;108,2;33,503226;29,401935;18,590323;,5;
2009-06-30;0;0;34,183333;29,875333;18,523333;,7;
2009-07-31;0;0;34,206452;29,741935;18,209677;,7;
2009-08-31;0;0;33,990323;29,568387;18,093548;,7;
2009-09-30;0;0;35,066667;30,542667;18,95;1;
2009-10-31;null;0;null;null;null;null;
2009-11-30;4;43,4;33,958621;29,691333;18,443333;2,5722;
2009-12-31;17;169,7;32,854839;28,883871;18,122581;,9;
2010-01-31;10;164,7;33,46129;29,425161;18,445161;,8;
2010-02-28;10;84,2;34,278571;30,118571;19,078571;,8;
2010-03-31;13;164;33,819355;30,032258;19,66129;,7;
2010-04-30;9;122,9;34,313333;30,139333;18,84;,8;
2010-05-31;0;0;34,509677;30,238065;19,212903;,8;
2010-06-30;0;0;34,983333;30,508667;19,153333;,8;
2010-07-31;null;0;34,596774;30,103226;19,5;1;
2010-08-31;0;0;35,622581;30,82;18,983871;1;
2010-09-30;null;null;null;null;null;null;
2010-10-31;6;135,1;35,009677;30,645806;19,574194;5,8;
2010-11-30;4;50,3;34,356667;30,292667;20,086667;,8;
2010-12-31;12;193,4;32,990323;29,442581;20;,8;
2011-01-31;10;168,4;33,348387;29,591613;20,006452;,7;
2011-02-28;18;322;32,578571;29,100714;19,589286;,8;
2011-03-31;17;296,6;32,887097;29,189032;19,170968;,9;
2011-04-30;11;74,5;33,88;30,02;20,226667;,7;
2011-05-31;1;,7;null;null;null;null;
2011-06-30;0;0;34,396667;29,875333;18,363333;,7;
2011-07-31;1;5;33,948387;29,372903;17,529032;1;
2011-08-31;0;0;35,306667;30,294839;18,080645;,8;
2011-09-30;0;0;36,866667;31,758;19,806667;1;
2011-10-31;8;186,5;33,867742;29,878065;19,848387;,8;
2011-11-30;11;147,4;33,48;29,547333;19,553333;,5;
2011-12-31;10;119,8;34,848387;30,547097;20,119355;,8;
2012-01-31;13;150,9;33,980645;30,308387;20,541935;,8;
2012-02-29;12;109,2;34,882759;30,824138;20,306897;,7;
2012-03-31;null;0;null;null;null;null;
2012-04-30;3;38,1;33,86;30,327333;21,133333;2,5722;
2012-05-31;3;27,6;33,703226;30,121935;20,73871;,8;
2012-06-30;0;0;34,183333;30,373333;20,726667;,8;
2012-07-31;0;0;33,974194;30,127097;20,377419;,8;
2012-08-31;0;0;33,922581;30,117419;20,354839;1;
2012-09-30;0;0;35,453333;31,138667;20,913333;1;
2012-10-31;0;0;36,164516;31,889032;22,090323;1;
2012-11-30;13;208,9;33,566667;30,040667;20,996667;,8;
2012-12-31;4;142,5;34,76129;30,798065;21,225806;,7;
2013-01-31;null;0;null;null;null;null;
2013-02-28;1;3;34,278571;30,602857;21,425;,8;
2013-03-31;10;148,5;34,229032;30,456129;21,03871;1;
2013-04-30;8;67,4;33,773333;30,263333;21,453333;,7;
2013-05-31;3;71;33,796774;30,237419;21,196774;,7;
2013-06-30;null;0;33,46;29,898667;20,94;,7;
2013-07-31;null;0;33,451613;29,696774;20,564516;,8;
2013-08-31;null;0;34,296774;30,229677;20,280645;5,3;
2013-09-30;null;0;34,96;30,896667;20,886667;1,3;
2013-10-31;3;24;35,719355;31,50129;21,374194;,7;
2013-11-30;8;83,8;35,33;31,171333;21,293333;,8;
2013-12-31;16;295,8;33,267742;29,766452;20,819355;,7;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;132;34,342857;30,281429;20,353571;,7;
2014-03-31;null;239,8;32,880645;28,98;19,003226;5,8;
2014-04-30;null;238,2;32,783333;28,655333;17,49;,7;
2014-05-31;null;10;33,483871;29,062581;17,451613;,8;
2014-06-30;null;0;34,003333;29,463333;17,55;,7;
2014-07-31;null;0;34,170968;29,692903;17,803226;,8;
2014-08-31;null;0;35,022581;30,169677;17,677419;,8;
2014-09-30;null;46,2;34,996667;30,245333;17,966667;,7;
2014-10-31;null;66;35,493548;30,613548;18,2;,8;
2014-11-30;null;185,1;33,683333;29,282667;17,65;,7;
2014-12-31;null;157,8;32,896774;28,774194;17,551613;,8;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;233;33,046429;29,087143;19,196429;,7;
2015-03-31;null;158,6;32,880645;29,050968;18,7;,8;
2015-04-30;null;127,8;33,623333;29,506667;18,596667;,8;
2015-05-31;null;72;33,164516;29,293548;18,748387;1;
2015-06-30;null;0;34,035714;29,865714;19,235714;1,3;
2015-07-31;null;0;34,42;30,41871;21,096774;1,3;
2015-08-31;null;0;34,329032;30,433548;21,422581;1,2;
2015-09-30;null;0;36,19;31,795333;21,98;,8;
2015-10-31;null;37,8;37,074194;32,425161;22,416129;1;
2015-11-30;null;null;null;null;null;null;
2015-12-31;null;11,4;34,958065;31,422581;23,26129;,7;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;144,4;33,813793;30,057241;21,568966;,7;
2016-03-31;null;92,4;34,86129;30,879355;21,7;,7;
2016-04-30;null;63,9;34,98;31,192;22,49;,7;
2016-05-31;null;0;34,845161;31,041935;22,232258;,7;
2016-06-30;null;3,4;33,636667;30,046667;21,3;1,5;
2016-07-31;null;0;33,6;29,992258;21,316129;1,3;
2016-08-31;null;0;34,370968;30,56129;21,593548;5,5;
2016-09-30;null;null;null;null;null;null;
2016-10-31;null;131,5;34,16129;30,405161;22,222581;,7;
2016-11-30;null;20,9;34,916667;30,916;21,976667;,7;
2016-12-31;null;61,4;33,796774;30,231613;21,848387;,7;
2017-01-31;null;null;null;null;null;null;
2017-02-28;null;300,8;30,407143;27,97;21,375;,7;
2017-03-31;null;161,8;31,606452;28,627097;21,33871;,5;
2017-04-30;null;58,7;32,736667;29,221333;21,423333;,7;
2017-05-31;null;26;32,758065;29,309677;21,496774;,5;
2017-06-30;null;0;34,046667;29,328667;20,763333;,7;
2017-07-31;null;0;33,012903;28,625161;18,9;1,3;
2017-08-31;null;null;null;null;null;null;
2017-09-30;null;0;37,193333;30,639333;21,476667;2,5722;
2017-10-31;null;0;39,119355;32,154839;22,454839;,8;
2017-11-30;null;211,2;35,47;30,279333;22,03;,7;
2017-12-31;null;322,4;34,596774;30,061935;21,9;,7;
2018-01-31;null;276,4;34,354839;29,975484;21,525806;,8;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;240,8;33,003226;29,384516;21,912903;1;
2018-04-30;null;null;null;null;null;null;
2018-05-31;null;2;34,187097;29,697419;22,319355;1;
2018-06-30;null;0;33,52;29,538667;21,803333;1;
2018-07-31;null;0;33,990323;29,933548;22,1;,8;
2018-08-31;null;9;35,154839;30,583871;21,987097;,8;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;132;35,083871;30,434194;21,932258;,8;
2018-11-30;null;95;34,676667;30,172;21,87;1;
2018-12-31;null;106;34,087097;29,916667;22,122581;,8;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;351,5;33,839286;29,856296;21,996429;4,11552;
2019-03-31;null;204,3;34,735484;30,286452;22,193548;4,11552;
2019-04-30;null;92,2;34,48;30,21931;21,736667;5,1444;
2019-05-31;null;151;34,677419;30,32;21,367742;10,2888;
2019-06-30;null;0;34,443333;null;22,086667;5,1444;
2019-07-31;null;0;null;null;22,088;7,20216;
2019-08-31;null;0;null;null;22,353333;6,68772;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;30;null;null;22,022581;5,1444;
2019-11-30;null;143,2;null;null;22,05;5,1444;
2019-12-31;null;45;null;null;22,151724;5,1444;

