Nome: CARACOL
Codigo Estacao: 82976
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;10;110,5;31,754839;25,474839;20,096774;5,6;
2008-02-29;14;143,8;31,386207;24,957241;19,965517;4,6;
2008-03-31;24;313;28,780645;23,593548;19,658065;4,6;
2008-04-30;11;105,7;28,74;23,389333;19,066667;6,8;
2008-05-31;5;6,1;29,374194;22,904516;17,580645;4,6;
2008-06-30;0;0;29,113333;21,522667;14,733333;6;
2008-07-31;0;0;29,741935;22,109677;14,948387;6;
2008-08-31;0;0;31,670968;23,990968;16,290323;6,6;
2008-09-30;0;0;34,08;26,072;18,546667;5;
2008-10-31;1;,6;34,903226;27,47871;19,696774;9;
2008-11-30;7;120,3;33,706667;27,182667;20,7;6,6;
2008-12-31;14;125,5;30;24,477419;19,870968;5,6;
2009-01-31;12;244,2;29,258065;23,989677;19,283871;6,3;
2009-02-28;9;99,2;29,357143;23,982857;19,242857;5,3;
2009-03-31;7;131,3;30,329032;24,286452;19,541935;4,3;
2009-04-30;16;177,9;28,58;23,766667;19,786667;4,3;
2009-05-31;14;81,8;28,36129;23,332903;19,722581;5;
2009-06-30;0;0;29,266667;22,534667;17,08;6,6;
2009-07-31;0;0;31,174194;22,637419;15,419355;6;
2009-08-31;0;0;32,406452;24,397419;16,954839;6,6;
2009-09-30;0;0;34,786667;26,488;18,54;5;
2009-10-31;11;173,1;32,393548;25,992258;20,548387;5;
2009-11-30;1;6,2;32,96;26,117333;19,493333;4;
2009-12-31;13;127,6;31,387097;24,974194;20,212903;5;
2010-01-31;11;93,2;30,580645;24,525161;19,632258;3,3;
2010-02-28;6;38,3;33,378571;26,681429;21,285714;3,3;
2010-03-31;12;135,7;30,741935;25,011613;20,593548;7;
2010-04-30;8;93,5;30,146667;24,410667;19,74;3,3;
2010-05-31;1;5,4;33,225806;25,156129;18,303226;3,3;
2010-06-30;null;null;null;null;null;null;
2010-07-31;0;0;31,116129;23,932903;17,406452;5;
2010-08-31;0;0;32,16129;24,043871;16,225806;4;
2010-09-30;0;0;33,573333;26,150667;18,88;9;
