Nome: REMANSO
Codigo Estacao: 82979
Latitude: -9.625699
Longitude: -42.077217
Altitude: 397.39
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;2;26,6;33,674194;28,161935;23,358065;7;
2008-02-29;8;213,9;33,237931;27,836552;23,060714;5;
2008-03-31;17;150,8;30,43871;25,969032;22,293548;4,5;
2008-04-30;10;231;30,116667;25,810667;22,203333;5;
2008-05-31;1;2,4;30,109677;26,127097;22,33871;5;
2008-06-30;1;,3;29,513333;25,126667;21,053333;5,6;
2008-07-31;0;0;29,254839;24,58129;20,603226;5,3;
2008-08-31;0;0;30,874194;25,793548;21,406452;5,5;
2008-09-30;0;0;32,686667;27,249333;22,553333;6,3;
2008-10-31;0;0;34,209677;28,384516;23,277419;8;
2008-11-30;5;34,6;34,593333;29,464;24,576667;6,5;
2008-12-31;7;46,4;32,512903;27,432903;22,893548;5,6;
2009-01-31;12;274,9;32,341935;27,221935;22,877419;4;
2009-02-28;6;115,2;31,178571;26,682857;22,232143;9;
2009-03-31;10;168,4;31,46129;26,684516;22,5;4,1;
2009-04-30;13;185,3;29,373333;25,605333;22,253333;4,3;
2009-05-31;3;31,2;29,519355;26,074839;22,883871;4,3;
2009-06-30;1;2,7;29,92;25,653333;21,853333;4,6;
2009-07-31;0;0;30,5;25,9;21,964516;6,3;
2009-08-31;0;0;31,054839;26,365806;22,341935;null;
2009-09-30;0;0;33,37;28,260667;23,566667;null;
2009-10-31;8;156,7;32,070968;27,735484;23,990323;6;
2009-11-30;0;0;32,9;28,196667;23,75;6,5;
2009-12-31;9;49,6;31,964516;27,589032;23,7;5,6;
2010-01-31;4;115,2;31,796774;27,262581;23,225806;6,1;
2010-02-28;5;44,9;33,778571;28,81;25,064286;5,6;
2010-03-31;9;148,7;31,813333;27,47871;23,383333;6;
2010-04-30;9;104,1;31,1;27,138667;23,473333;6,6;
2010-05-31;0;0;32,087097;27,700645;23,23871;6;
2010-06-30;3;17,7;30,38;26,058667;22,306667;5;
2010-07-31;3;3,1;29,783871;25,150323;21,412903;6;
2010-08-31;0;0;30,796774;25,173548;20,516129;7,5;
2010-09-30;0;0;32,04;26,534;21,763333;6,6;
2010-10-31;7;28,9;34,174194;28,829032;24,296774;6,3;
2010-11-30;3;5,9;34,426667;28,969333;24,3;16;
2010-12-31;11;170,7;31,783871;26,879355;22,593548;4,6;
2011-01-31;6;33,7;31,364516;26,943226;22,503226;4,6;
2011-02-28;8;93,7;31,742857;27,257143;23,271429;5;
2011-03-31;19;280,5;30,822581;26,017419;22,274194;4,6;
2011-04-30;4;23,6;31,146667;26,966667;23,32;4,6;
2011-05-31;1;3,2;30,719355;26,631613;22,964516;5,3;
2011-06-30;1;1,4;30,766667;25,839333;21,716667;6,1;
2011-07-31;0;0;29,854839;25,318065;21,3;6,1;
2011-08-31;1;,8;31,613333;26,300645;21,803333;6,8;
2011-09-30;0;0;31,914815;26,435333;21,518519;6,1;
2011-10-31;4;72,4;32,829032;27,794839;23,574194;6;
2011-11-30;4;72,9;31,513333;27,064;23,113793;5,8;
2011-12-31;3;20,9;32,603226;27,871613;23,753333;5,8;
2012-01-31;2;8,2;32,854839;28,182581;24,029032;6,6;
2012-02-29;7;79,3;31,562069;27,343448;23,448276;6,5;
2012-03-31;2;15,6;33,458065;28,755484;24,141935;4,6;
2012-04-30;0;0;33,733333;28,911333;24,316667;5,1;
2012-05-31;0;0;32,235484;27,571613;23,464516;6,6;
2012-06-30;0;0;31,133333;26,625333;22,86;5,3;
2012-07-31;0;0;30,564516;25,553548;21,325806;5,8;
2012-08-31;0;0;30,687097;25,105161;20,335484;6;
2012-09-30;0;0;32,962069;27,158;22,241379;5;
2012-10-31;0;0;34,332258;28,540645;23,290323;9,1;
2012-11-30;9;106,4;32,86;27,922667;23,78;6;
2012-12-31;3;16,1;34,147826;28,102727;23,231818;null;
2013-01-31;7;47,4;32,958065;27,827097;23,954839;null;
2013-02-28;0;0;35,103571;29,067143;24,575;null;
2013-03-31;6;78,3;34,532258;28,956774;24,425806;null;
2013-04-30;7;87,1;32,54;27,579333;23,596667;null;
2013-05-31;null;0;32,216129;27,134194;23,363333;null;
2013-06-30;null;0;31,72;26,642667;22,473333;null;
2013-07-31;2;1,6;31,483871;25,731613;21,26129;null;
2013-08-31;null;0;31,867742;25,888387;21,106452;null;
2013-09-30;null;0;33,603333;27,086;22,186667;null;
2013-10-31;3;9,8;34,616129;28,34129;23,506452;null;
2013-11-30;7;68,7;33,305556;27,75;23,403333;null;
2013-12-31;13;219,9;30,183333;25,932;22,274194;null;
2014-01-31;null;0;32,46129;27,567742;23,354839;null;
2014-02-28;null;68,2;32,010714;27,470714;23,603571;null;
2014-03-31;null;75,4;32,129032;27,423226;23,612903;null;
2014-04-30;null;173,7;30,576667;26,536;22,68;null;
2014-05-31;null;,4;30,206452;26,190323;22,587097;null;
2014-06-30;null;0;30,513333;25,531333;21,583333;null;
2014-07-31;null;3,2;29,906452;25,122581;21,270968;null;
2014-08-31;null;3,6;30,78;25,275333;20,764516;null;
2014-09-30;null;0;32,853333;26,851333;21,983333;null;
2014-10-31;null;0;33,290323;27,707742;23,283871;null;
2014-11-30;null;61,8;32,86;27,514667;23,193333;null;
2014-12-31;null;151;31,183871;26,540645;22,66129;null;
2015-01-31;null;1,3;33,580645;27,876129;23,332258;null;
2015-02-28;null;37,5;32,971429;27,463571;23,507143;null;
2015-03-31;null;26,2;33,522581;28,250323;23,712903;null;
2015-04-30;null;81,4;33,053333;27,860667;23,468966;null;
2015-05-31;null;,5;32,073333;27,114839;22,653333;null;
