Nome: PETROLINA
Codigo Estacao: 82983
Latitude: -9.3886111
Longitude: -40.52333332
Altitude: 372.54
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;2;74,6;34,509677;null;null;5,5;
2008-02-29;8;151,2;33,12069;27,8704;null;5;
2008-03-31;16;275,2;31,364516;26,417419;21,86;4,2;
2008-04-30;7;75,9;30,77;26,224;22,33;4,1;
2008-05-31;3;3,1;30,525806;25,389677;20,887097;5;
2008-06-30;3;5,7;29,653333;24,273333;18,98;6,7;
2008-07-31;1;,2;28,835484;23,530968;18,367742;7;
2008-08-31;0;0;30,93871;24,978065;19,190323;5,3;
2008-09-30;0;0;32,863333;26,709333;20,05;5;
2008-10-31;0;0;34,187097;28,025806;21,045161;7;
2008-11-30;0;0;35,58;29,631333;22,517241;5;
2008-12-31;6;63,1;33,464516;27,939355;22,348387;5;
2009-01-31;4;40,4;34,167742;28,189677;22,883871;5;
2009-02-28;11;140,4;32,139286;27,005714;22,132143;4,7;
2009-03-31;7;145,4;33,070968;27,771613;23,993548;4,1;
2009-04-30;15;181,2;30,64;26,454667;23,48;4,3;
2009-05-31;11;59,3;29,077419;25,28;22,658065;4,7;
2009-06-30;6;8,1;29,573333;24,852;21,466667;5;
2009-07-31;2;3,4;30,293548;25,139355;20,951613;5;
2009-08-31;3;3,4;31,093548;25,612903;21,080645;5;
2009-09-30;0;0;34,076667;28,059333;22,496667;5,4;
2009-10-31;9;106,1;33,429032;28,216774;23,506452;4,2;
2009-11-30;0;0;34,58;29,058;23,736667;5;
2009-12-31;9;60;33,867742;28,572903;24,216129;5;
2010-01-31;7;28,3;33,490323;28,172258;23,609677;4,2;
2010-02-28;7;28,4;34,775;29,124286;24,489286;5;
2010-03-31;6;26,8;34,26129;28,844516;24,670968;5;
2010-04-30;7;84,2;32,133333;27,14;23,62;5;
2010-05-31;1;9,6;32,964516;27,554194;23,058065;4,5;
2010-06-30;7;10,3;29,886667;25,110667;21,473333;5,8;
2010-07-31;5;21,6;29,087097;24,18129;20,354839;4,7;
2010-08-31;0;0;30,122581;24,372903;19,845161;9,2;
2010-09-30;2;4;31,813333;25,936667;20,81;5,3;
2010-10-31;3;54;34,232258;28,524516;23,209677;5;
2010-11-30;1;1,1;35,193103;29,590667;23,810345;5;
2010-12-31;8;151,2;32,729032;27,589032;23,5;4,2;
2011-01-31;6;62,2;32,403226;27,607097;23,174194;4,1;
2011-02-28;7;66,4;33,260714;27,791429;23,489286;4,7;
2011-03-31;12;63,5;32,677419;27,460645;23,548387;14,3;
2011-04-30;10;47;32,523333;26,974;22,973333;4,2;
2011-05-31;4;9,4;30,706452;25,969677;22,309677;5;
2011-06-30;0;0;30,583333;25,364;21,01;5;
2011-07-31;0;0;29,954839;24,785161;20,222581;5;
2011-08-31;2;5,8;31,722581;26,01871;20,525806;5,3;
2011-09-30;0;0;31,963333;26,262667;20,836667;5,7;
2011-10-31;3;9,4;33,445161;27,99871;22,8;7,2;
2011-11-30;3;8,5;33,41;28,149333;23,39;5,2;
2011-12-31;2;10,7;34,719355;29,267742;23,993548;5,7;
2012-01-31;2;28,9;34,467742;29,139355;24,009677;6,7;
2012-02-29;6;85,2;32,972414;27,765517;22,972414;5;
2012-03-31;1;,2;34,880645;29,295484;23,790323;4,7;
2012-04-30;0;0;34,356667;28,836667;23,493333;5;
2012-05-31;1;,4;32,348387;27,257419;22,803226;4,7;
2012-06-30;3;2,3;31,52;26,326;21,6;5;
2012-07-31;2;1,2;30,122581;24,811613;20,276667;5;
2012-08-31;2;1,8;30,316667;24,736129;19,85;5;
2012-09-30;0;0;32,703333;26,822667;21,103333;7,7;
2012-10-31;0;0;33,83871;28,181935;22,180645;5;
2012-11-30;4;19,3;34,733333;29,347333;24,65;5;
2012-12-31;1;1,8;35,029032;29,672258;24,351613;5;
2013-01-31;4;30;34,390323;29,404516;24,703226;5,3;
2013-02-28;0;0;35,407143;30,150714;24,589286;5;
2013-03-31;3;54,8;35,36129;30,306452;24,96129;5;
2013-04-30;5;33,8;33,3;28,526;24,37;5;
2013-05-31;3;1,8;32,174194;26,947742;22,919355;5;
2013-06-30;1;6,8;31,02;26,114;22,03;5;
2013-07-31;3;13,6;30,483871;25,214194;20,96129;5;
2013-08-31;3;4,6;30,683871;25,408387;20,648387;5;
2013-09-30;1;,4;33;27,242;21,583333;5;
2013-10-31;null;0;34;28,340645;22,909677;6,3;
2013-11-30;6;33,6;33,553333;28,242;22,976667;5,8;
2013-12-31;16;155;32,66129;27,67871;23,448387;4,7;
2014-01-31;null;28,6;33,154839;28,308387;23,36129;5,8;
2014-02-28;null;37,5;33,382143;28,333571;23,721429;6,7;
2014-03-31;null;56,7;33,829032;28,823871;24,212903;4,7;
2014-04-30;null;179,8;31,916667;27,532;23,756667;5;
2014-05-31;null;1,6;30,658065;26,100645;22,154839;5;
2014-06-30;null;1,3;30,46;25,472667;21,316667;5;
2014-07-31;null;26,3;29,890323;24,813548;20,596774;5,8;
2014-08-31;null;2,4;30,325806;24,929677;20,290323;5,8;
2014-09-30;null;7,2;33,003333;27,171333;21,553333;5,5;
2014-10-31;null;0;33,23871;27,896774;22,554839;5,8;
2014-11-30;null;91,4;33,783333;28,452;23,51;5,3;
2014-12-31;null;47,9;32,187097;27,172903;22,987097;4,7;
2015-01-31;null;12;34,216129;28,672903;23,258065;5;
2015-02-28;null;34,6;34,007143;28,482857;23,871429;5,3;
2015-03-31;null;27,1;34,158065;28,86129;24,064516;4,7;
2015-04-30;null;78,2;33,313333;28,267333;23,87;5;
2015-05-31;null;,8;31,793548;26,767742;23;6,7;
2015-06-30;null;2,4;30,453333;25,362667;21,673333;5,3;
2015-07-31;null;2,6;30,654839;25,236774;20,858065;5;
2015-08-31;null;,1;31,458065;25,591613;20,558065;5;
2015-09-30;null;0;34,09;28,064;21,996667;5;
2015-10-31;null;13,7;34,596774;29,003226;23,167742;5,8;
2015-11-30;null;0;36,636667;30,944;24,783333;5;
2015-12-31;null;3,6;35,932258;30,225806;24,829032;6;
2016-01-31;null;281,9;31,63871;26,888387;23,358065;5;
2016-02-29;null;26;32,351724;27,624828;23,082759;5;
2016-03-31;null;12,5;34,935484;29,683226;24,583871;5;
2016-04-30;null;2,7;34,233333;29,06;24;5;
2016-05-31;null;,2;32,922581;27,655484;23,058065;5;
2016-06-30;null;1,2;31,563333;26,182;21,7;5,7;
2016-07-31;null;1;31,225806;25,509032;20,596774;6,7;
2016-08-31;null;,6;31,93871;26,172903;20,590323;6,7;
2016-09-30;null;0;33,573333;27,768;22,213333;6;
2016-10-31;null;,2;35,032258;29,265806;23,522581;5;
2016-11-30;null;16,5;35,256667;29,611333;24,153333;5,8;
2016-12-31;null;11,6;35,374194;30,030323;24,829032;4,8;
2017-01-31;null;0;35,516129;30,172258;24,364516;5;
2017-02-28;null;81,5;34,396429;29,345714;24,482143;5;
2017-03-31;null;10,2;34,606452;29,516129;24,793548;6;
2017-04-30;null;7,7;33,74;28,698;24,29;5,8;
2017-05-31;null;3;32,216129;27,493548;23,264516;4,7;
2017-06-30;null;2,6;30,6;25,644;21,486667;5;
2017-07-31;null;,3;28,329032;23,751613;19,9;5,3;
2017-08-31;null;0;31,312903;25,851613;20,706452;5;
2017-09-30;null;6,3;30,593333;24,976667;20,683333;5;
2017-10-31;null;0;34,077419;28,133548;22,325806;5;
2017-11-30;null;22,2;34,843333;29,705333;24,37;5;
2017-12-31;null;13,6;34,677419;29,563871;24,554839;5;
2018-01-31;null;22,4;34,26129;28,986452;24,109677;6,7;
2018-02-28;null;118,9;32,192857;27,905;24,082143;4,3;
2018-03-31;null;78,7;33,090323;28,125161;24,141935;5;
2018-04-30;null;28,5;32,08;27,22;23,073333;5;
2018-05-31;null;13,2;31,73871;26,513548;22,203226;5;
2018-06-30;null;2,6;30,946667;25,572;21,12;5;
2018-07-31;null;0;30,906452;25,525806;20,696774;5;
2018-08-31;null;1,2;32;26,370323;21,012903;5,5;
2018-09-30;null;0;33,746667;27,923333;22,143333;5,3;
2018-10-31;null;9,7;34,748387;29,191613;23,919355;5;
2018-11-30;null;0;34,65;29,667333;24,36;5,2;
2018-12-31;null;48,4;32,806452;27,73871;23,512903;5,7;
2019-01-31;null;9,8;34,837037;29,419259;24,177778;5;
2019-02-28;null;68,4;34,475;29,332143;24,657143;5,1444;
2019-03-31;null;63,5;34,025806;28,563226;24,358065;5,1444;
2019-04-30;null;13,8;33,693333;28,676667;24,483333;5,1444;
2019-05-31;null;21,6;33,709677;28,393548;23,845161;5,1444;
2019-06-30;null;8,2;30,856667;25,646207;21,67931;5,1444;
2019-07-31;null;1,6;30,754167;25,33913;20,923077;5,1444;
2019-08-31;null;3,9;31,054839;25,356129;20,651613;5,65884;
2019-09-30;null;1;33,506667;27,531333;22,023333;5,1444;
2019-10-31;null;5,7;34,92;28,988667;23,016129;5,65884;
2019-11-30;null;,8;36,274074;30,108889;24,246667;5,1444;
2019-12-31;null;23,3;35,396774;30,214194;24,654839;5,1444;

