Nome: PAO DE ACUCAR
Codigo Estacao: 82990
Latitude: -9.74916666
Longitude: -37.43083332
Altitude: 20.86
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;null;null;null;null;null;null;
2008-02-29;4;95,4;36,87931;29,446897;24,003448;5;
2008-03-31;12;119;34,316129;28,504516;23,722581;5;
2008-04-30;7;24,4;33,903333;28,449333;23,696552;3;
2008-05-31;19;123,9;29,966667;26,121333;22,554839;5;
2008-06-30;18;75,3;null;null;21,17;3;
2008-07-31;18;103;null;null;20,277419;5;
2008-08-31;17;39,8;null;null;20,632258;5;
2008-09-30;6;13;32,286667;26,464;21,293333;5;
2008-10-31;6;7,1;34,080645;27,785161;21,703226;5;
2008-11-30;0;0;36,853333;30,001333;22,686667;5;
2008-12-31;2;16,6;37,348387;30,516129;23,406452;5;
2009-01-31;null;null;null;null;null;null;
2009-02-28;5;39,3;36,067857;29,368571;24,067857;5;
2009-03-31;0;0;37,583871;30,752903;24,141935;7;
2009-04-30;10;107,9;35,273333;29,342667;24,08;5;
2009-05-31;24;174,1;30,206667;26,727097;23,729032;3;
2009-06-30;18;121,1;29,913333;25,953333;22,096667;3;
2009-07-31;22;63,6;29,129032;24,949032;21,354839;3;
2009-08-31;22;98,6;29,419355;24,915484;21,158065;5;
2009-09-30;7;13,8;32,006667;26,288;20,84;5;
2009-10-31;2;9;35,648387;29,067742;22,377419;5;
2009-11-30;0;0;36,466667;29,715333;22,83;5;
2009-12-31;null;0;null;null;null;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;7;91,1;35,507143;29,213571;22,985714;5;
2010-03-31;7;28,6;36,045161;29,405806;24,025806;5;
2010-04-30;9;67,1;34,544444;28,808889;24,322222;5;
2010-05-31;8;37,3;33,382759;27,717241;22,848276;3;
