Nome: PALMEIRA DOS INDIOS
Codigo Estacao: 82992
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 277.98
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;2;3,7;33,148387;26,270323;21,732258;7,3;
2008-02-29;5;38;34,062069;27,015862;22,341379;6;
2008-03-31;16;166,6;31,929032;26,114839;22,103226;6,8;
2008-04-30;11;96,8;30,55;25,499333;21,833333;5,6;
2008-05-31;27;355,8;27,632258;23,721935;21,012903;5;
2008-06-30;23;102,3;26,456667;22,358;19,54;5;
2008-07-31;22;157,1;25,76129;21,7;19,090323;4,8;
2008-08-31;26;94,3;26,63871;22,06;18,906452;5;
2008-09-30;13;34,7;28,54;23,144;19,526667;6,5;
2008-10-31;11;24,5;30,454839;24,209032;19,987097;6,6;
2008-11-30;0;0;33,546667;26,086;20,88;9;
2008-12-31;3;12;34,229032;26,79871;21,825806;6,1;
2009-01-31;1;3,4;34,212903;27,045161;22,080645;6,6;
2009-02-28;11;68,4;32,392857;26,231429;22,025;7;
2009-03-31;5;48,8;33,112903;26,83871;22,380645;6,6;
2009-04-30;12;104,7;32,27;26,476;22,546667;6,6;
2009-05-31;26;302,4;28,393548;24,431613;21,870968;5,8;
2009-06-30;22;180,2;27,356667;23,366;20,62;5;
2009-07-31;24;114;27,396774;22,909032;19,532258;4,5;
2009-08-31;22;136,2;27,193548;22,680645;19,632258;6;
2009-09-30;8;20;29,813333;23,931333;19,753333;6,5;
2009-10-31;2;14,2;33,009677;26,017419;21,087097;7,1;
2009-11-30;0;0;33,526667;26,227333;20,81;7,6;
2009-12-31;4;36,1;33,754839;26,773548;21,841935;7,3;
2010-01-31;7;79,2;32,374194;26,3;21,622581;6,1;
2010-02-28;7;35,9;32,371429;26,476429;21,696429;5,6;
2010-03-31;8;94;33,883871;27,326452;22,53871;4,5;
2010-04-30;15;288,8;30,893333;26,010667;22,303333;3,8;
2010-05-31;13;28,5;30,293548;25,321935;21,470968;5,3;
2010-06-30;27;351;27,163333;23,585333;20,986667;4;
2010-07-31;23;160,2;26,751613;22,487742;19,490323;4,3;
2010-08-31;15;64,5;26,480645;21,976129;18,709677;6,1;
2010-09-30;16;81;27,896667;22,708;18,966667;5,8;
2010-10-31;5;63;31,032258;24,982581;20,735484;5,8;
2010-11-30;2;2,2;32,793333;25,764667;20,9;8,1;
2010-12-31;3;30,8;33,232258;26,52;21,741935;6,5;
2011-01-31;7;77;32,36129;25,925806;21,377419;6,6;
2011-02-28;6;33,7;32,9;26,337143;21,467857;7,6;
2011-03-31;5;27,9;34,464516;27,33871;22,170968;6,3;
2011-04-30;19;171;30,71;25,544;21,963333;5,1;
2011-05-31;22;314,8;27,519355;23,838065;21,341935;4,3;
2011-06-30;14;105,5;27,433333;23,101333;20,143333;6;
2011-07-31;29;218,3;25,667742;21,816774;18,970968;5,3;
2011-08-31;14;94,5;27,367742;22,256129;18,329032;4,8;
2011-09-30;15;83,1;27,176667;22,396667;18,786667;5,8;
2011-10-31;4;30,4;30,574194;24,437419;19,912903;5;
2011-11-30;6;67,9;30,746667;24,808;20,456667;4,8;
2011-12-31;0;0;33,490323;26,227742;20,83871;4,6;
2012-01-31;4;7;32,813333;25,936129;20,912903;4;
2012-02-29;7;91;31,986207;25,552414;20,913793;4,2;
2012-03-31;3;3,9;32,448387;25,764516;20,935484;4,62996;
2012-04-30;6;22,8;31,793333;25,379333;20,33;4,6;
2012-05-31;8;62,9;31,106452;24,860645;20,374194;3,8;
2012-06-30;14;58,8;28,5;23,439333;19,83;3,3;
2012-07-31;22;98,6;26,758065;22,214839;18,877419;3,6;
2012-08-31;22;100,7;26,874194;22,129032;18,787097;5,3;
2012-09-30;7;13,7;28,823333;22,984;18,673333;6,3;
2012-10-31;6;33;30,348387;24,245161;20,06129;7,3;
2012-11-30;1;,6;34,386667;26,677333;21,123333;7,1;
2012-12-31;1;4,6;33,919355;26,68;21,816129;6,6;
2013-01-31;5;9,2;34,383871;27,194839;22,23871;7,1;
2013-02-28;4;4,6;33,921429;26,946429;22,125;7;
2013-03-31;3;2,2;34,080645;27,41871;22,809677;6,3;
2013-04-30;11;140,2;32,95;26,597333;22,173333;6,6;
2013-05-31;14;127,4;29,267742;24,610323;21,103226;5;
2013-06-30;18;77,4;27,906667;23,469333;19,96;4;
2013-07-31;26;151,1;26,793548;22,463871;19,090323;5;
2013-08-31;21;101,3;26,770968;22,378065;19,058065;5,3;
2013-09-30;12;20,2;28,98;23,230667;19,266667;6,1;
2013-10-31;8;78,2;30,735484;24,520645;20,141935;6,6;
2013-11-30;4;5,6;32,003333;25,449333;20,773333;7,5;
2013-12-31;4;65,6;33,741935;26,833548;21,732258;7;
2014-01-31;null;13,6;33,232258;26,250323;20,858065;7,1;
2014-02-28;null;43,3;32,667857;26,002857;21,071429;5,8;
2014-03-31;null;35,5;32,767742;26,517419;21,677419;6,1;
2014-04-30;null;80,6;32,276667;26,449333;22,05;5;
2014-05-31;null;156,6;28,625806;24,316129;20,983871;4,3;
2014-06-30;null;92,3;27,813333;23,292667;19,863333;5;
2014-07-31;null;104,1;27,219355;22,470968;19,087097;5,6;
2014-08-31;null;98,4;27,203226;22,263871;18,632258;5,5;
2014-09-30;null;72,9;28,906667;23,328;19,253333;6,3;
2014-10-31;null;157;29,122581;23,787097;19,909677;6,8;
2014-11-30;null;15,8;31,84;25,514667;21,02;6,6;
2014-12-31;null;19,2;32,658065;25,848387;20,819355;7,3;
2015-01-31;null;5;33,677419;26,450323;21,435484;7,6;
2015-02-28;null;30,8;33,317857;26,621429;21,410714;6,6;
2015-03-31;null;14,9;33,764516;26,952903;22,083871;6;
2015-04-30;null;52,4;34,32;27,31;22,206667;5,1;
2015-05-31;null;69,1;31,490323;25,704516;21,509677;5,3;
2015-06-30;null;154,3;28,02;23,448667;20,383333;5,5;
2015-07-31;null;141,5;26,974194;22,704516;19,706452;5;
2015-08-31;null;53,2;27,716129;22,537419;18,693548;5,3;
2015-09-30;null;16,8;30,356667;24,04;19,656667;6,6;
2015-10-31;null;9,7;31,993548;25,126452;20,332258;6,6;
2015-11-30;null;1;35,04;26,993333;20,956667;7,6;
2015-12-31;null;20,6;33,877419;26,745161;21,632258;7,5;
2016-01-31;null;74,9;33,316129;27,035484;22,393548;7,5;
2016-02-29;null;6,4;33,468966;26,841379;22,031034;5;
2016-03-31;null;26,5;33,551613;27,22129;22,654839;4,8;
2016-04-30;null;61;31,47;26,052667;22,053333;4;
2016-05-31;null;80,3;29,903226;24,910968;21,125806;3,8;
2016-06-30;null;57,4;29,32;24,021333;20,31;4,5;
2016-07-31;null;61,6;27,8;22,63871;18,683871;5;
2016-08-31;null;16,5;29,254839;23,330968;18,751613;4,5;
2016-09-30;null;12,5;31,163333;24,51;19,81;4,6;
2016-10-31;null;15,4;32,887097;25,955484;21,112903;10;
2016-11-30;null;12,1;33,57;26,532667;21,526667;5;
2016-12-31;null;3,4;34,412903;27,178065;21,906452;4,8;
2017-01-31;null;1,6;33,854839;26,96129;22,070968;4,5;
2017-02-28;null;2,2;34,246429;27,165714;21,907143;4;
2017-03-31;null;1;34,566667;27,743333;22,866667;3,8;
2017-04-30;null;118,8;32,066667;26,373333;22,24;3,5;
2017-05-31;null;321,2;29,06;24,5504;20,446154;3;
2017-06-30;null;187;26,946667;22,806;18,843333;1,6;
2017-07-31;null;270,8;24,887097;21,089032;17,33871;3;
2017-08-31;null;129,4;26,790323;22,147097;18,293548;2,8;
2017-09-30;null;112,6;27,37;22,355333;18,82;3;
2017-10-31;null;36,2;29,393548;23,857419;19,941935;3,8;
2017-11-30;null;,4;32,893333;26,112;21,02;4,5;
2017-12-31;null;0;null;null;null;null;
2018-01-31;null;26,3;32,667742;26,463226;21,590323;4,5;
2018-02-28;null;86,8;32,810714;26,477143;21,860714;4,2;
2018-03-31;null;12,2;33,36129;27,019355;22,4;3,8;
2018-04-30;null;98,8;30,22;25,112667;21,586667;3,5;
2018-05-31;null;97,9;28,903226;24,256774;20,96129;3,8;
2018-06-30;null;67,3;27,81;23,085333;19,843333;3,8;
2018-07-31;null;68,7;27,048387;22,479355;19,380645;3,2;
2018-08-31;null;9;29,316129;23,68;19,712903;3,9;
2018-09-30;null;43,5;30,153333;24,480667;20,76;4,8;
2018-10-31;null;0;33,580645;26,654194;22,125806;5,9;
2018-11-30;null;6;33,08;26,642;22,73;4;
2018-12-31;null;56,8;33,103226;26,85871;22,6;4;
2019-01-31;null;32,3;31,896774;26,403871;22,509677;3,8;
2019-02-28;null;11,4;34,367857;27,981538;23,710714;2;
2019-03-31;null;90,2;33,670968;27,80069;23,632258;3,08664;
2019-04-30;null;80;32,02;27,046207;22,97;2,05776;
2019-05-31;null;35,2;31,56129;26,318065;22,23871;1,54332;
2019-06-30;null;182,6;28,344828;24,425385;22,137931;5,1444;
2019-07-31;null;152,6;27,116667;23,598261;22,237037;5,1444;
2019-08-31;null;101,4;27,517241;null;null;4,11552;
2019-09-30;null;22,6;29,186207;null;null;3,08664;
2019-10-31;null;4,2;32,083871;null;null;1,54332;
2019-11-30;null;,4;34,513333;null;null;1,54332;
2019-12-31;null;9,4;34,445161;null;null;1,54332;

