Nome: PORTO DE PEDRAS
Codigo Estacao: 82996
Latitude: -9.162012
Longitude: -35.299881
Altitude: 42.21
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;10;28,9;30,541935;27,200645;24,303226;9;
2008-02-29;6;19,6;31,124138;27,624138;24,117241;9;
2008-03-31;20;580,9;29,893548;26,705806;23,529032;7;
2008-04-30;22;241;29,716667;26,746667;23,383333;7;
2008-05-31;26;476,8;28,674194;25,82;23,351613;12;
2008-06-30;27;259,3;27,44;24,932667;22,51;9;
2008-07-31;27;301,8;26,780645;24,375484;21,858065;12;
2008-08-31;23;209,6;27,080645;24,375484;21,7;9;
2008-09-30;11;39;28,253333;25,499333;23,413333;9;
2008-10-31;16;47,1;29,254839;26,044516;23,43871;9;
2008-11-30;8;13,7;30,133333;26,905333;24,316667;9;
2008-12-31;7;17,7;30,403226;27,16129;24,43871;9;
2009-01-31;10;98,9;30,490323;27,187742;23,63871;9;
2009-02-28;17;191,9;29,978571;27,044286;24,085714;9;
2009-03-31;10;149,6;30,309677;27,34129;23,622581;9;
2009-04-30;20;303,6;30,026667;27,126667;23,833333;12;
2009-05-31;26;436,1;28,53871;25,903871;23,496774;9;
2009-06-30;26;400,1;27,95;25,344;22,843333;9;
2009-07-31;29;250,5;27,512903;24,787097;22,203226;9;
2009-08-31;28;251,4;27,374194;24,890323;22,580645;9;
2009-09-30;14;55,5;28,38;25,864;23,28;9;
2009-10-31;10;15,4;29,145161;26,267097;22,490323;9;
2009-11-30;11;20,8;29,443333;26,820667;24,383333;9;
2009-12-31;13;25,8;29,874194;27,177419;24,654839;9;
2010-01-31;19;177;29,351613;26,75871;23,990323;9;
2010-02-28;16;67,4;30,171429;27,577143;25,010714;9;
2010-03-31;12;209,7;30,748387;27,672903;24,132258;9;
2010-04-30;22;208,4;30,096667;27,451333;24,493333;9;
2010-05-31;22;96,4;29,512903;26,886452;23,722581;9;
2010-06-30;24;460,3;28,206667;25,718667;23,006667;9;
2010-07-31;24;142,7;27,664516;24,976129;22,270968;9;
2010-08-31;25;115;27,151613;24,529032;21,754839;12;
