Nome: PORTO NACIONAL
Codigo Estacao: 83064
Latitude: -10.71083333
Longitude: -48.40638888
Altitude: 243.28
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;22;449;32,546667;26,813333;23,096774;4,1;
2008-02-29;23;292,3;null;null;23,310345;4;
2008-03-31;26;207,8;30,887097;25,835484;23,429032;3,3;
2008-04-30;17;203,9;31,943333;null;null;3,1;
2008-05-31;7;28,8;33,329032;null;null;7;
2008-06-30;0;0;34,24;25,961176;18,988235;2,6;
2008-07-31;0;0;34,958065;26,090323;19,196774;2,6;
2008-08-31;0;0;37,151613;28,390323;21,241935;3,5;
2008-09-30;3;33,1;38,23;29,934667;23,216667;7,5;
2008-10-31;5;53,1;37,667742;30,231613;24,812903;4,62996;
2008-11-30;18;231,2;null;null;23,72;4,1;
2008-12-31;20;243,5;null;null;23,587097;6,3;
2009-01-31;18;97,4;null;null;23,829032;3,5;
2009-02-28;18;265;null;null;23,175;5;
2009-03-31;23;217,3;null;null;23,480645;3,1;
2009-04-30;16;198;null;null;23,986667;4,6;
2009-05-31;14;185,6;null;null;22,287097;4;
2009-06-30;3;10,2;null;null;22,162069;2,8;
2009-07-31;0;0;35,487097;26,782;20,403333;3,6;
2009-08-31;1;4;36,906452;28,790968;22,348387;4;
2009-09-30;6;46,5;36,166667;29,323333;24,243333;4;
2009-10-31;21;254,4;33,33871;27,239355;23,651613;4;
2009-11-30;18;315,6;33,527586;27,278621;23,27931;9;
2009-12-31;19;277,6;32,106452;26,472258;23,206452;4,8;
2010-01-31;18;294,6;33,064516;26,986;23,403226;3,5;
2010-02-28;13;199,2;33,514286;27,41;23,971429;6;
2010-03-31;24;428,6;33,264516;27,131613;23,703226;3,3;
2010-04-30;9;135,2;34,63;28,224667;23,936667;2,6;
2010-05-31;5;54,2;35,467742;28,754839;24,041935;3;
2010-06-30;1;,7;35,98;27,48;21,31;3;
2010-07-31;0;0;36,412903;27,665806;20,964516;3;
2010-08-31;0;0;37,329032;27,965806;20,1;3,5;
2010-09-30;0;0;38,75;30,195862;23,303448;5;
2010-10-31;11;73,6;35,880645;29,219355;24,845161;4,3;
2010-11-30;13;88;33,03;27,362667;23,856667;5,1;
2010-12-31;17;199,4;32,074194;26,963226;23,845161;4;
2011-01-31;24;354;31,258065;25,706452;22,529032;3,6;
2011-02-28;21;320,9;31,203571;25,500714;22,403571;3,6;
2011-03-31;23;341;31,625806;26,215484;23,203226;5,8;
2011-04-30;18;202,6;33,066667;26,930667;23,24;5;
2011-05-31;2;18,8;33,75;27,251333;22,62;3;
2011-06-30;0;0;35,182759;27,115862;21,17931;3,3;
2011-07-31;0;0;35,674194;26,984828;20,3;3,5;
2011-08-31;0;0;38,06129;null;null;3;
2011-09-30;0;0;38,47;null;null;4,5;
2011-10-31;14;124,7;34,380645;null;null;6,1;
2011-11-30;20;192,6;31,503333;null;null;3;
2011-12-31;20;234;32,467742;null;null;3;
2012-01-31;24;328,2;30,712903;null;null;5,8;
2012-02-29;22;373,9;31,52069;null;null;4;
2012-03-31;13;152,8;32,193548;null;null;3;
2012-04-30;11;155,4;34,033333;null;null;3;
2012-05-31;7;79,4;null;null;null;2,5;
2012-06-30;1;16,2;null;null;null;3,2;
2012-07-31;0;0;null;null;null;3,8;
2012-08-31;0;0;null;null;null;4;
2012-09-30;1;1;null;null;null;4;
2012-10-31;8;76;null;null;null;4,4;
2012-11-30;21;241,1;null;null;null;4;
2012-12-31;13;80,4;null;null;null;4,4;
2013-01-31;19;344,8;null;null;null;3,6;
2013-02-28;18;264,2;null;null;null;3,6;
2013-03-31;22;387,3;null;null;null;3,8;
2013-04-30;11;96,9;null;null;null;3;
2013-05-31;4;52,5;null;null;null;2,7;
2013-06-30;null;2,6;34,82;27,256667;21,103333;2,2;
2013-07-31;null;0;35,816129;27,747097;21,441935;2,4;
2013-08-31;null;11;37,422581;28,574194;20,809677;3,2;
2013-09-30;null;8,4;38;30,323333;23,986667;3,6;
2013-10-31;null;103,4;35,770968;28,944516;23,983871;3,2;
2013-11-30;null;181;33,26;26,964;22,733333;3;
2013-12-31;null;514;30,916129;25,897419;22,56129;2,6;
2014-01-31;null;225,7;31,906452;26,072258;22,132258;3,8;
2014-02-28;null;306,8;30,753571;25,700714;22,703571;3,4;
2014-03-31;null;226,4;31,758065;26,253333;22,848387;3,5;
2014-04-30;null;96;32,413333;27,118667;23,92;4,6;
2014-05-31;null;40,1;null;null;23,645161;5,7;
2014-06-30;null;0;null;null;21,666667;2,5;
2014-07-31;null;0;null;null;21,532258;3;
2014-08-31;null;3,9;null;null;21,7;4,3;
2014-09-30;null;71,1;null;null;24,226667;5,3;
2014-10-31;null;48,7;null;null;24,016129;3,3;
2014-11-30;null;185,5;null;null;24,16;4,5;
2014-12-31;null;326;null;null;23,512903;4,6;
2015-01-31;null;126,1;null;null;22,980645;3,6;
2015-02-28;null;205,3;null;null;22,6;4,3;
2015-03-31;null;271;null;null;23,048387;3,3;
2015-04-30;null;398,2;null;null;23,35;3,8;
2015-05-31;null;36,3;null;null;23,196774;3,1;
2015-06-30;null;0;null;null;21,47;3;
2015-07-31;null;,7;null;null;21,254839;3;
2015-08-31;null;0;null;null;20,98;4,11552;
2015-09-30;null;10,9;null;null;23,743333;5;
2015-10-31;null;60;null;null;24,564516;3,8;
2015-11-30;null;68;null;null;24,036667;7,3;
2015-12-31;null;115,4;35,186364;28,618182;23,96129;6;
2016-01-31;null;456;31,458065;26,457419;23,393548;3,60108;
