Nome: ARACAJU
Codigo Estacao: 83096
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.68
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;8;27,9;30,554839;27,236774;24,754839;4,1;
2008-02-29;2;133,2;31,546154;27,808276;24,541379;5;
2008-03-31;14;272,5;30,748387;27,356774;24,158065;4,1;
2008-04-30;18;131,5;30,326667;27,268667;24,08;4,1;
2008-05-31;19;366;29,4;26,486452;23,651613;5,8;
2008-06-30;18;113,4;28,63;25,553333;22,356667;5;
2008-07-31;22;144,1;27,529032;24,712903;21,648387;5;
2008-08-31;22;83,8;27,993548;25,112258;22,058065;4,1;
2008-09-30;7;39,4;28,976667;25,974;23,193333;4,1;
2008-10-31;9;32,7;30,006452;26,765161;23,767742;5;
2008-11-30;3;4;31,27;27,446;23,646667;5;
2008-12-31;5;15,6;30,26129;27,352258;24,677419;5;
2009-01-31;6;18,4;30,435484;27,503226;24,525806;8;
2009-02-28;12;44,2;30,535714;27,519286;24,646429;4,1;
2009-03-31;7;41,3;30,829032;27,871613;24,787097;5;
2009-04-30;11;156,1;30,866667;27,74;24,76;5,8;
2009-05-31;27;515,8;29;26,095484;23,680645;5,8;
2009-06-30;15;103,4;29,116667;26,25;23,226667;4,1;
2009-07-31;18;121,8;28,564516;25,652903;22,703226;3,3;
2009-08-31;22;169,4;28,306452;25,212258;22,477419;3,6;
2009-09-30;12;78,8;29,07;26,116667;23,053333;5;
2009-10-31;7;28,5;29,977419;27,042581;23,977419;5;
