Nome: PROPRIA
Codigo Estacao: 83097
Latitude: -10.21376
Longitude: -36.842198
Altitude: 18.46
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;7;7;33,187097;27,174194;22,319355;6,7;
2008-02-29;4;71,6;34,465517;27,93931;23,093103;8,6;
2008-03-31;17;192,3;32,776667;27,496667;23,380645;5;
2008-04-30;12;76,5;31,78;26,885333;23,073333;4,8;
2008-05-31;25;167,4;29,025806;25,112903;22,245161;4,7;
2008-06-30;18;101,9;28,3;23,905333;20,753333;4,7;
2008-07-31;20;134,6;27,354839;23,091613;19,916129;null;
2008-08-31;17;59,3;28,1;23,350323;19,903226;5;
2008-09-30;6;18;29,916667;24,667333;20,343333;6,3;
2008-10-31;4;6,8;31,829032;25,979355;21,051613;6,8;
2008-11-30;1;2;33,65;27,235333;22,043333;6,5;
2008-12-31;2;10;34,196774;27,840645;22,73871;null;
2009-01-31;4;18,6;34,393548;27,976129;22,648387;null;
2009-02-28;8;54,3;33,067857;27,577857;22,975;null;
2009-03-31;3;17,3;34,458065;28,309677;23,174194;5,8;
2009-04-30;8;82,9;33,633333;28,067333;23,613333;6,5;
2009-05-31;25;472;29,506452;25,625161;22,7;5;
2009-06-30;19;158,2;29,18;25,03;21,693333;4,7;
2009-07-31;21;146,5;28,641935;24,282581;21,019355;5;
2009-08-31;25;186,9;28,329032;24,266452;20,858065;6,2;
2009-09-30;11;30,9;30,33;25,109333;20,696667;5,8;
2009-10-31;5;11,6;33,312903;27,195484;22,345161;6,6;
2009-11-30;1;3,6;33,423333;27,336667;21,65;8;
2009-12-31;4;38,1;33,903226;27,891613;22,822581;6,6;
2010-01-31;13;43,7;33,232258;27,639355;22,693548;6,1;
2010-02-28;14;33,3;33,4;27,989286;23,432143;5,6;
2010-03-31;7;13;35,109677;28,970323;24,483871;6,6;
2010-04-30;17;200,6;32,576667;27,632667;23,353333;7,3;
2010-05-31;16;103,3;31,151613;26,334194;22,425806;5,5;
2010-06-30;23;231,8;28,953333;24,786667;21,526667;5;
2010-07-31;25;164,2;28,290323;23,921935;20,419355;6,6;
2010-08-31;22;99,1;27,958065;23,370968;19,793548;5,5;
2010-09-30;16;87,1;28,976667;24,030667;19,88;9,5;
2010-10-31;5;12,5;32,345161;26,391613;21,609677;6,5;
2010-11-30;3;1,4;33,403333;27,114667;22,15;6,5;
2010-12-31;2;1,9;34,006452;27,852258;23,212903;7,8;
2011-01-31;9;49,7;32,996774;27,456774;22,745161;6,8;
2011-02-28;6;20,3;33,228571;27,58;22,835714;6,6;
2011-03-31;6;7,7;35,180645;28,666452;23,590323;6;
2011-04-30;21;273,1;31,82;26,892;22,96;7,1;
2011-05-31;23;261,3;29,206452;25,449677;22,448387;4,5;
2011-06-30;14;72,5;29,066667;24,302;20,836667;4,1;
2011-07-31;24;155;27,748387;23,417419;20,032258;11,5;
2011-08-31;15;67,6;29,1;23,683226;19,535484;5;
2011-09-30;12;70,9;28,746667;23,796;19,786667;5,8;
2011-10-31;7;32,9;31,522581;26,036774;21,76129;6;
2011-11-30;8;79,4;31,94;26,457333;21,893333;null;
2011-12-31;3;9;33,687097;27,491613;22,603226;6,6;
2012-01-31;5;7,7;33,158065;27,224516;22,735484;6,1;
2012-02-29;6;61,4;32,465517;27,134483;22,851724;6;
2012-03-31;7;45,1;32,487097;26,954839;22,96129;6,6;
2012-04-30;5;8,5;32,88;27,007333;22,906667;7,8;
2012-05-31;9;73,1;31,680645;26,192258;22,506452;5;
2012-06-30;16;110;29,663333;25,001333;22,486667;5;
