Nome: MORRO DO CHAPEU
Codigo Estacao: 83184
Latitude: -11.547494
Longitude: -41.151165
Altitude: 1001.66
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;3;5,2;29,009677;22,675484;17,622581;6;
2008-02-29;12;95,7;29,227586;22,727586;18,45;6;
2008-03-31;11;66,2;27,696774;22,063226;18,480645;6;
2008-04-30;14;46,5;27,65;22,012;18,433333;5;
2008-05-31;10;21,6;25,132258;20,102581;16,709677;7;
2008-06-30;18;36,8;23,046667;18,193333;15,26;7;
2008-07-31;18;22;22,006452;16,98129;13,951613;7;
2008-08-31;11;16,5;24,332258;18,651613;15,006452;6;
2008-09-30;5;11,4;26,09;19,936667;15,973333;6;
2008-10-31;6;12,8;27,822581;21,25871;16,645161;6,17328;
2008-11-30;3;2,6;29,283333;22,927333;17,543333;6,2;
2008-12-31;10;129,4;27,296774;21,737419;18,232258;6;
2009-01-31;15;112;28,306452;22,403226;18,458065;7;
2009-02-28;5;29,3;28,678571;22,607143;18,460714;6;
2009-03-31;4;13,8;30,63871;23,96129;19,283871;6;
2009-04-30;19;160,1;26,59;21,706667;18,66;5;
2009-05-31;15;26,6;24,067742;19,929677;17,309677;6;
2009-06-30;16;23,5;23,493333;18,979333;16,35;5;
2009-07-31;13;22,8;24,090323;18,856774;15,693548;7;
2009-08-31;17;25,2;24,074194;18,803226;15,470968;7;
2009-09-30;5;8,9;27,8;21,250667;16,8;7;
2009-10-31;11;208,8;27,222581;21,70129;18,129032;7,5;
2009-11-30;3;8,7;27,42;21,640667;17,64;7;
2009-12-31;7;66,8;27,587097;22,299355;18,467742;7;
2010-01-31;8;45,9;28,158065;22,303226;18,329032;6;
2010-02-28;8;29,4;28,560714;23,002143;18,760714;6;
2010-03-31;14;235,6;28,216129;22,729677;19,316129;5;
2010-04-30;17;137,4;26,073333;21,340667;18,55;6;
2010-05-31;6;14,3;25,990323;21,094194;18,206452;5;
2010-06-30;8;17,3;23,663333;18,930667;15,893333;7;
2010-07-31;24;58;22,151613;17,789032;15,21;7;
2010-08-31;10;10,1;22,935484;17,705161;14,264516;7;
2010-09-30;17;22;25,13;19,216667;15,446667;7;
2010-10-31;7;66,3;28,519355;22,228387;17,906452;7;
2010-11-30;6;11,3;28,23;22,411333;18,126667;6;
2010-12-31;11;179,9;27,635484;22,199355;18,509677;6;
2011-01-31;12;16,7;26,670968;21,460645;17,958065;5;
2011-02-28;8;50,2;27,846429;22,277857;18,457143;6;
2011-03-31;11;105,9;28,387097;22,850968;19,174194;5;
2011-04-30;15;21,6;26,736667;21,475333;18,16;7;
2011-05-31;16;25,9;23,809677;19,561935;16,954839;6;
2011-06-30;12;13;24,23;18,902667;15,653333;5;
2011-07-31;16;20,3;23,441935;17,841935;14,548387;7;
2011-08-31;9;16;25,351613;19,010323;14,964516;7;
2011-09-30;5;5,8;25,063333;18,856667;14,836667;7;
2011-10-31;11;56,5;26,43871;20,916129;16,996774;6;
2011-11-30;10;21,8;25,6;20,431333;16,883333;5;
2011-12-31;5;84,8;27,922581;21,892903;17,790323;6;
2012-01-31;7;36;27,96129;22,030968;17,358065;7;
2012-02-29;9;57,9;28,02069;21,856552;17,548276;6;
2012-03-31;3;12,5;29,864516;22,828387;17,622581;6;
2012-04-30;1;,1;28,723333;22,058;17,553333;7;
2012-05-31;13;25;25,829032;20,269677;17,033333;5;
2012-06-30;9;19;24,836667;19,444;16,43;6;
2012-07-31;15;20,6;23,264516;18,089677;14,83871;7;
2012-08-31;19;30,1;23,080645;17,683226;14,283871;7;
2012-09-30;3;,6;26,333333;19,986667;15,446667;7;
2012-10-31;5;1,9;27,870968;21,276774;16,451613;7;
2012-11-30;12;145;26,436667;21,736;18,41;5;
2012-12-31;3;24,2;28,841935;22,555484;17,703226;6;
2013-01-31;9;142,5;28,280645;22,654194;18,535484;7;
2013-02-28;3;1,4;28,289286;22,515;18,357143;6;
2013-03-31;2;5,4;29,619355;23,466452;18,883871;6;
2013-04-30;11;57,2;26,927586;21,916667;18,137931;5;
2013-05-31;16;20,4;25,712903;20,819355;17,654839;6;
2013-06-30;23;37,6;23,516667;19,212667;16,813333;5;
2013-07-31;18;29,9;23,219355;18,410323;15,574194;5;
2013-08-31;15;19,5;24,145161;18,590323;15,23871;6;
2013-09-30;10;13,4;26,54;20,257333;16,116667;6;
2013-10-31;7;22;28,083871;21,490968;16,880645;7;
2013-11-30;13;56,9;27,64;21,662667;17,35;6;
2013-12-31;12;150,6;26,835484;22,029032;18,812903;5;
2014-01-31;null;11,7;28,090323;22,072258;17,916129;6;
2014-02-28;null;40,7;27,182143;21,665714;17,907143;6;
2014-03-31;null;72,5;27,216129;21,72129;18,309677;5;
2014-04-30;null;100;27,333333;21,880667;18,563333;5;
2014-05-31;null;40,2;24,509677;19,996774;17,312903;6;
2014-06-30;null;36,8;23,34;18,759333;16,066667;6;
2014-07-31;null;36;22,754839;18,171613;15,587097;6;
2014-08-31;null;30,7;23,877419;18,182581;15,012903;6;
2014-09-30;null;10,9;26,666667;20,096;15,663333;6;
2014-10-31;null;28,3;27,467742;21,048387;16,454839;6;
2014-11-30;null;145,3;26,24;21,152667;17,713333;5,6;
2014-12-31;null;72,6;26,190323;21,136774;17,845161;5;
2015-01-31;null;13,2;27,535484;21,971613;17,896774;5;
2015-02-28;null;74,6;27,703571;22,187143;18,567857;5;
2015-03-31;null;7,7;28,7;22,837419;18,670968;6;
2015-04-30;null;61,3;27,365517;22,412667;19,11;5;
2015-05-31;null;37,8;24,506452;20,147742;17,545161;5;
2015-06-30;null;51,1;23,073333;18,798;16,373333;5;
2015-07-31;null;37,1;22,754839;18,180645;15,596774;6;
2015-08-31;null;38,2;23,535484;18,216774;15;7;
2015-09-30;null;2,7;28,123333;21,106;16,26;6;
2015-10-31;null;7,1;28,793548;22,04;17,164516;5;
2015-11-30;null;44;30,973333;24,014667;18,596667;6,17328;
2015-12-31;null;10,4;30,883871;23,985161;18,548387;6,17328;
2016-01-31;null;362,8;26,653333;22,253793;19,309677;6,17328;
2016-02-29;null;18,6;28,037931;22,415172;18,372414;6,17328;
2016-03-31;null;1,3;28,658065;22,986452;18,903226;5,1444;
2016-04-30;null;7,5;27,668966;22,054483;18,243333;6,17328;
2016-05-31;null;11,8;26,251613;20,77871;17,464516;6,17328;
2016-06-30;null;24,4;26,076667;19,623333;16,166667;5;
2016-07-31;null;21;24,266667;18,650667;15,245161;5,1444;
2016-08-31;null;30;25,706667;19,602;15,66129;6,17328;
2016-09-30;null;35;26,23;20,128;16,25;5,1444;
2016-10-31;null;33,2;28,190323;22,025161;17,606452;7,20216;
2016-11-30;null;57,9;27,886667;22,052;17,946667;6,17328;
2016-12-31;null;37;28,916129;22,825806;18,519355;6;
2017-01-31;null;6,6;30,309677;23,508387;18,167742;5;
2017-02-28;null;13,7;29,496429;23,218571;18,514286;6;
2017-03-31;null;73,8;29,432258;23,213548;18,63871;5;
2017-04-30;null;21,9;27,196667;21,896;18,426667;5;
2017-05-31;null;21,2;25,506452;20,622581;17,190323;5;
2017-06-30;null;24,4;24,093333;19,326;16,117241;5;
2017-07-31;null;29,6;21,832258;17,027097;14,177419;7;
2017-08-31;null;19,2;24,425806;18,486452;14,819355;6;
2017-09-30;null;33,7;24,02;18,494;14,963333;7,20216;
2017-10-31;null;4,2;28,380645;21,645161;16,83871;6,17328;
2017-11-30;null;95,2;27,053333;21,816667;17,9;5,1444;
2017-12-31;null;47,7;28,206452;22,684;18,6;5,1444;
2018-01-31;null;44,8;28,806452;22,768;18,245161;6,17328;
2018-02-28;null;191,3;27,403571;22,112857;18,407143;5,1444;
2018-03-31;null;114,7;27,425806;22,442581;18,909677;5,1444;
2018-04-30;null;24,9;25,766667;20,925333;17,816667;6,17328;
2018-05-31;null;28,9;24,683871;19,856667;16,822581;6,17328;
2018-06-30;null;50,7;23,096667;18,586;16,106667;7,20216;
2018-07-31;null;8;23,626667;18,218621;15,06;5,1444;
2018-08-31;null;9,3;25,580645;19,558065;15,590323;6,17328;
2018-09-30;null;15,7;27,35;20,788;16,376667;5,1444;
2018-10-31;null;13,8;28,903333;22,644667;17,929032;5,1444;
2018-11-30;null;20,7;27,813333;22,155333;17,806667;6,17328;
2018-12-31;null;93;27,593548;21,974194;17,906452;6,17328;
2019-01-31;null;6,3;29,16129;22,923871;18,003226;6,17328;
2019-02-28;null;164,7;29,660714;23,912857;19,242857;5,1444;
