Nome: ITABAIANINHA
Codigo Estacao: 83195
Latitude: -11.272334
Longitude: -37.794973
Altitude: 205.59
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;7;17,1;31,648387;25,789677;21,754839;5;
2008-02-29;6;52,1;32,906897;26,713793;22,934483;5;
2008-03-31;16;133,5;31,480645;26,072258;22,683871;4;
2008-04-30;17;111,3;29,813333;25,538667;22,536667;3,60108;
2008-05-31;25;189,5;27,96129;23,9;20,925806;4;
2008-06-30;23;154,7;26,97;22,754;19,74;5;
2008-07-31;24;130,4;25,870968;21,720645;18,670968;4;
2008-08-31;22;96;26,558065;22,084516;18,922581;4;
2008-09-30;14;107,8;27,736667;23,234667;20,026667;4;
2008-10-31;15;59,9;29,509677;24,329677;20,890323;5,1;
2008-11-30;2;9,8;31,636667;25,619333;21,753333;12;
2008-12-31;6;39,4;31,945161;26,037419;22,370968;5;
2009-01-31;4;17,3;32,725806;26,56;22,7;5;
2009-02-28;8;75,7;31,567857;26,365;22,792857;4;
2009-03-31;5;2,9;33,312903;27,057419;23,077419;4,5;
2009-04-30;13;55;32,12;26,567333;23,08;5;
2009-05-31;24;478;27,719355;24,059355;21,783871;4,1;
2009-06-30;18;97,8;27,99;23,728667;20,65;4;
2009-07-31;21;122,1;27,145161;23,046452;19,977419;4;
2009-08-31;24;153;26,76129;22,79871;19,86129;4;
2009-09-30;12;37,1;28,773333;23,852667;20,51;4;
2009-10-31;8;32,4;30,725806;25,285806;22,032258;4,1;
2009-11-30;1;,5;31,806667;25,809333;21,953333;4,5;
2009-12-31;3;17,8;32,583871;26,667097;22,783871;5;
2010-01-31;6;16;32,416129;26,746452;23,006452;4,5;
2010-02-28;13;139,3;31,057143;26,297143;23,075;4;
2010-03-31;14;107;32,135484;26,834194;23,403226;4;
2010-04-30;16;190,8;29,696667;25,472;22,666667;3,5;
2010-05-31;15;143,6;29,596774;25,103871;21,941935;3,5;
2010-06-30;26;232,3;26,786667;22,988;20,613333;5;
2010-07-31;28;260,4;26,429032;22,465161;19,758065;4;
2010-08-31;24;109,7;26,564516;22,015484;18,754839;3,5;
2010-09-30;17;77,5;27,27;22,713333;19,41;4;
2010-10-31;6;47,8;30,56129;25,087742;21,512903;5;
2010-11-30;5;2,4;31,533333;25,54;21,88;4;
2010-12-31;4;5,7;32,522581;26,392903;22,496774;4;
2011-01-31;7;77,7;31,267742;25,965161;22,296774;3,5;
2011-02-28;10;82,5;30,778571;25,878571;22,428571;3,5;
2011-03-31;11;106,7;32,416129;26,566452;22,870968;3,5;
2011-04-30;19;221,6;29,92;25,248;21,956667;3,5;
2011-05-31;20;166,1;27,993548;23,859355;20,825806;3;
2011-06-30;13;81,2;27,803333;22,996667;19,626667;3,5;
2011-07-31;21;107,5;26,364516;22,021935;18,619355;10,5;
2011-08-31;18;83,1;27,380645;22,505161;18,880645;3,5;
2011-09-30;13;29,4;27,436667;22,540667;18,776667;3,5;
2011-10-31;9;123,1;29,664516;24,494194;21,019355;5,3;
2011-11-30;13;86,1;29,203333;24,421333;21,22;4;
2011-12-31;5;15,3;31,7;25,685806;21,941935;4;
2012-01-31;14;33,7;31,419355;25,738065;21,903226;3;
2012-02-29;13;122;30,713793;25,475862;21,768966;3,5;
2012-03-31;5;42,1;31,203226;25,565806;21,4;3;
2012-04-30;8;12,9;30,99;25,393333;21,133333;3;
2012-05-31;13;116,6;29,145161;24,384516;20,883871;4;
2012-06-30;18;70,2;27,576667;23,222;19,883333;2,5;
2012-07-31;21;108,9;26,654839;22,405806;18,874194;3,5;
2012-08-31;21;125,6;26,729032;21,870968;17,993548;4;
2012-09-30;12;61,8;27,896667;22,978;19,073333;3,5;
2012-10-31;15;45;28,612903;23,612258;19,948387;3,5;
2012-11-30;2;4,8;31,983333;25,741333;21,81;4;
2012-12-31;2;8,7;32,074194;26,003226;21,806452;4;
2013-01-31;8;73,2;32,429032;26,42129;22,483871;3,5;
2013-02-28;6;20,9;32,246429;26,511429;22,6;3,5;
2013-03-31;5;11,6;33,119355;27,11871;23,209677;3,1;
2013-04-30;12;144,2;30,993333;25,942;22,46;3;
2013-05-31;18;244;28,416129;24,303226;21,374194;2,5;
2013-06-30;21;163,2;27,913333;23,587333;20,423333;10,1;
2013-07-31;24;241,5;26,609677;22,563871;19,653333;2,5;
2013-08-31;25;134,5;26,693548;22,465806;19,396774;2,5;
2013-09-30;14;56,2;28,146667;23,44;20,13;3;
2013-10-31;12;143,7;28,829032;24,07871;20,883871;3,6;
2013-11-30;11;74,9;29,436667;24,670667;21,46;3;
2013-12-31;9;124,5;31,029032;25,614194;22,387097;4;
2014-01-31;1;22;31,212903;25,699355;21,841935;3;
2014-02-28;null;86,1;30,421429;25,586429;22,064286;8,8;
2014-03-31;null;73,3;30,53871;25,820645;22,490323;4;
2014-04-30;null;69,7;30,676667;25,833333;22,54;3;
2014-05-31;null;102,4;28,680645;24,345161;21,264516;3,5;
2014-06-30;null;155,2;27,24;23,133333;20,196667;2,5;
2014-07-31;null;211,4;26,567742;22,534194;19,658065;3;
2014-08-31;null;103,7;27,15;22,451613;19,035484;3;
2014-09-30;null;38,9;28,086667;23,182;19,83;3;
2014-10-31;null;76,3;29,032258;24,012903;20,609677;10,3;
2014-11-30;null;84,2;30;24,832;21,533333;3;
2014-12-31;null;27,8;30,745161;25,377419;21,793548;3;
2015-01-31;null;10,1;31,758065;25,960645;22,167742;3;
2015-02-28;null;63,5;31,839286;26,27;22,678571;3;
2015-03-31;null;29;31,874194;26,190323;21,883871;2,5;
2015-04-30;null;95,7;31,593103;26,286207;22,806667;2,5;
2015-05-31;null;324,1;29,063333;24,821935;21,83871;2,5;
2015-06-30;null;142,3;27,313333;23,966667;21,417241;2,5;
2015-07-31;null;91,7;26,567742;23,975484;20,822727;2,5;
2015-08-31;null;108,1;26,567742;23,075484;20,283871;2,5;
2015-09-30;null;28;29,246667;23,971333;20,336667;3;
2015-10-31;null;39,4;30,019355;24,762581;21,222581;3;
2015-11-30;null;6,6;32,82;26,266667;22,313333;4,11552;
2015-12-31;null;26,1;32,180645;26,283226;22,467742;4,11552;
2016-01-31;null;189,8;31,248387;26,253548;23,383871;3,08664;
2016-02-29;null;74,5;31,42069;26,248966;22,686207;10,2888;
2016-03-31;null;28,1;32,229032;26,756129;22,848387;3,08664;
2016-04-30;null;37,5;31,513333;26,254;22,353333;3,08664;
2016-05-31;null;212,8;29,212903;24,72;21,43871;3,08664;
2016-06-30;null;128,2;28,08;23,523333;20,323333;2,5722;
2016-07-31;null;59;27,496774;22,950968;19,422581;2,5722;
2016-08-31;null;44;28,016667;23,042;19,309677;3,08664;
2016-09-30;null;55,3;28,796667;23,733333;20,2;4,11552;
2016-10-31;null;13,3;30,683871;25,109677;21,432258;3,08664;
2016-11-30;null;10,3;31,806667;25,953333;22,236667;3,60108;
2016-12-31;null;40,6;32,174194;26,363226;22,706452;3,7;
2017-01-31;null;0;32,16129;26,392903;22,167742;3;
2017-02-28;null;26,9;32,114286;26,509286;22,364286;3;
2017-03-31;null;107,4;32,03871;26,475484;22,53871;3;
2017-04-30;null;205;29,806667;25,412667;22,203333;3;
2017-05-31;null;140,6;28,577419;24,39871;21,203333;2,5;
2017-06-30;null;163,5;27,143333;23,188667;20,186667;2,5;
2017-07-31;null;162,4;25,641935;21,57871;18,393548;3;
2017-08-31;null;63,3;26,580645;22,102581;18,780645;3;
2017-09-30;null;327,5;26,37;22,214667;19,383333;4,11552;
2017-10-31;null;74,6;28,512903;23,766452;20,2;3,08664;
2017-11-30;null;23,9;31,016667;25,236667;21,543333;3,08664;
2017-12-31;null;88,9;31,658065;25,794194;22,206452;3,08664;
2018-01-31;null;26,2;31,83871;25,988387;22,132258;3,08664;
2018-02-28;null;39,5;32,003571;26,357857;22,471429;3,08664;
2018-03-31;null;123,8;32,080645;26,294194;22,56129;3,08664;
2018-04-30;null;142,8;29,99;25,154667;21,376667;3,08664;
2018-05-31;null;155;28,577419;24,112258;20,693548;3,08664;
2018-06-30;null;165,1;27,49;23,224667;19,996667;2,5722;
2018-07-31;null;65,8;26,874194;22,433548;18,796774;3,08664;
2018-08-31;null;53,8;27,958065;23,009032;19,167742;3,08664;
2018-09-30;null;9,8;29,25;23,855333;19,976667;3,08664;
2018-10-31;null;48,7;31,203226;25,330968;21,551613;3,08664;
2018-11-30;null;36;31,056667;25,597333;22,003333;3,08664;
2018-12-31;null;22,5;32,235484;26,148387;22,090323;3,08664;
2019-01-31;null;24,8;32,009677;26,346452;22,225806;3,08664;
2019-02-28;null;6,2;33,717857;27,521429;23,564286;3,08664;
2019-03-31;null;176,7;32,570968;26,855484;23,187097;3,08664;
2019-04-30;null;52,5;31,54;26,570667;22,89;2,5722;
2019-05-31;null;114,3;30,522581;25,643226;21,951613;2,5722;
2019-06-30;null;312;27,406667;23,429333;20,43;2,5722;
