Nome: TAGUATINGA
Codigo Estacao: 83235
Latitude: -12.40222222
Longitude: -46.43833333
Altitude: 604.88
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;128,6;31,832258;25,625806;21,648387;4;
2008-02-29;18;168,6;30,144828;24,873793;21,103448;3;
2008-03-31;22;274;30,258065;24,44;20,648387;3,08664;
2008-04-30;17;193,1;31,206667;25,281333;21,23;2;
2008-05-31;0;0;32,045161;25,452258;20,448387;3;
2008-06-30;0;0;31,236667;24,572;19,53;5;
2008-07-31;0;0;31,370968;24,123226;18,625806;4;
2008-08-31;1;,1;33,393548;26,275484;20,464516;5;
2008-09-30;5;5,4;35,43;28,170667;22,373333;5;
2008-10-31;2;3,8;36,26129;29,097419;23,009677;10;
2008-11-30;21;317,8;31,44;25,654667;21,363333;3;
2008-12-31;26;356,7;29,990323;24,694839;21,993548;4;
2009-01-31;18;285,6;31,241935;null;null;3;
2009-02-28;16;111,6;31,046429;null;null;2;
2009-03-31;17;96,4;31,722581;null;null;2;
2009-04-30;18;349,4;29,92;null;null;3;
2009-05-31;12;189,6;30,109677;null;null;3;
2009-06-30;2;35,3;30,893333;null;null;4;
2009-07-31;0;0;32,222581;null;null;5,2;
2009-08-31;0;0;33,454839;null;null;5;
2009-09-30;7;39,2;35,555172;null;null;5;
2009-10-31;22;272,2;32,380645;null;null;4;
2009-11-30;13;179,1;32,333333;null;null;3;
2009-12-31;21;192;31,009677;null;null;2;
2010-01-31;21;349,8;31,574194;null;null;3;
2010-02-28;13;112,3;32,3;null;null;3;
2010-03-31;19;279,1;32,619355;null;null;3;
2010-04-30;10;123,5;32,49;null;null;3;
2010-05-31;3;3,4;33,367742;null;null;3;
2010-06-30;0;0;32,276667;null;null;5;
2010-07-31;0;0;31,245161;null;null;4;
2010-08-31;0;0;32,412903;null;null;5;
2010-09-30;1;29,9;35,006667;null;null;7;
2010-10-31;11;212,6;34,677419;null;null;3;
2010-11-30;20;154,1;31,5;null;null;4;
2010-12-31;14;182;31,532258;25,674839;21,893548;4;
2011-01-31;21;153,4;31,096774;25,143226;21,283871;2;
2011-02-28;21;297,8;30,210714;24,262143;20,621429;1;
2011-03-31;23;456,1;30,641935;24,643871;21,293548;3;
2011-04-30;12;131;32,02;25,49;21,376667;3;
2011-05-31;2;46,2;32,003226;25,523871;21,1;4;
2011-06-30;0;0;32,193333;25,012667;19,983333;3;
2011-07-31;0;0;32,209677;25,007097;19,822581;4;
2011-08-31;0;0;34,493548;27,078065;21,664516;5;
2011-09-30;0;0;35,31;27,84;22,423333;7;
2011-10-31;15;178,8;32,670968;26,251613;22,183871;3;
2011-11-30;24;358,8;29,993333;24,46;20,92;20;
2011-12-31;22;361,7;30,729032;24,804516;21,012903;2;
2012-01-31;23;325,9;29,96129;24,054194;20,556667;3;
2012-02-29;15;190,1;30,924138;24,806897;20,748276;4;
2012-03-31;11;171,9;32,532258;26,073548;21,780645;3;
2012-04-30;7;92,4;34,086667;27,007333;22,153333;3;
2012-05-31;7;29,1;32,1;25,747097;21,522581;4;
2012-06-30;0;0;32,856667;26,022667;21,363333;4;
2012-07-31;0;0;32,683871;25,557419;20,580645;5;
2012-08-31;0;0;32,23871;25,092258;19,780645;7;
2012-09-30;1;2,1;35,863333;28,531333;23,136667;5;
2012-10-31;5;19,3;35,6;28,865161;24,035484;5;
2012-11-30;22;389,9;30,496667;25,142;21,703333;3;
2012-12-31;13;115,1;33,751613;27,258065;22,403226;3;
2013-01-31;21;499,1;29,803226;24,646452;21,403226;3;
2013-02-28;11;75,2;33,135714;26,637143;22,303571;4;
2013-03-31;17;195,7;32,383871;26,275484;22,335484;4;
2013-04-30;11;176,7;31,726667;25,685333;21,753333;4;
2013-05-31;2;33,2;32,954839;26,342581;21,793548;7;
2013-06-30;1;2,8;32,35;25,947333;21,61;3;
2013-07-31;null;0;32,754839;25,954194;21,158065;7;
2013-08-31;null;0;33,612903;26,592258;21,464516;4;
2013-09-30;2;6,5;35,063333;28,319333;23,143333;6;
2013-10-31;12;115,6;34,13871;27,510323;22,945161;4;
2013-11-30;17;232;32,413333;26,121333;21,97;3;
2013-12-31;21;377,2;29,735484;24,972903;21,725806;4;
2014-01-31;1;206;31,864516;25,600645;21,225806;3;
2014-02-28;null;132,4;31,385714;25,399286;21,792857;7,9;
2014-03-31;null;267,4;30,487097;24,786452;21,53871;3;
2014-04-30;null;185,2;31,536667;25,660667;21,613333;3;
2014-05-31;null;40;32,254839;26,231613;21,722581;7,5;
2014-06-30;null;0;31,923333;25,306667;20,743333;3,1;
2014-07-31;null;0;32,203226;25,355484;20,506452;5;
2014-08-31;null;0;33,564516;26,506452;21,316129;7;
2014-09-30;null;5,4;36,063333;28,919333;23,44;5;
2014-10-31;null;140,4;35,270968;27,927097;22,825806;5;
2014-11-30;null;379,1;32,75;26,099333;22,106667;4;
2014-12-31;null;277,9;31,241935;25,386452;21,629032;3;
2015-01-31;null;89;33,435484;27,094194;22,393333;4;
2015-02-28;null;173;31,196429;25,016429;21,342857;3;
2015-03-31;null;306,5;30,783333;24,702581;21,077419;1;
