Nome: BARREIRAS
Codigo Estacao: 83236
Latitude: -12.155843
Longitude: -45.008269
Altitude: 447.51
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;13;216;32,154839;25,587742;20,843333;4,5;
2008-02-29;14;152,2;31,262069;25,211724;21,485714;3,5;
2008-03-31;20;299,3;30,36129;24,390323;20,531034;5;
2008-04-30;12;141,3;30,673333;24,397333;20,313333;5;
2008-05-31;2;7,4;31,970968;23,645806;18,243333;3,7;
2008-06-30;0;0;31,413333;22,029333;15,456667;4,7;
2008-07-31;0;0;31,712903;21,71871;13,845161;8,2;
2008-08-31;null;0;33,63871;23,990667;15,562069;5,3;
2008-09-30;3;9,6;35,496667;26,419333;19,206667;5,8;
2008-10-31;1;2,3;36,974194;28,476774;21,364516;6,7;
2008-11-30;13;121,6;33,016667;26,676552;22,378571;6,3;
2008-12-31;17;202,4;31,132258;25,333548;21,348387;6,3;
2009-01-31;14;138,3;31,977419;25,458065;21,163333;5,3;
2009-02-28;11;72,3;31,939286;25,445714;21,05;4,8;
2009-03-31;9;127;32,854839;25,677419;20,974194;4,7;
2009-04-30;19;218,8;30,326667;24,706667;21,386667;3,3;
2009-05-31;9;56,8;30,145161;23,685161;19,354839;4;
2009-06-30;2;59;30,69;22,589333;17,396552;4,5;
2009-07-31;0;0;31,922581;22,15871;15,2;5,3;
2009-08-31;0;0;33,674194;24,562581;17,077419;8,3;
2009-09-30;5;5,7;36,49;27,691333;20,093333;7;
2009-10-31;1;,2;null;null;null;null;
2009-11-30;null;null;null;null;null;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;1;,2;32,122581;23,553548;15,967742;4,8;
2010-08-31;0;0;33,351613;23,725806;14,525806;5;
2010-09-30;0;0;35,3;26,516667;17,533333;5,5;
2010-10-31;8;105,4;36,103226;28,289677;22,035484;6,2;
2010-11-30;17;145,1;32,27;26,098;21,563333;4,8;
2010-12-31;12;233,1;31,551613;25,54;21,390323;4,2;
2011-01-31;14;193;31,009677;25,085161;20,980645;4,5;
2011-02-28;16;138,1;30,485714;24,733571;20,960714;3,5;
2011-03-31;17;191,4;30,448387;24,75871;20,974194;4,2;
2011-04-30;13;26,5;31,533333;24,865333;20,44;3,7;
2011-05-31;2;1,7;32,096774;23,774194;18,06129;3,5;
2011-06-30;0;0;32,37;22,67;16,043333;3,3;
2011-07-31;0;0;32,577419;22,320645;14,370968;3,8;
2011-08-31;0;0;34,422581;24,558065;16,087097;8,2;
2011-09-30;0;0;35,226667;25,766667;16,686667;4,7;
2011-10-31;9;181;33,403226;26,991613;22,13871;5,2;
2011-11-30;14;206,5;29,693333;24,748;20,868966;3,7;
2011-12-31;13;226,1;30,854839;24,9;20,564516;4;
2012-01-31;10;110,6;30,622581;24,893548;20,925806;2,7;
2012-02-29;10;64,9;31,713793;25,116552;20,755172;3,8;
2012-03-31;9;46,7;33,9;26,209032;20,777419;3;
2012-04-30;2;3,8;35,196667;26,06;19,796667;2,8;
2012-05-31;4;5,8;33,709677;25,589677;19,646667;3,5;
2012-06-30;1;1,1;33,7;24,569333;17,493333;3,5;
2012-07-31;0;0;33,051613;23,554194;15,66129;5,3;
2012-08-31;0;0;32,46129;24,59871;17,054839;6,2;
2012-09-30;1;,2;35,723333;27,223333;18,517241;5,7;
2012-10-31;2;15,3;36,412903;28,810968;21,322581;5;
2012-11-30;25;298,9;30,753333;25,164667;21,743333;4,8;
2012-12-31;6;35,2;33,874194;26,690323;20,770968;3,8;
2013-01-31;18;341,9;31,3;25,570968;21,625806;13,8;
2013-02-28;6;54,7;33,032143;26,297143;21,210714;3,7;
2013-03-31;null;87,8;33,151724;26,276552;21,655172;3,8;
2013-04-30;null;68,3;32,143333;25,69;21,333333;3,8;
2013-05-31;null;2,7;33,503448;25,152143;19,267857;2,7;
2013-06-30;null;,3;33,123333;24,594667;18,153333;3,7;
2013-07-31;null;0;33,2;24,15871;16,593548;4,7;
2013-08-31;null;0;34,041935;25,334194;17,416129;4,5;
2013-09-30;null;6;35,62;27,965333;21,12069;7;
2013-10-31;null;43,6;35,332258;28,514839;22,929032;4,5;
2013-11-30;null;188,7;33,28;26,704;21,89;5,7;
2013-12-31;null;255,9;30,241935;25,013548;21,548387;3;
2014-01-31;null;29,3;32,674194;26,203226;20,854839;3,5;
2014-02-28;null;115,5;31,796296;25,465385;21,071429;4,3;
2014-03-31;null;92,4;31,551613;25,492258;21,496774;3,5;
2014-04-30;null;98,1;31,776667;25,272;20,823333;3,3;
2014-05-31;null;1,3;32,474194;24,946452;19,483871;4,3;
2014-06-30;null;0;32,256667;23,638;17,073333;5,2;
