Nome: LENCOIS
Codigo Estacao: 83242
Latitude: -12.557854
Longitude: -41.388808
Altitude: 438.09
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;4;12,3;33,193548;26,385806;21,393548;3,3;
2008-02-29;10;169,3;32,624138;26,102069;21,868966;4,7;
2008-03-31;12;193,4;31,613333;25,626;21,432258;5;
2008-04-30;13;97,1;30,57;25,045333;21,746667;3,3;
2008-05-31;14;32,2;28,6;23,247742;19,403226;4,2;
2008-06-30;15;68,9;26,536667;21,39;17,606667;5;
2008-07-31;11;23,9;25,587097;20,613548;16,441935;8,7;
2008-08-31;10;32;28,670968;22,283226;17,43871;3,3;
2008-09-30;7;26,3;30,076667;23,706;19,233333;3,3;
2008-10-31;4;9,7;32,512903;25,565806;20,829032;5;
2008-11-30;14;127,5;32,236667;25,825333;21,32;3,7;
2008-12-31;15;160,8;29,945161;24,82;21,464516;4,2;
2009-01-31;18;140,6;31,051613;25,443226;21,625806;4,2;
2009-02-28;12;58,3;31,710714;25,794286;21,810714;3,7;
2009-03-31;8;93,3;33,854839;27,337419;22,841935;3,2;
2009-04-30;21;287,4;29,458621;24,633333;21,448276;4,2;
2009-05-31;14;89,2;27,464516;23,223226;20,367742;3,3;
2009-06-30;10;65,1;27,256667;22,396667;19,476667;5;
2009-07-31;10;32,5;27,86129;22,017419;18,43871;3,3;
2009-08-31;12;24,7;28,567742;22,477419;18,522581;8;
2009-09-30;6;17,4;31,82;24,678;19,626667;8;
2009-10-31;15;306,1;30,874194;24,943871;20,929032;8;
2009-11-30;8;20,3;30,883333;24,818;21,003333;3,3;
2009-12-31;11;81,5;31,325806;25,183871;21,387097;3,3;
2010-01-31;11;60,1;32,654839;26,18;21,790323;3,8;
2010-02-28;10;25,3;33,346429;26,945714;22,146429;4,2;
2010-03-31;15;107,2;32,022581;26,114839;22,409677;3,3;
2010-04-30;20;192,5;29,303448;24,438667;21,486207;3,3;
2010-05-31;10;39,2;29,029032;23,967097;20,887097;3;
2010-06-30;3;4,3;27,96;22,336667;18,165517;4,5;
2010-07-31;19;75,5;26,709677;21,581935;18,2;4,7;
2010-08-31;13;20,9;27,66;21,648966;17,803704;4,2;
2010-09-30;12;19,7;30,22;null;null;3,3;
2010-10-31;9;174;32,896667;null;null;3,3;
2010-11-30;10;33,1;31,233333;null;null;3,3;
2010-12-31;12;131,8;31,1;25,046207;20,027586;10;
2011-01-31;21;127,2;30,174194;24,454839;19,583871;3,3;
2011-02-28;15;56,2;32,225;25,746429;19,966667;8;
2011-03-31;19;187,2;32,109677;25,693548;20,580645;3,3;
2011-04-30;18;122,5;29,623333;24,091333;19,323333;3,3;
2011-05-31;21;90,4;27,46;22,243871;17,366667;3,7;
2011-06-30;11;32,2;28,053333;22,180667;17,79;3,3;
2011-07-31;13;28,9;27,487097;21,438065;17,845161;3,7;
2011-08-31;8;46,9;29,174194;22,989677;19,383871;10;
2011-09-30;5;9,7;29,27;22,972;19,158621;10;
2011-10-31;17;47,4;30,664516;24,995484;21,470968;3,3;
2011-11-30;19;123,2;28,803333;23,876;21,23;18;
2011-12-31;10;96,2;31,436667;25,470968;22,673333;3,7;
2012-01-31;8;15,3;32,277419;26,365161;22,719355;3,3;
2012-02-29;12;139;32,223077;26,075862;22,604167;3,3;
2012-03-31;5;4,7;33,477419;26,891613;23,354839;3,3;
2012-04-30;7;6,6;32,883333;26,193333;21,866667;6,8;
2012-05-31;14;62,3;29,387097;23,935484;19,946667;5;
2012-06-30;11;58,7;28,293333;23,033103;20,044828;3,3;
2012-07-31;10;30,7;27,483871;21,827097;18,26129;3,8;
2012-08-31;15;32,8;27,945161;22,189032;18,63871;3,3;
2012-09-30;1;,3;31,306897;24,661333;20,917241;3,7;
2012-10-31;9;62,3;32,064516;25,569032;21,935484;3,3;
2012-11-30;16;121,5;29,466667;24,944;22,406667;3;
2012-12-31;3;4,6;34,048387;27,232258;22,806452;3,5;
2013-01-31;14;255,6;32,545161;26,765161;23,3;8,3;
2013-02-28;7;8,6;32,221429;26,712857;23,12963;3,3;
2013-03-31;7;74,2;33,812903;27,272258;22,990323;3,3;
2013-04-30;12;53,4;30,786207;25,802;22,6;3,7;
2013-05-31;10;47,2;30,135484;24,86;21,822581;3,7;
2013-06-30;19;70;27,762069;23,12;20,134483;3,3;
2013-07-31;12;48,2;27,670968;21,884516;16,306452;3,3;
2013-08-31;14;67,2;27,812903;21,445806;14,874194;4,3;
2013-09-30;14;35;30,016667;23,029655;16,262069;4;
2013-10-31;8;11,7;32,290323;24,937419;17,390323;5;
2013-11-30;16;77,6;31,906667;24,844667;17,664286;5,5;
2013-12-31;19;228,4;30,422581;24,470968;18,583871;4,7;
2014-01-31;3;21;31,116129;24,740645;17,96129;5;
2014-02-28;null;95,1;30,244444;24,063571;17,417857;4,8;
2014-03-31;null;146,9;30,466667;24,369032;18,358065;3,3;
2014-04-30;null;91,6;30,683333;24,415333;18,24;3,3;
2014-05-31;null;52,1;28,33871;22,858065;17,077419;3,3;
2014-06-30;null;28,5;27,66;21,742667;15,823333;5;
2014-07-31;null;26,5;27,216129;21,42129;15,412903;3,7;
2014-08-31;null;15,6;28,883333;21,896774;15,125806;5,8;
2014-09-30;null;19,4;30,973333;23,412;16,116667;3,7;
2014-10-31;null;82,7;31,816129;24,636774;17,077419;4,2;
