Nome: CANARANA
Codigo Estacao: 83270
Latitude: -13.47083332
Longitude: -52.2711111
Altitude: 430
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;17;269,1;32;24,990323;20,967742;2,5;
2008-02-29;20;612,8;30,941379;24,557931;20,767857;3;
2008-03-31;20;240,5;31,290323;24,618667;20,609677;2,5;
2008-04-30;18;208,2;32,073333;25,144667;21,003333;0;
2008-05-31;0;0;32,845161;24,154194;18,348387;2,5;
2008-06-30;0;0;33,693333;23,637333;17,033333;2,5;
2008-07-31;0;0;34,106452;23,428387;15,609677;2,5;
2008-08-31;0;0;36,687097;26,319355;18,267742;3;
2008-09-30;6;40,8;37,333333;27,529333;20,303333;4;
2008-10-31;10;71,1;36,358065;27,690968;21,835484;3;
2008-11-30;17;255,9;32,966667;25,779333;21,333333;2,5;
2008-12-31;21;331;31,370968;25,031613;21,487097;2,5;
2009-01-31;18;271,8;32,787097;25,495484;21,180645;3;
2009-02-28;19;432,3;32,417857;25,005714;20,982143;4;
2009-03-31;19;276,2;33,006667;25,553333;21,213333;2,5;
2009-04-30;13;379,2;32;24,742;20,573333;2,5;
2009-05-31;5;15,4;32,532258;24,712258;19,648387;2;
2009-06-30;1;43,7;32,903333;23,487333;17,28;2,5;
2009-07-31;0;0;35,216129;24,990323;17,409677;2,5;
2009-08-31;4;13,6;35,448387;25,723871;18,43871;3;
2009-09-30;12;129,1;35,89;26,851333;21,17;4,5;
2009-10-31;13;172,6;34,041935;26,086667;21,403333;2;
2009-11-30;22;233,6;33,436667;26,000667;21,59;3;
2009-12-31;16;301,5;31,674194;25,025806;21,296774;3,5;
2010-01-31;20;275,9;32,43;25,429333;21,148387;2;
2010-02-28;17;336,6;33,075;25,558571;21,414286;3;
2010-03-31;16;238,8;33,051613;25,730968;21,674194;3,5;
2010-04-30;5;113,1;33,866667;25,82;20,49;2,5;
2010-05-31;1;3,4;34,363333;25,365333;18,82;2,5;
2010-06-30;1;3,4;34,54;24,518667;17,19;2,5;
2010-07-31;0;0;34,63871;25,049032;17,9;3,08664;
2010-08-31;0;0;36,487097;25,666452;17,13871;3,5;
2010-09-30;1;2,2;39,943333;28,9;21,003333;3,5;
2010-10-31;13;103,3;36,474194;27,644516;22,567742;4;
2010-11-30;16;288,3;33,386667;25,548;21,52;5;
2010-12-31;23;408,4;null;null;21,535484;4;
2011-01-31;20;496,2;null;null;20,951613;6;
2011-02-28;16;274,2;null;null;20,975;3;
2011-03-31;18;302,4;30,796552;24,909655;21,345161;3;
2011-04-30;9;117,2;31,873333;25,184667;20,613333;2,5;
2011-05-31;1;,3;32,193548;24,504516;19,022581;2,5;
2011-06-30;2;7,7;null;null;16,875862;3;
2011-07-31;0;0;null;null;17,174194;2,5;
2011-08-31;0;0;null;null;18,503226;3,1;
2011-09-30;3;39,2;null;null;20,596667;3,5;
2011-10-31;19;128,6;null;null;21,436667;3,5;
2011-11-30;19;196,5;null;null;20,93;3;
2011-12-31;17;255,7;null;null;21,3;2,6;
2012-01-31;19;347,8;null;null;20,632258;3;
2012-02-29;18;286,5;31,034483;24,246207;20,213793;3;
2012-03-31;20;253,6;32,332258;25,029032;20,693548;2;
2012-04-30;5;55,4;33,346667;25,988667;21,123333;4;
2012-05-31;6;89,7;32,06129;24,312258;19,070968;2,6;
2012-06-30;2;7,6;32,873333;24,578667;18,796667;3;
2012-07-31;0;0;33,364516;23,863226;16,380645;3;
2012-08-31;0;0;34,351613;25,392258;17,903226;3,5;
