Nome: BOM JESUS DA LAPA
Codigo Estacao: 83288
Latitude: -13.251097
Longitude: -43.405365
Altitude: 447.75
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;10;162,6;32,487097;26,383871;20,63871;2;
2008-02-29;8;105,6;32,848276;26,328966;20,989655;2,5;
2008-03-31;8;40,7;31,454839;25,549677;20,519355;2,5;
2008-04-30;8;153,4;31,583333;25,573333;20,593333;2,5;
2008-05-31;0;0;31,809677;24,985806;19,312903;2,5;
2008-06-30;0;0;31,33;23,795333;17,43;2,8;
2008-07-31;0;0;31,074194;23,347097;16,329032;13,2;
2008-08-31;0;0;33,029032;25,409032;18,148387;4;
2008-09-30;2;28,8;35,266667;27,517333;20,186667;3,3;
2008-10-31;0;0;36,770968;29,630323;22,556667;5;
2008-11-30;15;177,8;32,476667;26,982;22,796667;4;
2008-12-31;17;154;30,951613;25,528387;21,519355;2,5;
2009-01-31;10;102,6;31,764516;26,226452;21,758065;1,6;
2009-02-28;8;105,6;32,967857;26,596429;21,267857;2,5;
2009-03-31;11;158,7;33,367742;26,940645;21,822581;3,3;
2009-04-30;11;92,3;30,286667;25,102667;21,036667;4,6;
2009-05-31;3;18,9;30,096552;24,162069;19,565517;13,3;
2009-06-30;2;7,8;31,057692;23,918462;18,792308;2,6;
2009-07-31;0;0;32,512903;24,864516;18,316129;10,3;
2009-08-31;0;0;33,793548;26,077419;18,96129;3,3;
2009-09-30;2;2,9;36,473333;29,194;22,466667;3,3;
2009-10-31;10;181,1;34,277419;28,173548;23,287097;2,5;
2009-11-30;4;27,3;33,924138;27,61;22,2;2,5;
2009-12-31;13;181,4;32,609677;26,485806;21,680645;2,5;
2010-01-31;6;26,3;33,764516;27,335484;21,916129;2,3;
2010-02-28;7;45,4;35,375;28,103571;22,621429;2,6;
2010-03-31;18;152,2;32,248387;26,268387;21,741935;3;
2010-04-30;6;121,6;31,61;25,598;20,716667;1,6;
2010-05-31;1;29,8;33,054839;26,522581;20,625806;2,5;
2010-06-30;0;0;32,023333;24,164;17,12;3,3;
2010-07-31;0;0;31,764516;24,534839;17,570968;4,1;
2010-08-31;0;0;32,867742;25,129677;17,716129;3,3;
2010-09-30;1;6,6;34,93;27,439333;20,336667;4,1;
2010-10-31;7;85,6;36,545161;29,572903;23,46129;4;
2010-11-30;13;164,9;32,824138;26,907333;22,334483;7,8;
2010-12-31;14;97,3;31,906452;26,325161;22,129032;3,3;
2011-01-31;12;129,8;31,825806;26,063226;21,554839;2,5;
2011-02-28;11;70,1;33,874074;27,095;22,074074;3,3;
2011-03-31;16;168,1;30,964516;25,725806;21,712903;3,3;
2011-04-30;8;35,8;31,863333;25,792667;21,14;2,5;
2011-05-31;4;10,1;32,041935;25,081935;19,280645;3,3;
2011-06-30;0;0;32,21;24,85;18,106667;3,3;
2011-07-31;0;0;32,274194;24,401935;17,170968;3,3;
2011-08-31;0;0;34,067742;26,422581;19,283871;3,3;
2011-09-30;0;0;34,576667;26,688;19,026667;3,3;
2011-10-31;9;94,1;33,919355;27,522581;22,132258;3,3;
2011-11-30;14;134,5;30,566667;25,036667;20,61;2,6;
2011-12-31;10;198,9;31,603226;25,877419;21,054839;5,1;
2012-01-31;7;48,6;32,216129;26,456129;21,267742;2,5;
2012-02-29;9;35,9;33,62069;26,836552;21,365517;3,3;
2012-03-31;3;48,2;34,916129;28,350968;22,364516;3,3;
2012-04-30;0;0;35,94;28,676;22,173333;10;
2012-05-31;6;33,7;33,329032;26,396774;20,5;3,3;
2012-06-30;2;2,2;33,383333;26,084;19,57;4;
2012-07-31;0;0;32,648387;25,109032;17,832258;3,5;
2012-08-31;0;0;32,164516;24,954839;18,077419;3,3;
2012-09-30;0;0;35,863333;28,148;20,746667;3,3;
2012-10-31;2;15,4;36,49;29,485806;22,017241;3,3;
2012-11-30;22;293,8;30,323333;25,452;21,766667;2,5;
2012-12-31;1;1,2;34,916129;28,531613;22,225806;2,5;
2013-01-31;15;75,3;32,709677;27,02;22,326667;3,6;
2013-02-28;2;34;36,040741;28,977143;22,622222;3,3;
2013-03-31;11;78,6;35,04;28,627097;22,841935;7;
2013-04-30;6;58;32,656667;26,598667;21,52;2,5;
2013-05-31;1;16;33,890323;27,035484;20,851613;2,5;
2013-06-30;3;24,6;32,844828;26,038667;20,113793;3,3;
2013-07-31;null;0;32,832258;25,818065;19,619355;3,3;
2013-08-31;null;0;33,458065;26,323226;19,525806;3,3;
2013-09-30;2;2,8;35,533333;28,714;22,076667;4,1;
2013-10-31;5;90,2;35,18;28,582581;22,436667;4;
2013-11-30;9;128,5;33,996667;27,762;22,536667;2,5;
2013-12-31;19;237,7;30,23;25,385161;21,941935;2,5;
2014-01-31;null;12;32,735484;26,911613;21,712903;10,3;
2014-02-28;null;35,2;34,244444;27,370714;22,132143;2,5;
2014-03-31;null;94;33,83871;27,448387;22,367742;3,3;
2014-04-30;null;40;33,856667;27,652667;22,413333;2,5;
2014-05-31;null;4,5;33,86129;27,114194;21,112903;4;
2014-06-30;null;3,6;32,726667;25,639333;19,323333;2,5;
2014-07-31;null;0;32,712903;25,543871;19,035484;3,3;
2014-08-31;null;0;33,763333;26,214194;19,051613;3,3;
2014-09-30;null;0;35,98;28,571333;21,406667;3,3;
2014-10-31;null;29,3;35,670968;28,815484;22,65;4,1;
2014-11-30;null;232,3;33,683333;27,739333;22,663333;2,5;
2014-12-31;null;117,9;31,683871;26,396774;22,164516;2,5;
2015-01-31;null;30,8;35,327586;28,329677;22,329032;1,7;
2015-02-28;null;60,7;33,428571;26,934286;22,067857;2,5;
2015-03-31;null;92,1;34,529032;28,018065;22,925806;2,5;
2015-04-30;null;117,5;33,089655;27,270667;22,732143;2,5;
2015-05-31;null;,2;31,274194;25,614839;20,787097;2,6;
2015-06-30;null;0;31,732143;25,322667;19,27;4,1;
2015-07-31;null;0;32,66129;25,852258;19,603226;3,3;
2015-08-31;null;0;32,835484;26,166452;19,832258;4;
2015-09-30;null;0;37,551724;29,903333;22,2;3,3;
2015-10-31;null;2,2;37,9;30,831613;24,003226;3,3;
2015-11-30;null;89,6;37,196667;30,398519;24,259259;3,08664;
2015-12-31;null;12,6;37,254839;30,271333;24,466667;3,08664;
2016-01-31;null;357;31,048387;26,042;22,833333;10,2888;
2016-02-29;null;8,7;33,727586;27,935;22,839286;1,54332;
2016-03-31;null;,1;35,509677;29,116129;23,906452;3,08664;
2016-04-30;null;0;35,913333;29,102;22,91;2,5722;
2016-05-31;null;0;34,816129;27,522581;21,345161;3,08664;
2016-06-30;null;5;33,563333;26,370667;20,21;3,08664;
2016-07-31;null;0;33,103226;25,669032;19,106452;2,5722;
2016-08-31;null;0;34,86129;27,638065;21,022581;3,08664;
2016-09-30;null;3;35,51;28,304;22,1;2,5722;
2016-10-31;null;23,3;36,374194;29,613548;23,709677;3,08664;
2016-11-30;null;130,7;34,666667;28,481333;23,303333;3,08664;
2016-12-31;null;63,5;33,545161;27,63871;22,767742;2;
2017-01-31;null;17,6;36,619355;29,794839;23,748387;1,6;
2017-02-28;null;49,4;33,264286;27,327857;22,785714;6,4;
2017-03-31;null;138,3;35,132258;28,660645;23,113333;2,6;
2017-04-30;null;47,9;33,486667;27,604667;22,41;2,5;
2017-05-31;null;4;33,73871;27,257419;21,558065;2,6;
2017-06-30;null;0;33,003333;26,080667;19,676667;2,5;
2017-07-31;null;0;30,416129;23,547097;17,448387;7,5;
2017-08-31;null;0;33,64;25,924516;18,593548;3;
2017-09-30;null;0;33,756667;27,148667;20,39;2,5722;
2017-10-31;null;2,8;37,509677;30,409032;23,577419;2,5722;
2017-11-30;null;155,6;33,283333;27,669333;23,453333;2,5722;
2017-12-31;null;80,3;33,025806;27,165517;22,644828;3,08664;
2018-01-31;null;86,8;34,767742;28,060667;22,896667;1,54332;
2018-02-28;null;170,2;31,792857;26,557857;22,232143;2,5722;
2018-03-31;null;88,8;32,390323;26,762581;22,632258;2,5722;
2018-04-30;null;74,5;32,993333;26,722;21,56;2,5722;
2018-05-31;null;0;33,541935;26,794194;20,732258;3,08664;
2018-06-30;null;0;32,976667;25,947333;19,286667;2,5722;
2018-07-31;null;0;32,377419;25,078065;18,083871;2,5722;
2018-08-31;null;0;34,667742;27,663871;20,948387;2,5722;
2018-09-30;null;0;36,753333;29,492667;22,473333;3,08664;
2018-10-31;null;41,7;37,016129;30,282581;23,980645;2,5722;
2018-11-30;null;92,2;33,613333;27,508;23,133333;2,5722;
2018-12-31;null;143,4;31,467742;26,136;21,912903;2,05776;
2019-01-31;null;1,3;36,425806;29,318;22,98;1,54332;
2019-02-28;null;106,3;35,4;28,528571;23,617857;2,5722;
2019-03-31;null;178,7;34,6;28,290968;23,319355;3,08664;
2019-04-30;null;62,7;33,69;27,75;22,906667;2,05776;
2019-05-31;null;11,9;34,777419;27,929032;22,103226;2,05776;
2019-06-30;null;0;33,206667;26,158;19,596667;3,08664;
2019-07-31;null;0;32,896774;25,328387;18,448387;3,08664;
2019-08-31;null;0;33,674194;26,439355;19,548387;3,08664;
2019-09-30;null;8,2;36,5;28,882667;21,836667;3,08664;
2019-10-31;null;6,3;37,293548;30,254839;23,903226;3,08664;
2019-11-30;null;35,2;37,32;30,507333;24,783333;2,5722;
2019-12-31;null;81,4;36,664516;30,182667;24,587097;3,08664;

