Nome: ITUACU
Codigo Estacao: 83292
Latitude: -13.812876
Longitude: -41.299852
Altitude: 534.44
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;5;23,8;32,532258;26,072667;20,286667;5;
2008-02-29;7;104,8;33,237931;26,455172;20,727586;7;
2008-03-31;13;196,5;30,793548;24,626452;19,822581;5;
2008-04-30;4;13,2;31,886667;25,392;19,846667;5;
2008-05-31;2;11,9;30,235484;23,529032;17,7;5;
2008-06-30;5;9,4;27,636667;21,774;16,576667;5;
2008-07-31;4;19,2;27,354839;20,709032;14,183871;5;
2008-08-31;1;,4;29,212903;22,352903;15,958065;5;
2008-09-30;1;3,1;30,733333;24,135385;17,765385;5;
2008-10-31;2;6,5;33,009677;25,858065;19,074194;5;
2008-11-30;10;130,2;31,55;25,874;20,686667;9;
2008-12-31;8;104,5;30,164516;24,880645;19,832258;3;
2009-01-31;7;95,4;31,122581;24,998065;19,529032;5;
2009-02-28;0;0;32,696429;26,132143;20,4;5;
2009-03-31;6;49,6;33,809677;26,891613;20,590323;5;
2009-04-30;14;92,5;29,666667;24,227407;20,12963;5;
2009-05-31;7;66,7;28,032258;22,887742;18,677419;3;
2009-06-30;5;26,9;27,723333;21,907333;17,48;3;
2009-07-31;6;10,4;27,851613;21,986452;17;3;
2009-08-31;2;2,9;29,016129;22,954839;17,83871;5;
2009-09-30;1;7,3;32,273333;25,835333;20;5;
2009-10-31;8;184,8;31,477419;25,94129;21,406452;5;
2009-11-30;1;11,3;31,776667;26,05;20,72;5;
2009-12-31;3;46,6;32,229032;26,723226;21,503226;6,7;
2010-01-31;1;4,1;33,016129;26,866452;20,945161;7;
2010-02-28;3;9,2;33,914286;27,27;21,878571;9;
2010-03-31;16;135,6;31,458065;25,678065;20,925806;5;
2010-04-30;12;94,6;29,773333;24,249333;20,033333;5;
2010-05-31;3;3,3;30,706452;24,543871;19,290323;5,1;
2010-06-30;2;5,4;28,546667;22,038667;16,053333;5;
2010-07-31;8;20,2;27,396774;21,787097;17,041935;7;
2010-08-31;2;5,6;27,987097;21,627097;15,754839;7;
2010-09-30;2;3,6;29,74;23,604667;17,783333;7;
2010-10-31;1;59,5;33,109677;26,586452;21,122581;9;
2010-11-30;10;175,2;30,696667;25,513333;20,803333;7;
2010-12-31;9;148,1;30,83871;25,203226;20,129032;5;
2011-01-31;5;32,8;31,106452;25,121935;19,909677;5;
2011-02-28;2;24,7;33,253571;26,526429;20,678571;5;
2011-03-31;14;156,8;31,509677;25,355484;20,480645;5;
2011-04-30;9;38,5;29,79;23,878;18,826667;3;
2011-05-31;2;7,4;28,33871;22,555484;17,358065;5;
2011-06-30;2;2,5;28,826667;22,234;16,523333;5;
2011-07-31;5;6,4;27,825806;21,009677;14,951613;7;
2011-08-31;3;5,7;29,370968;22,701935;15,983871;5;
2011-09-30;0;0;28,876667;22,584667;15,816667;8;
2011-10-31;8;85;30,148387;24,709032;19,390323;7;
2011-11-30;8;112,4;28,393333;23,47;18,936667;5;
2011-12-31;7;66;30,722581;24,82129;19;5;
2012-01-31;2;6,1;32,141935;25,776129;19,790323;5;
2012-02-29;5;17,6;32,232143;25,76;19,641379;5;
2012-03-31;1;5,2;33,696774;26,747742;20,490323;5;
2012-04-30;2;,8;33,113333;26,356;19,51;10;
2012-05-31;5;32,3;29,541935;23,841935;17,980645;5,3;
2012-06-30;4;9,3;28,9;23,102667;17,49;5,3;
2012-07-31;5;9,7;28,435484;22,01871;15,303226;8,2;
2012-08-31;9;16,8;27,216129;21,374839;15,306452;5,3;
2012-09-30;2;2,5;30,496667;23,991333;16,99;7;
2012-10-31;0;0;32,229032;25,411613;19,16;5;
2012-11-30;15;187,3;29,533333;24,759333;19,831579;5;
2012-12-31;1;3,7;33,706452;27,043871;19,548387;5;
2013-01-31;11;181,5;32,029032;26,120645;20,306452;5;
2013-02-28;0;0;32,378571;26,078571;19,421429;5;
2013-03-31;1;,5;33,848387;27,065161;20,654839;5;
2013-04-30;2;11,1;31,343333;25,058;18,49;5;
2013-05-31;5;49,4;30,177419;23,839355;16,951852;7;
2013-06-30;8;28,6;28,203333;22,210667;16,803448;7;
2013-07-31;6;9,5;28,419355;21,899355;15,134615;5;
2013-08-31;5;13;28,422581;21,906452;15,509677;7;
2013-09-30;3;4,2;30,05;23,821333;17,123333;5;
2013-10-31;4;12,1;31,164516;24,932258;18,316129;5;
2013-11-30;5;19,6;31,233333;25,395333;19,363333;5;
2013-12-31;12;150,4;29,996667;24,727742;19,4;5;
2014-01-31;null;6,5;30,932258;24,872143;18,285714;5;
2014-02-28;null;5,8;31,667857;25,396429;18,764286;5;
2014-03-31;null;100,9;31,948387;25,605806;19,322581;5;
2014-04-30;null;71,6;31,136667;24,985333;18,426667;5;
2014-05-31;null;2,8;29,829032;23,754194;17,177419;5;
2014-06-30;null;7,3;28,423333;22,282;15,706667;5;
2014-07-31;null;13;27,693333;21,778065;15,119355;5;
2014-08-31;null;0;28,970968;22,292258;14,993548;5;
2014-09-30;null;4,1;30,446667;23,983333;16,89;5;
2014-10-31;null;79,1;30,390323;24,512258;18,062069;5;
2014-11-30;null;154,6;29,834483;24,212667;18,286667;5;
2014-12-31;null;216,5;29,870968;24,186452;18,006452;5;
2015-01-31;null;1,1;31,73871;25,183226;18,196552;5;
2015-02-28;null;38,9;31,307143;24,906429;18,075;5;
2015-03-31;null;62,1;31,913333;25,567097;18,851613;3;
2015-04-30;null;141,4;30,816667;24,77;18,426667;5;
2015-05-31;null;25,4;28,787097;22,634839;16,406452;3;
2015-06-30;null;20,2;28,106667;21,776;14,9;3;
2015-07-31;null;8,5;27,5;21,629677;15,177419;5;
2015-08-31;null;15,1;28,196774;22,246452;16,693548;5;
2015-09-30;null;2,8;31,52;25,405333;19,993333;5;
2015-10-31;null;2,7;32,454839;26,410968;20,425806;5;
2015-11-30;null;5,2;33,96;27,782;21,216667;5,1444;
2015-12-31;null;2,4;34,403226;27,920645;21,096774;5,1444;
2016-01-31;null;366,2;30,312903;24,956129;19,290323;5,1444;
2016-02-29;null;13,7;31,827586;25,831724;19,548276;5,1444;
2016-03-31;null;1,5;32,590323;26,643226;20,174194;5,1444;
2016-04-30;null;2,1;31,553333;25,167333;18,17;5,1444;
2016-05-31;null;4,8;31,154839;24,101935;17,296774;6,17328;
2016-06-30;null;0;30,29;23,410667;17,546667;5,1444;
2016-07-31;null;8,9;28,596774;22,300645;17,958065;5,1444;
2016-08-31;null;11,1;29,687097;23,493548;18,012903;5,1444;
2016-09-30;null;29,2;30,066667;23,857333;18,133333;5,1444;
2016-10-31;null;57,8;31,235484;25,214839;18,990323;5,1444;
2016-11-30;null;85,2;30,703333;24,646667;17,876667;5,1444;
2016-12-31;null;106,6;30,367742;25,107742;19,367742;5;
2017-01-31;null;0;33,683871;26,983871;20,374194;5;
2017-02-28;null;30,9;32,092857;25,765714;18,925;3;
2017-03-31;null;68,7;32,1;25,943871;18,925806;5;
2017-04-30;null;21,2;31,07;24,667333;18,583333;5;
2017-05-31;null;13,3;29,845161;23,465161;16,870968;5;
2017-06-30;null;3,4;29,033333;22,186;15,346667;5;
2017-07-31;null;36;25,841935;19,863226;13,574194;5;
2017-08-31;null;4,4;28,448387;21,640645;15,4;5;
2017-09-30;null;10,6;28,746667;22,274;16,023333;5,1444;
2017-10-31;null;0;31,764516;25,336774;19,309677;5,1444;
2017-11-30;null;96,8;29,786667;24,591333;18,726667;5,1444;
2017-12-31;null;86,8;31,112903;25,294839;18,993548;5,1444;
2018-01-31;null;30,8;31,716129;25,611613;19,103226;5,1444;
2018-02-28;null;129,7;30,864286;24,82;18,45;5,1444;
2018-03-31;null;85,8;30,896774;25,290323;19,26129;5,1444;
2018-04-30;null;25;30,32;24,108667;18,073333;5,1444;
2018-05-31;null;56,7;29,296774;23,379355;17,877419;5,1444;
2018-06-30;null;10,6;27,973333;21,994667;15,616667;5,1444;
2018-07-31;null;10;27,558065;21,412903;14,280645;5,1444;
2018-08-31;null;0;29,496774;23,339355;16,46129;5,1444;
2018-09-30;null;0;30,52;24,219333;16,903333;5,1444;
2018-10-31;null;25,8;31,777419;25,406452;17,812903;5,1444;
2018-11-30;null;100,7;30,25;24,582667;18,026667;6,17328;
2018-12-31;null;200,9;29,677419;23,992667;18,348387;5,1444;
2019-01-31;null;0;32,519355;25,686452;18,806452;5,1444;
2019-02-28;null;30;31,9;25,646429;19,210714;5,1444;
2019-03-31;null;177,4;32,322581;25,607097;19,109677;5,1444;
2019-04-30;null;7;32,21;25,265333;18,996667;5,1444;
2019-05-31;null;0;31,33871;24,948387;18,76129;5,1444;
2019-06-30;null;2,4;30,336667;22,758;14,956667;5,1444;
2019-07-31;null;9,4;30,316129;21,867742;14,203226;5,1444;
2019-08-31;null;2,3;30,525806;22,530968;16,093548;5,1444;
2019-09-30;null;4,4;31,623333;24,346;17,773333;5,1444;
2019-10-31;null;17,1;32,9;25,469677;18,629032;5,1444;
2019-11-30;null;1,4;33,503333;26,630345;19,906897;5,1444;
2019-12-31;null;0;33,470968;26,494194;20,280645;5,1444;

